capital,faixa_remuneracao_media_sm,analfabeto,ate_5a_incompleto,5a_completo_fundamental,6a_a_9a_fundamental,fundamental_completo,medio_incompleto,medio_completo,superior_incompleto,superior_completo,mestrado,doutorado,sexo,ano
Porto Velho - RO,"00:ate_0,50",0,1,3,90,19,135,115,6,24,0,0,F,2010
Porto Velho - RO,"01:0,51_a_1,00",7,18,40,76,333,234,2.185,54,126,0,0,F,2010
Porto Velho - RO,"02:1,01_a_1,50",84,240,332,1.179,1.937,1.753,14.012,568,531,4,0,F,2010
Porto Velho - RO,"03:1,51_a_2,00",33,160,199,406,739,574,8.566,491,1.935,9,2,F,2010
Porto Velho - RO,"04:2,01_a_3,00",38,228,187,261,551,329,5.959,482,2.333,14,3,F,2010
Porto Velho - RO,"05:3,01_a_4,00",0,25,27,60,142,83,6.569,226,3.866,8,3,F,2010
Porto Velho - RO,"06:4,01_a_5,00",0,30,6,74,110,17,1.904,114,1.457,13,0,F,2010
Porto Velho - RO,"07:5,01_a_7,00",3,131,7,193,410,20,1.479,105,1.374,12,1,F,2010
Porto Velho - RO,"08:7,01_a_10,00",0,9,2,21,69,10,815,61,1.636,15,4,F,2010
Porto Velho - RO,"09:10,01_a_15,00",0,7,0,16,42,3,442,38,1.150,27,7,F,2010
Porto Velho - RO,"10:15,01_a_20,00",0,0,1,1,7,1,127,8,419,7,2,F,2010
Porto Velho - RO,"11:mais_de_20,00",0,0,2,1,5,0,217,8,566,4,9,F,2010
Rio Branco - AC,"00:ate_0,50",0,0,2,4,3,68,18,3,5,0,0,F,2010
Rio Branco - AC,"01:0,51_a_1,00",9,93,48,72,225,153,652,20,30,1,0,F,2010
Rio Branco - AC,"02:1,01_a_1,50",68,769,296,806,1.476,756,6.760,375,370,1,0,F,2010
Rio Branco - AC,"03:1,51_a_2,00",10,386,40,363,605,179,3.917,314,424,4,0,F,2010
Rio Branco - AC,"04:2,01_a_3,00",0,503,13,481,1.079,190,3.293,456,1.530,4,2,F,2010
Rio Branco - AC,"05:3,01_a_4,00",0,165,4,110,403,66,1.460,283,2.804,4,1,F,2010
Rio Branco - AC,"06:4,01_a_5,00",0,65,5,31,249,57,935,138,3.184,4,4,F,2010
Rio Branco - AC,"07:5,01_a_7,00",0,34,8,20,152,31,671,139,2.707,9,7,F,2010
Rio Branco - AC,"08:7,01_a_10,00",0,7,1,5,40,23,293,48,1.180,11,3,F,2010
Rio Branco - AC,"09:10,01_a_15,00",0,6,0,4,15,22,159,14,763,8,4,F,2010
