;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;174;1.521;999;3.035;6.137;4.631;49.335;1.884;14.850;703;174;83.443;63;714;353;1.240;3.615;2.469;41.150;2.086;22.037;721;168;74.616;237;2.235;1.352;4.275;9.752;7.100;90.485;3.970;36.887;1.424;342;158.059
;00:Até 0,50;1;2;4;59;28;167;129;20;37;0;2;449;0;2;4;41;20;190;171;32;54;0;0;514;1;4;8;100;48;357;300;52;91;0;2;963
;01:0,51 a 1,00;5;23;14;94;141;232;968;44;120;2;0;1.643;0;20;17;76;111;225;1.062;58;175;3;4;1.751;5;43;31;170;252;457;2.030;102;295;5;4;3.394
;02:1,01 a 1,50;75;261;208;684;1.484;1.590;12.762;421;715;42;2;18.244;42;150;157;531;1.349;1.246;17.681;711;1.481;62;7;23.417;117;411;365;1.215;2.833;2.836;30.443;1.132;2.196;104;9;41.661
;03:1,51 a 2,00;52;376;314;846;1.337;1.414;10.254;372;835;27;2;15.829;14;153;88;272;625;552;8.645;446;1.930;29;8;12.762;66;529;402;1.118;1.962;1.966;18.899;818;2.765;56;10;28.591
;04:2,01 a 3,00;28;271;231;597;1.188;765;9.422;342;2.487;43;3;15.377;2;59;46;56;311;118;4.264;417;5.616;59;13;10.961;30;330;277;653;1.499;883;13.686;759;8.103;102;16;26.338
;05:3,01 a 4,00;2;307;69;245;870;194;5.572;213;2.236;45;8;9.761;1;267;11;129;706;46;5.477;172;5.022;34;11;11.876;3;574;80;374;1.576;240;11.049;385;7.258;79;19;21.637
;06:4,01 a 5,00;0;30;16;60;165;70;3.173;144;1.105;53;6;4.822;1;3;5;21;100;21;1.253;69;1.616;69;4;3.162;1;33;21;81;265;91;4.426;213;2.721;122;10;7.984
;07:5,01 a 7,00;0;109;26;249;481;63;4.168;158;1.865;63;8;7.190;0;39;3;50;219;18;1.494;80;2.282;87;5;4.277;0;148;29;299;700;81;5.662;238;4.147;150;13;11.467
