Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;3;0;7;1;1;0;1;0;1;4;1;1;1;1;0;10;5;21;89;14;0;11;15;42;6;3;3;0;231;15;59;56;10;20;8;101;42;27;46;9;0;345;76;672;1.848;468;72;609;363;507;63;90;777;57;6.340;10;62;52;9;19;10;74;52;20;22;4;0;283;76;528;1.371;412;66;751;545;559;78;119;1.547;55;6.724;24;85;59;12;49;9;69;66;33;27;9;0;284;463;931;1.527;520;164;1.241;1.037;825;503;373;7.105;63;15.478;18;30;23;1;22;6;30;29;12;10;1;0;106;542;720;509;204;110;549;612;393;764;308;6.281;45;11.325;11;13;11;2;4;1;12;19;3;3;1;0;26;152;315;178;51;18;237;192;185;340;112;3.148;20;5.054;0;0;0;0;0;0;0;1;0;0;0;0;3;2;13;13;6;1;10;7;21;20;13;332;1;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;12;0;18;79;250;201;35;114;35;290;210;97;109;25;0;1.057;1.316;3.200;5.539;1.678;431;3.408;2.771;2.534;1.774;1.018;19.208;241;45.620
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;7;0;0;1;0;0;1;2;1;0;0;0;0;5;0;6;84;12;0;5;2;13;1;3;1;4;141;4;51;30;9;0;6;163;26;17;24;12;0;144;71;493;1.659;218;36;176;176;486;40;45;386;155;4.427;7;60;23;3;0;3;139;42;35;3;4;0;122;95;483;1.124;189;57;318;274;469;58;87;1.079;154;4.828;4;56;20;5;0;9;172;58;33;10;5;0;157;213;750;1.082;228;105;453;471;620;121;135;4.550;257;9.514;3;28;7;0;0;3;84;21;14;4;4;0;90;308;550;359;62;72;228;283;285;49;50;3.923;218;6.645;1;18;1;1;0;3;44;8;3;2;8;0;29;137;285;173;37;21;134;106;174;32;30;2.551;152;3.950;0;2;0;0;0;0;0;2;2;0;0;0;1;6;29;16;3;1;12;13;31;3;5;345;13;484;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;1;0;0;0;1;0;0;14;0;22;19;215;82;18;0;25;604;158;104;43;33;0;549;830;2.600;4.504;751;292;1.326;1.325;2.079;304;355;12.849;953;30.018
130260:Manaus - AM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;5;0;0;16;10;14;23;2;8;8;10;3;0;16;0;11;196;21;1;46;7;198;4;7;33;5;639;1;193;537;775;2.376;1.846;152;401;390;1.177;130;1;986;102;1.239;5.259;1.305;197;3.312;1.651;2.311;298;295;1.813;147;26.894;3;214;514;733;2.780;2.236;192;420;431;1.207;134;0;973;236;1.447;4.387;1.314;205;3.509;2.375;2.063;374;506;3.987;124;30.364;9;309;838;1.073;3.735;2.651;284;569;577;1.752;178;0;1.281;587;2.612;4.821;1.661;515;5.165;5.033;2.851;713;1.125;13.126;149;51.614;17;145;447;342;1.150;998;184;282;174;655;103;0;513;547;1.732;1.830;715;460;2.228;3.505;1.438;757;704;11.522;102;30.550;13;44;116;80;127;248;120;106;51;159;54;0;170;237;873;733;231;145;813;1.300;727;440;384;6.911;46;14.128;0;1;4;5;1;0;9;12;3;5;7;0;14;10;35;52;18;4;31;49;75;42;30;684;6;1.097;0;0;3;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;2;2;3;0;2;158;0;176;43;906;2.475;3.019;10.183;8.003;943;1.799;1.634;4.965;609;1;3.954;1.719;7.950;17.283;5.265;1.527;15.106;13.923;9.666;2.628;3.053;38.234;579;155.467
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;2;0;0;0;0;8;1;0;53;8;0;7;1;12;0;0;0;0;94;0;40;14;0;0;3;35;19;13;2;9;4;99;21;184;1.258;133;40;156;110;203;22;25;502;50;2.942;0;43;5;0;0;0;27;13;14;4;3;0;87;35;220;707;85;28;253;136;176;18;23;578;57;2.512;1;46;7;0;0;3;42;23;4;2;3;3;85;140;376;687;88;59;328;246;245;18;51;2.101;57;4.615;1;14;3;0;0;0;17;10;3;1;0;0;20;113;253;237;29;36;140;126;111;4;24;2.385;39;3.566;0;5;1;0;0;0;10;1;1;0;0;0;12;50;130;103;12;13;63;41;64;0;7;1.256;23;1.792;0;1;0;0;0;0;0;0;0;0;0;0;0;3;9;12;0;0;4;1;8;1;3;146;0;188;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;1;0;7;2;151;30;0;0;6;132;69;35;9;15;7;311;363;1.176;3.060;355;176;951;661;819;63;133;6.969;226;15.719
150140:Belém - PA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;4;0;0;2;0;0;7;1;8;66;4;0;11;6;133;4;1;1;0;249;0;41;63;14;47;39;737;101;28;94;97;1;762;262;1.518;5.244;1.036;237;2.364;1.121;3.029;376;370;1.950;233;19.764;4;73;110;24;42;49;839;182;48;129;81;3;891;352;1.889;5.266;1.222;389;4.046;1.991;3.276;624;626;5.541;254;27.951;11;100;185;53;45;81;1.279;382;61;194;113;1;1.484;795;3.298;5.821;1.661;891;7.007;4.085;5.036;1.041;1.309;21.021;446;56.400;11;63;127;24;30;57;568;247;46;100;91;0;656;940;2.539;2.549;731;1.059;3.632;3.037;2.748;515;692;17.371;552;38.385;2;15;85;8;6;37;243;94;29;56;62;0;328;425;1.370;1.059;304;425;1.506;1.331;1.293;289;348;10.102;465;19.882;1;0;9;0;0;1;5;10;2;3;5;0;15;18;45;70;14;13;104;75;94;32;45;913;41;1.515;0;0;2;0;0;0;0;2;0;1;0;0;0;0;5;10;0;0;2;2;5;2;1;133;2;167;29;292;581;123;170;265;3.677;1.018;214;579;449;5;4.143;2.793;10.673;20.087;4.973;3.014;18.672;11.648;15.614;2.883;3.392;57.032;1.993;164.319
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;11;5;37;7;1;2;0;13;0;2;0;1;83;0;38;12;1;0;0;21;2;4;18;3;0;105;23;446;1.445;184;50;419;186;544;59;70;293;35;3.958;0;18;6;2;0;0;30;7;6;21;5;0;99;68;432;1.075;204;45;739;251;605;45;103;1.210;32;5.003;2;25;12;1;1;0;39;5;6;17;5;0;101;236;711;1.091;245;72;1.253;503;652;70;208;3.801;46;9.102;0;12;1;2;0;0;20;5;1;13;0;0;35;130;500;351;67;50;581;261;286;31;87;2.985;34;5.452;0;6;4;2;1;0;4;0;0;4;0;0;10;56;250;125;24;15;281;74;182;8;41;1.828;8;2.923;0;0;0;0;0;0;0;0;0;1;0;0;0;4;28;11;1;1;15;5;17;0;2;205;1;291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;3;2;99;35;8;2;0;114;19;17;74;13;0;354;530;2.372;4.137;733;234;3.294;1.280;2.299;213;513;10.322;157;26.821
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;5;1;1;0;0;0;1;6;86;3;1;5;2;16;4;0;6;5;148;16;151;65;5;4;1;14;39;19;18;12;2;49;262;508;1.304;254;49;250;231;408;57;115;1.904;57;5.794;13;115;59;3;1;0;9;18;14;23;6;1;22;256;579;737;170;48;302;267;306;43;113;3.164;39;6.308;23;141;66;7;3;0;13;23;11;23;6;1;29;392;897;679;165;93;400;294;294;130;269;6.750;40;10.749;11;56;20;1;0;0;2;13;5;9;0;0;19;229;548;206;51;107;147;138;125;344;176;4.068;44;6.319;3;24;12;0;1;0;1;3;2;0;0;0;6;96;254;68;17;21;62;30;56;235;75;2.622;21;3.609;0;1;1;1;0;0;0;0;1;0;0;0;0;6;10;3;1;3;0;1;3;8;16;334;0;389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;7;66;492;224;17;10;1;39;101;53;74;24;4;125;1.242;2.802;3.085;661;322;1.166;963;1.208;821;764;18.853;206;33.323
211130:São Luiz - MA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;11;0;2;18;0;0;0;2;0;0;4;0;0;5;4;22;62;3;0;11;18;56;1;10;2;0;220;11;49;252;3;12;17;67;128;16;91;66;0;255;197;1.627;3.574;353;113;1.558;813;1.303;326;315;882;17;12.045;18;55;467;1;11;30;93;166;29;100;52;0;291;176;1.660;3.053;451;108;2.477;1.243;1.561;378;544;1.995;33;14.992;30;132;1.019;12;15;24;139;209;45;148;78;0;475;513;3.157;3.801;607;393;3.929;3.023;2.247;724;1.038;10.334;60;32.152;31;80;594;5;6;16;70;109;19;76;22;0;235;1.030;2.680;1.458;283;475;1.983;2.334;1.315;317;587;11.137;109;24.971;16;43;93;1;2;5;25;50;5;35;10;0;93;488;1.361;529;85;95;796;741;685;172;220;8.133;74;13.757;2;1;2;0;0;1;3;8;0;4;1;0;7;15;52;40;1;0;47;34;72;9;12;790;2;1.103;0;0;0;0;0;0;0;1;0;1;0;0;0;3;3;1;0;0;2;0;0;9;0;44;1;65;108;362;2.446;22;46;93;399;671;114;459;229;0;1.361;2.426;10.562;12.524;1.783;1.184;10.803;8.206;7.241;1.936;2.726;33.319;296;99.316
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;3;3;0;0;3;2;2;1;27;0;11;0;4;125;9;0;5;8;79;0;2;2;3;292;6;280;124;19;8;266;179;109;57;132;396;6;626;81;1.619;4.095;499;63;937;631;1.072;157;271;377;204;12.214;13;299;151;21;15;132;197;116;66;122;325;4;604;97;1.790;3.308;621;95;1.111;863;1.107;168;510;1.489;219;13.443;51;400;173;27;24;88;349;191;109;139;419;3;718;259;3.029;3.816;861;320;1.958;1.975;1.932;321;1.187;8.400;310;27.059;64;266;79;10;19;33;220;114;69;52;84;4;333;968;2.224;1.579;324;462;1.392;1.512;1.227;173;612;9.547;179;21.546;55;138;34;5;3;9;68;27;33;18;34;0;146;623;1.232;571;122;136;952;562;727;78;273;7.403;94;13.343;1;4;1;0;0;1;3;1;2;2;3;0;4;20;41;41;4;1;38;12;51;4;20;1.450;3;1.707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;107;0;111;190;1.390;565;85;69;529;1.019;560;338;466;1.288;17;2.442;2.048;9.939;13.535;2.440;1.077;6.393;5.563;6.198;901;2.877;28.775;1.012;89.716
