Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;1;0;0;0;0;1;0;8;4;1;3;1;1;1;4;2;1;0;1;0;6;3;11;90;14;0;10;17;28;4;7;3;1;213;14;48;59;5;11;4;119;45;28;48;7;0;257;96;402;1.993;457;76;717;315;574;70;111;755;83;0;6.294;17;53;39;6;24;4;92;47;23;26;8;0;230;106;327;1.508;502;83;922;452;591;94;140;1.590;83;0;6.967;27;65;64;8;54;4;110;54;42;25;9;0;267;420;548;1.659;605;163;1.364;871;857;428;391;6.305;96;0;14.436;22;37;28;1;15;6;44;42;21;11;1;0;94;617;422;594;213;98;588;579;447;790;352;7.504;73;0;12.599;11;14;13;1;7;0;14;19;5;4;2;0;29;176;187;218;79;19;228;174;205;372;126;3.886;38;0;5.827;0;0;0;0;0;0;2;0;0;0;0;0;1;4;12;25;5;0;9;13;22;27;8;471;5;0;604;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;218;206;22;112;19;385;209;120;114;28;0;884;1.423;1.909;6.091;1.876;439;3.839;2.421;2.724;1.785;1.135;20.515;379;0;46.948
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;2;5;0;0;0;1;0;7;2;8;51;8;0;3;2;7;8;3;1;14;124;3;37;25;1;3;9;128;33;25;18;6;0;211;66;283;1.749;220;24;185;175;368;50;65;427;193;0;4.304;7;53;21;0;3;4;124;26;34;5;3;0;198;115;332;1.214;217;58;320;328;332;60;121;1.043;188;0;4.806;5;56;22;4;5;7;161;40;39;10;4;0;233;248;563;1.173;236;103;459;520;438;115;190;4.261;412;0;9.304;6;31;6;1;7;8;77;20;14;3;0;0;97;301;405;391;91;65;206;289;236;49;87;3.466;445;0;6.301;3;11;1;0;6;3;29;6;5;3;1;0;42;169;238;197;46;25;117;116;158;33;56;2.152;296;0;3.713;0;1;0;0;0;0;1;2;1;0;0;0;1;4;27;12;3;1;11;8;30;4;9;307;36;0;458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;24;191;75;6;24;33;525;127;118;39;15;0;789;905;1.857;4.787;821;276;1.301;1.439;1.569;319;531;11.658;1.584;0;29.013
130260:Manaus - AM;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;5;0;0;0;1;2;0;1;0;0;13;0;0;14;6;20;21;5;3;6;14;4;0;20;1;6;198;22;0;35;9;201;1;6;4;6;602;4;171;745;744;2.761;2.067;144;432;456;1.340;125;1;1.180;171;1.050;5.373;1.329;163;3.691;1.735;2.532;265;344;2.923;167;0;29.913;10;251;646;742;3.166;2.658;175;470;448;1.390;152;0;1.169;241;1.382;4.484;1.398;228;4.050;2.493;2.370;387;536;7.166;131;0;36.143;22;344;917;1.010;4.325;3.097;280;604;666;2.080;259;0;1.492;589;2.436;5.151;1.736;459;5.784;5.003;3.352;791;1.323;25.023;176;0;66.919;23;160;439;393;1.517;1.131;188;338;212;864;146;0;621;561;1.711;1.988;745;444;2.557;3.745;1.750;697;975;25.992;113;0;47.310;11;46;125;79;222;286;130;129;50;216;64;0;226;241;911;780;285;135;972;1.520;920;520;520;17.782;56;0;26.226;0;1;5;7;1;2;13;14;4;6;6;0;18;11;33;55;17;6;37;56;77;51;47;1.287;4;0;1.758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;973;2.891;2.981;12.012;9.262;935;1.990;1.842;5.910;758;1;4.726;1.816;7.530;18.034;5.532;1.435;17.126;14.562;11.204;2.712;3.752;80.177;653;0;208.884
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;5;0;2;0;0;0;0;0;1;0;0;0;0;5;9;1;58;2;0;5;3;14;0;0;0;0;100;1;34;9;0;0;0;51;17;19;1;1;5;95;63;161;1.099;148;32;273;131;236;26;42;413;42;0;2.899;0;38;5;1;0;0;45;19;19;0;2;2;85;85;205;789;116;42;395;157;220;26;61;340;48;0;2.700;0;49;11;0;1;0;55;19;11;1;1;2;109;261;306;741;107;59;590;275;273;28;153;1.020;66;0;4.138;1;19;0;0;0;0;23;12;5;0;0;0;23;190;205;256;37;47;264;157;114;7;139;1.477;38;0;3.014;0;5;0;0;0;0;9;2;1;0;0;0;18;109;112;106;24;16;135;42;58;0;59;897;22;0;1.615;0;1;0;0;0;0;0;0;0;0;0;0;0;11;11;19;0;0;13;3;8;1;4;123;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;148;25;1;1;0;183;70;55;2;4;9;335;730;1.001;3.070;434;196;1.676;768;923;88;458;4.270;216;0;14.665
150140:Belém - PA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;1;0;1;0;0;0;0;7;0;2;0;1;0;0;6;1;0;2;0;0;8;1;6;91;3;2;13;4;88;4;2;1;5;240;2;65;46;19;18;43;784;115;26;103;96;1;710;226;1.395;5.306;761;204;1.946;981;2.714;389;388;2.046;212;0;18.596;1;80;98;33;24;43;884;215;41;147;92;2;902;345;1.890;5.642;1.029;385;3.620;1.791;3.234;643;691;4.892;243;0;26.967;11;117;167;53;27;97;1.403;410;80;230;103;2;1.379;774;3.250;6.421;1.545;824;6.517;3.760;4.818;1.078;1.446;20.983;487;0;55.982;10;66;114;38;27;76;663;263;48;135;84;0;569;922;2.335;2.731;771;1.041;3.540;2.854;2.582;528;877;17.341;472;0;38.087;3;23;80;13;14;39;267;111;37;79;56;0;293;469;1.219;1.102;313;459;1.536;1.312;1.210;292;519;10.510;349;0;20.305;1;0;14;0;0;2;8;8;2;5;5;0;12;14;56;80;13;14;98;80;98;38;50;886;36;0;1.520;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;28;353;519;157;110;300;4.016;1.123;234;701;436;5;3.873;2.751;10.151;21.378;4.435;2.929;17.271;10.782;14.745;2.972;3.973;56.659;1.804;0;161.705
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;8;30;6;46;4;0;8;1;13;0;5;0;2;124;1;60;1;0;0;0;29;16;5;20;5;0;90;3;281;1.716;261;43;452;244;362;59;91;429;25;0;4.193;0;54;4;4;0;3;31;18;7;18;2;0;105;37;356;1.198;243;64;787;238;419;58;122;1.470;35;0;5.273;3;44;10;1;1;2;60;20;6;19;3;0;116;201;588;1.123;353;77;1.181;457;516;159;272;4.914;49;0;10.175;4;20;1;1;0;1;30;12;2;9;1;0;44;117;473;364;97;53;483;226;232;237;134;3.787;28;0;6.356;3;9;1;3;0;0;9;5;0;6;0;0;7;41;234;129;31;13;160;68;168;98;53;2.187;19;0;3.244;0;0;0;0;0;0;0;0;1;0;0;0;0;1;24;12;0;1;7;2;12;3;3;229;0;0;295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;188;17;9;1;6;159;71;21;72;11;0;370;436;1.962;4.591;989;251;3.078;1.236;1.722;614;680;13.017;158;0;29.670
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;1;0;0;0;1;5;0;0;0;0;1;0;3;83;2;0;2;3;9;3;1;5;0;123;6;68;41;5;0;0;26;64;15;34;18;2;55;247;460;1.305;241;41;197;208;404;41;112;2.230;65;0;5.885;15;50;29;5;0;0;19;38;9;27;9;0;45;273;558;762;192;51;334;240;269;28;160;3.539;64;0;6.716;24;60;38;11;0;0;20;32;8;27;4;1;34;408;837;720;165;95;429;327;304;88;310;7.934;54;0;11.930;9;37;15;2;0;0;5;23;2;13;0;0;28;243;545;230;52;103;168;145;138;329;183;4.947;43;0;7.260;7;12;4;0;0;0;1;9;1;3;1;0;8;96;224;66;13;19;76;35;65;270;71;3.075;24;0;4.080;0;0;0;1;0;0;0;1;0;0;0;0;0;7;19;1;1;3;1;3;3;12;14;325;0;0;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;231;128;24;0;0;72;172;35;104;32;3;171;1.274;2.646;3.169;666;312;1.207;961;1.192;771;851;22.055;250;0;36.387
211130:São Luiz - MA;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;4;1;2;3;0;0;0;1;1;0;5;0;0;5;17;21;94;3;1;13;10;67;1;5;3;1;254;6;49;224;6;10;19;62;108;14;79;47;0;300;102;1.625;3.705;434;123;1.379;818;1.491;288;268;874;53;0;12.084;11;60;417;8;11;21;78;149;25;118;47;0;316;151;1.640;3.292;519;119;2.305;1.327;1.668;392;510;1.577;54;0;14.815;19;122;1.065;11;20;27;139;195;51;198;71;0;471;435;3.141;4.218;764;365;3.603;3.045;2.443;731;975;8.162;105;0;30.376;8;100;666;7;12;17;67;104;24;122;27;0;217;983;2.438;1.696;323;475;1.852;2.511;1.398;355;554;9.565;113;0;23.634;5;49;102;2;4;3;25;60;8;54;16;0;78;553;1.057;615;111;120;702;846;749;169;223;6.661;83;0;12.295;1;3;2;0;0;0;4;6;0;3;0;0;1;13;43;45;3;0;54;39;83;14;15;659;5;0;993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;385;2.479;34;57;87;376;624;122;579;208;0;1.388;2.255;9.965;13.666;2.157;1.203;9.908;8.596;7.899;1.950;2.550;27.502;414;0;94.455
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;1;0;0;0;0;8;0;1;2;1;0;0;0;1;1;1;15;0;12;11;12;143;11;1;3;3;89;0;2;5;0;314;7;223;107;31;1;304;175;80;85;158;356;8;614;68;1.030;3.940;556;167;819;583;1.048;115;291;375;137;0;11.278;16;261;147;25;8;158;161;115;82;163;298;6;645;89;1.302;3.528;654;157;1.195;888;1.266;188;640;1.516;200;0;13.708;36;380;166;29;14;103;335;185;133;165;435;10;764;221;2.498;3.976;907;315;1.997;1.874;2.078;314;1.348;8.318;249;0;26.850;62;267;76;14;7;42;217;124;86;71;105;4;328;901;1.967;1.705;339;486;1.508;1.501;1.339;179;775;9.837;185;0;22.125;52;144;32;6;5;11;74;31;41;19;41;2;157;726;1.169;584;106;156;1.068;596;812;77;327;7.888;93;0;14.217;1;5;1;0;0;0;2;1;3;2;0;0;5;29;34;37;7;1;50;21;61;4;20;1.705;5;0;1.994;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;3;174;1.281;531;106;35;618;964;537;431;579;1.250;30;2.525;2.048;8.012;13.918;2.580;1.283;6.640;5.466;6.694;877;3.403;29.646;869;0;90.497
