Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;3;1;0;2;1;8;5;1;3;1;0;14;2;7;122;22;0;18;15;43;7;6;0;2;286;23;90;47;5;29;6;135;73;65;48;25;0;314;80;400;2.078;488;77;861;359;583;84;124;1.175;121;7.290;18;71;45;3;51;4;138;62;38;17;5;0;265;103;346;1.650;509;96;1.241;514;614;100;154;2.016;133;8.193;32;92;66;0;63;5;132;81;45;24;6;0;312;347;584;1.770;646;166;1.695;981;941;375;350;7.247;164;16.124;27;39;34;1;28;8;60;56;20;6;1;0;124;641;472;690;228;114;733;624;497;800;330;8.292;102;13.927;9;15;15;0;8;5;20;24;4;1;0;0;35;212;201;252;88;18;268;213;246;427;127;4.460;57;6.705;1;0;0;0;0;0;0;1;0;1;0;0;1;3;9;16;4;1;12;10;22;33;6;452;4;576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;113;310;208;9;181;29;493;302;173;100;38;0;1.065;1.388;2.019;6.579;1.985;472;4.828;2.716;2.946;1.826;1.097;23.643;583;53.103
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;1;0;0;0;3;3;1;0;0;1;0;6;4;15;83;12;0;1;3;20;1;0;3;8;165;1;40;23;1;5;12;142;33;26;21;12;0;213;37;506;1.772;232;21;180;172;356;60;61;608;220;4.754;5;63;23;1;2;3;151;33;35;5;9;0;205;110;437;1.386;200;52;381;307;388;65;120;1.145;223;5.349;7;92;22;4;6;8;204;59;43;13;9;0;234;211;677;1.340;251;115;483;559;466;137;205;4.400;309;9.854;5;42;6;4;7;4;88;24;19;3;2;0;114;290;473;449;88;64;221;290;254;53;103;3.841;282;6.726;3;18;0;1;1;6;41;7;4;3;1;0;40;163;244;219;44;20;121;114;185;33;57;2.476;190;3.991;0;0;0;0;0;0;1;1;1;0;0;0;2;4;14;4;1;1;9;11;39;5;8;328;17;446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;256;74;11;21;36;630;158;128;45;34;0;814;819;2.367;5.253;828;273;1.396;1.456;1.708;354;554;12.803;1.249;31.288
130260:Manaus - AM;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;4;2;0;2;0;4;0;0;0;0;16;0;2;18;17;35;26;1;11;8;18;3;0;27;0;8;306;23;5;33;16;240;3;4;2;13;819;5;136;902;1.228;4.062;2.321;188;559;614;1.713;149;4;1.322;191;1.069;5.621;1.634;201;4.171;2.144;2.755;372;391;3.086;185;35.023;12;264;812;1.061;3.936;3.068;195;609;587;1.679;159;0;1.390;280;1.583;4.909;1.729;254;4.612;2.904;2.579;604;591;8.172;172;42.161;30;334;1.114;1.356;5.115;3.549;282;777;810;2.450;279;1;1.628;602;2.871;5.611;2.210;436;6.527;5.670;3.698;1.126;1.339;27.167;209;75.191;35;168;527;534;1.822;1.296;213;397;295;1.059;163;1;673;571;2.124;2.224;935;417;2.954;4.289;2.054;914;915;28.738;137;53.455;15;55;147;112;269;351;131;156;68;259;74;0;262;281;1.134;851;359;141;1.107;1.787;1.079;663;533;20.295;74;30.203;0;3;1;10;2;3;14;14;4;8;6;0;19;12;50;61;15;7;39;59;93;69;34;1.697;6;2.226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97;962;3.521;4.319;15.241;10.614;1.024;2.523;2.386;7.186;834;6;5.323;1.937;8.839;19.587;6.907;1.461;19.445;16.869;12.502;3.751;3.807;89.157;796;239.094
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;1;0;0;0;5;22;2;86;5;0;2;4;13;0;0;0;1;143;0;51;3;4;0;0;39;23;17;0;3;0;121;63;224;1.140;171;24;275;154;236;30;50;393;74;3.095;0;48;9;2;0;0;46;21;14;0;0;1;127;80;255;841;158;38;383;173;224;32;63;300;94;2.909;0;50;8;1;0;0;52;20;10;3;2;0;222;258;407;748;112;71;529;309;294;36;167;620;93;4.012;1;19;0;1;0;1;17;9;6;1;1;0;74;202;244;286;42;42;248;179;139;11;164;547;54;2.288;0;9;2;0;0;0;14;2;1;0;1;0;45;122;116;100;31;15;116;60;63;1;75;220;29;1.022;0;1;0;1;0;0;0;0;0;1;0;0;0;11;3;18;0;0;13;2;9;1;2;25;1;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;179;22;9;0;1;168;76;49;5;7;1;595;759;1.251;3.219;519;190;1.566;881;978;111;521;2.105;346;13.559
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;4;0;0;1;0;8;0;0;1;0;0;1;4;3;0;4;0;0;24;11;10;104;20;5;8;17;161;1;0;1;4;379;1;42;57;29;36;52;827;147;65;102;87;0;858;164;1.460;5.864;963;214;2.003;962;2.672;383;329;2.023;287;19.627;3;67;93;33;40;50;884;195;70;122;75;4;1.017;346;2.047;6.504;1.169;426;3.785;1.892;3.163;689;764;4.651;293;28.382;12;97;156;58;67;94;1.380;432;120;186;111;1;1.398;711;3.369;7.259;1.673;821;7.067;3.947;4.829;1.162;1.500;21.040;517;58.007;13;47;118;20;61;83;633;283;69;103;69;0;610;910;2.417;3.079;828;1.088;3.616;2.975;2.705;625;922;17.372;510;39.156;4;17;82;8;31;46;261;123;41;56;41;0;272;495;1.347;1.297;326;482;1.625;1.404;1.190;312;558;10.136;384;20.538;1;0;14;0;0;1;8;9;1;4;4;0;14;11;54;84;10;11;112;74;101;42;59;893;32;1.539;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;3;34;270;521;148;235;327;3.997;1.192;366;577;387;5;4.193;2.648;10.704;24.194;4.989;3.048;18.218;11.271;14.825;3.214;4.132;56.117;2.027;167.639
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;5;0;1;57;11;0;3;2;16;0;1;0;3;100;2;54;33;1;0;1;21;17;1;21;11;0;119;52;174;1.805;331;38;451;260;474;63;111;583;18;4.641;1;67;37;5;1;6;29;26;1;18;4;0;144;71;229;1.339;300;77;905;253;544;82;156;1.676;18;5.989;2;47;74;5;1;9;57;28;1;27;4;0;138;261;432;1.339;409;92;1.330;478;642;168;322;5.141;50;11.057;6;24;43;1;0;1;25;13;0;7;1;0;54;165;315;423;152;51;623;250;281;228;154;4.146;20;6.983;3;11;17;2;1;1;9;6;1;6;0;0;13;80;190;161;42;20;226;73;174;111;64;2.407;14;3.632;1;0;1;0;0;0;0;0;0;0;0;0;0;4;17;13;0;1;6;2;16;4;5;255;0;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;15;204;205;14;3;18;141;90;4;79;20;0;473;633;1.358;5.142;1.245;279;3.544;1.318;2.147;656;813;14.209;123;32.733
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;1;0;0;1;0;1;140;7;0;8;2;17;0;0;2;1;183;11;77;50;0;1;3;27;61;19;41;13;1;69;281;395;1.389;267;38;240;212;423;51;93;2.449;64;6.275;19;68;29;1;0;0;15;38;22;42;5;0;74;327;544;838;228;45;343;272;244;34;139;3.718;58;7.103;33;63;50;1;1;2;19;39;12;39;1;1;37;486;745;833;189;89;430;394;263;97;238;8.380;62;12.504;19;30;25;0;0;1;6;16;9;19;0;0;24;245;509;279;63;128;173;165;136;320;165;5.352;46;7.730;13;16;6;0;0;0;2;11;4;6;0;0;9;106;217;71;22;20;76;47;61;298;56;3.380;31;4.452;1;0;0;0;0;0;0;1;0;0;0;0;0;8;12;5;1;3;2;2;6;15;5;345;0;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;96;256;160;2;2;6;69;167;66;148;19;2;214;1.453;2.423;3.556;777;323;1.272;1.094;1.150;815;696;23.627;262;38.655
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;1;1;0;0;0;2;2;0;6;0;0;8;7;21;73;5;17;5;7;65;2;5;2;1;230;4;46;124;3;22;17;66;114;24;65;40;0;307;96;1.768;3.742;437;181;1.355;985;1.435;246;279;668;75;12.099;15;64;139;3;31;26;79;162;37;88;47;0;357;192;2.041;3.631;565;444;2.241;1.486;1.574;363;480;1.399;89;15.553;22;115;237;8;63;24;138;241;54;142;65;0;536;439;3.511;4.550;841;1.096;3.597;3.091;2.502;686;1.051;7.945;140;31.094;14;88;127;8;43;13;53;97;28;84;29;0;267;973;2.688;1.849;378;1.089;1.819;2.724;1.483;334;591;10.410;128;25.317;5;35;45;2;10;4;27;59;9;36;16;0;108;586;1.198;668;138;216;734;961;780;164;227;8.210;110;14.348;3;1;0;0;0;0;3;7;0;2;0;0;3;14;35;44;4;1;54;46;78;15;17;838;5;1.170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;63;350;673;24;169;84;368;682;152;423;197;0;1.586;2.307;11.262;14.557;2.368;3.044;9.806;9.300;7.917;1.810;2.650;29.474;548;99.814
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1;0;0;1;0;9;0;0;4;0;0;4;1;2;0;1;22;0;5;14;10;126;12;0;3;0;83;4;5;1;2;299;7;181;135;21;19;289;138;94;112;211;267;21;688;86;1.149;3.904;613;184;822;589;1.030;124;332;660;94;11.770;10;260;160;25;28;174;177;104;98;179;227;9;749;146;1.523;3.867;746;153;1.260;932;1.291;204;762;1.697;145;14.926;24;378;182;18;34;129;324;169;150;210;377;8;897;227;2.838;4.167;1.036;304;2.094;1.940;2.094;322;1.607;8.368;180;28.077;58;267;80;10;26;48;231;127;107;84;96;3;410;864;2.295;1.801;418;496;1.537;1.587;1.412;180;1.321;10.248;148;23.854;50;136;30;3;9;13;74;41;48;21;34;2;205;841;1.318;655;124;182;1.061;639;864;81;980;8.247;101;15.759;3;2;3;0;0;0;2;2;3;3;2;0;3;39;25;38;5;1;52;21;66;5;56;1.897;3;2.231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;152;1.224;594;77;116;657;947;539;518;709;1.025;43;2.957;2.217;9.158;14.564;2.954;1.320;6.830;5.708;6.841;920;5.063;31.123;673;96.929
