Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;0;0;5;1;0;0;1;4;0;3;2;0;0;0;0;7;2;5;126;23;0;14;14;45;7;11;1;3;269;31;77;43;3;12;7;92;61;73;37;24;0;342;82;445;2.225;503;102;775;351;641;89;136;1.240;138;7.529;21;68;43;9;30;2;119;55;42;15;14;0;305;123;454;1.719;557;121;1.174;486;657;101;225;2.852;122;9.314;29;90;58;9;39;6;139;84;50;20;9;0;319;313;737;1.917;706;160;1.707;899;1.061;291;369;7.314;183;16.509;24;38;30;2;29;6;65;56;23;7;1;0;134;670;560;770;290;123;759;634;603;801;379;8.225;137;14.366;9;20;14;0;10;2;27;22;6;4;0;0;39;242;286;283;94;21;307;223;286;487;161;4.255;103;6.901;1;0;1;0;0;0;3;3;0;1;0;0;3;4;10;19;5;1;14;10;22;31;7;507;6;648;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;116;293;189;24;124;23;448;283;194;84;48;0;1.149;1.436;2.498;7.060;2.180;528;4.751;2.617;3.316;1.807;1.288;24.394;692;55.542
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;6;0;1;1;0;0;0;5;0;0;0;0;0;6;0;15;97;13;1;5;4;11;13;3;0;13;188;2;66;35;0;8;7;212;30;20;11;15;0;249;55;640;1.898;291;34;172;192;409;65;63;684;255;5.413;3;68;24;0;5;3;174;24;30;9;6;0;251;124;659;1.558;289;53;388;318;437;66;123;1.154;250;6.016;8;124;32;2;5;7;222;49;39;16;11;0;254;219;987;1.483;321;99;493;542;526;136;201;4.254;323;10.353;5;55;6;0;8;3;96;28;16;4;4;0;120;275;618;472;105;70;242;283;285;59;111;4.156;314;7.335;3;31;0;1;1;1;42;10;2;4;1;0;41;195;348;204;45;23;149;116;196;22;62;2.714;225;4.436;0;1;0;0;0;1;2;0;0;0;0;0;2;7;15;13;2;1;9;8;54;6;8;345;12;486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;346;98;3;27;22;753;141;107;44;37;0;923;875;3.282;5.729;1.066;281;1.458;1.463;1.918;367;571;13.309;1.392;34.233
130260:Manaus - AM;0;0;1;2;11;0;0;0;1;1;0;0;0;0;1;6;0;0;0;0;5;0;1;0;1;30;0;2;27;42;245;85;4;26;14;49;6;0;39;0;14;303;28;6;26;20;354;13;16;0;19;1.338;3;171;1.077;1.263;5.126;2.264;158;690;730;1.925;172;4;1.590;288;1.429;6.086;1.662;255;3.904;2.705;2.714;360;451;3.555;222;38.804;7;243;996;1.064;4.448;3.233;153;724;775;1.932;185;0;1.646;424;1.944;5.143;1.671;277;4.704;3.477;2.643;566;685;9.303;196;46.439;18;335;1.260;1.349;5.581;4.043;239;917;935;2.734;295;1;2.055;779;3.573;5.950;2.199;476;6.718;6.583;3.787;1.107;1.455;28.525;257;81.171;16;188;617;523;2.031;1.489;169;465;367;1.190;189;2;830;670;2.613;2.440;965;409;3.311;4.700;2.151;866;1.059;30.316;139;57.715;12;57;201;116;383;391;117;186;89;327;85;0;309;357;1.405;957;399;167;1.276;2.040;1.164;716;559;22.253;60;33.626;0;6;6;5;6;5;11;16;3;13;7;0;23;16;55;61;18;6;36;81;88;72;49;2.266;4;2.853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;1.002;4.185;4.364;17.831;11.510;851;3.024;2.914;8.171;939;7;6.492;2.534;11.034;20.946;6.942;1.596;19.975;19.606;12.906;3.700;4.275;96.218;898;261.976
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;2;1;0;0;0;4;9;4;61;9;0;2;0;12;0;0;0;1;107;0;43;7;2;0;0;42;32;19;5;0;10;116;126;196;1.241;203;39;244;141;265;52;81;417;89;3.370;5;44;11;3;2;0;36;24;11;2;3;1;126;144;227;922;196;56;354;182;243;60;109;301;92;3.154;4;50;9;2;0;0;53;32;6;2;2;3;153;225;356;855;164;78;473;322;338;49;261;1.202;118;4.757;2;20;0;1;1;1;22;10;8;2;1;0;40;179;228;317;73;41;187;182;164;14;240;2.127;56;3.916;2;10;1;0;0;0;14;3;2;0;2;0;18;114;111;99;44;22;89;57;77;4;103;1.202;26;2.000;0;1;0;0;0;0;0;1;0;1;0;0;3;8;3;14;5;0;2;3;11;0;6;128;2;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;169;28;8;3;1;168;104;47;12;8;14;460;805;1.125;3.511;694;236;1.351;887;1.110;179;800;5.377;384;17.494
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;1;0;0;6;0;1;0;0;16;0;1;1;0;0;1;13;9;0;7;0;0;26;2;9;236;30;8;29;20;214;12;34;2;1;655;0;39;48;10;42;38;669;160;64;108;73;0;1.008;102;1.595;5.991;982;281;2.429;981;2.508;380;377;2.154;261;20.300;3;64;97;31;41;39;818;208;88;121;74;0;1.180;261;2.060;6.535;1.182;480;4.285;1.775;3.025;715;800;4.676;311;28.869;11;97;156;46;76;74;1.251;457;137;200;106;0;1.568;531;3.515;7.561;1.823;823;7.640;3.834;4.683;1.142;1.597;20.894;577;58.799;13;61;111;19;66;74;639;287;72;102;75;0;704;504;2.456;3.259;922;1.069;4.035;2.897;2.732;613;1.003;17.957;547;40.217;4;13;78;7;39;38;258;132;51;55;48;0;304;277;1.323;1.410;345;558;1.721;1.469;1.225;323;580;11.474;414;22.146;1;0;13;0;0;1;16;10;2;4;3;0;18;1;53;85;10;11;103;75;103;33;64;1.035;27;1.668;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;3;32;275;504;113;264;265;3.664;1.263;414;597;379;0;4.808;1.678;11.011;25.085;5.295;3.231;20.243;11.051;14.497;3.218;4.456;58.192;2.138;172.673
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;1;1;0;0;0;11;0;11;98;6;1;4;4;16;2;2;0;1;158;1;70;49;7;0;3;17;20;8;23;11;0;114;68;305;1.945;354;52;393;250;455;62;129;431;19;4.786;4;53;45;4;0;4;29;20;3;14;7;0;104;100;346;1.620;337;74;752;322;544;84;167;1.324;27;5.984;18;62;83;5;0;11;61;32;9;27;3;0;112;261;623;1.586;417;98;1.194;535;691;137;389;5.026;44;11.424;9;37;59;2;0;2;20;14;0;10;2;0;43;188;419;511;137;60;566;301;329;238;170;4.383;26;7.526;5;13;21;3;1;1;9;9;2;5;0;0;17;81;261;196;38;18;203;102;172;139;72;2.701;13;4.082;2;1;2;0;0;0;0;0;1;0;2;0;0;6;14;11;2;2;11;3;20;7;5;289;2;380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;39;236;259;21;1;21;136;96;24;79;25;0;401;704;1.979;5.970;1.291;305;3.123;1.517;2.227;669;935;14.155;132;34.345
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;1;0;0;1;1;0;0;2;3;6;107;8;1;13;1;12;0;2;1;1;161;8;95;44;0;1;12;18;63;18;61;12;0;88;268;413;1.460;319;43;290;193;400;73;145;2.549;61;6.634;11;71;36;1;1;6;12;56;24;62;6;0;70;352;554;844;261;60;382;277;250;61;157;3.748;60;7.362;24;67;47;2;2;13;17;52;19;41;3;0;33;486;962;811;231;98;566;426;267;106;273;8.481;85;13.112;17;33;16;0;1;0;2;20;9;17;0;0;27;263;566;292;84;125;207;180;132;318;173;5.474;46;8.002;8;14;2;0;0;0;2;14;5;9;0;0;15;106;241;84;20;31;95;66;64;321;62;3.297;33;4.489;1;0;0;0;0;0;0;1;0;1;0;0;0;6;9;5;2;3;4;3;4;17;7;318;1;382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;69;281;145;3;5;32;51;206;76;192;21;0;235;1.485;2.751;3.606;925;361;1.557;1.146;1.129;896;819;23.869;287;40.147
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;0;1;0;0;0;0;0;1;0;9;0;2;1;0;1;0;0;3;0;3;1;0;4;23;24;122;5;12;6;27;76;1;0;4;0;315;5;51;175;19;21;19;76;121;31;65;42;0;310;149;1.988;3.929;438;216;1.646;1.225;1.733;264;216;569;95;13.403;14;60;177;10;23;27;98;165;43;89;52;0;411;278;2.450;3.848;546;472;2.734;1.654;2.088;382;421;1.636;99;17.777;22;130;249;18;56;31;152;264;57;137;74;0;610;466;4.044;4.718;919;1.058;4.206;3.138;3.247;739;826;7.854;144;33.159;18;105;168;10;38;12;62;107;27;87;36;0;313;901;2.858;2.067;437;1.122;1.971;2.897;1.833;395;510;10.455;138;26.567;7;37;47;4;13;4;30;62;16;39;17;0;136;620;1.312;732;153;250;805;1.099;967;176;187;8.459;120;15.292;1;2;0;0;0;0;3;7;1;3;0;0;6;27;38;38;5;0;46;56;79;15;10;884;3;1.224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;67;387;817;61;152;93;421;729;175;423;222;0;1.790;2.465;12.716;15.458;2.503;3.131;11.414;10.096;10.023;1.972;2.170;29.863;599;107.747
221100:Terezina - PI;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;3;0;10;0;1;2;1;0;9;0;4;0;1;11;0;15;16;14;164;12;1;5;2;64;2;24;4;1;353;22;244;128;18;12;292;138;89;93;216;221;15;682;44;1.305;4.130;617;237;840;567;1.055;123;391;793;63;12.335;25;282;143;31;25;194;165;101;92;223;206;10;802;104;1.755;4.058;812;185;1.400;949;1.360;205;879;1.759;84;15.849;46;390;206;28;29;146;316;167;142;251;372;6;941;154;3.097;4.498;1.072;294;2.203;1.969;2.254;361;1.949;8.160;168;29.219;71;268;79;9;24;50;214;136;94;96;100;4;447;785;2.505;1.992;437;510;1.552;1.644;1.499;222;1.405;10.175;88;24.406;62;129;38;2;7;13;80;43;47;30;37;5;209;879;1.491;781;136;235;1.029;731;932;117;1.122;8.304;45;16.504;4;4;2;0;0;1;2;2;2;1;3;0;5;43;35;41;4;1;32;25;73;6;65;1.535;1;1.887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;230;1.318;598;89;97;706;915;542;470;818;950;40;3.104;2.025;10.202;15.667;3.090;1.463;7.061;5.887;7.237;1.036;5.835;30.734;450;100.564
