Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;03:Indústria Metalúrgica;04:Indústria Mecânica;06:Material de Transporte;07:Madeira e Mobiliário;09:Borracha, Fumo, Couros;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;5;0;4;5;2;0;0;4;1;1;0;0;0;19;1;9;93;33;1;12;10;56;8;5;1;10;275;9;136;94;16;0;14;125;45;21;25;28;0;477;134;1.055;3.015;793;101;1.028;438;669;128;204;2.329;140;0;11.024;14;104;80;10;1;6;117;56;12;25;6;0;442;177;1.088;2.034;659;130;1.671;589;598;133;373;4.156;166;0;12.647;13;152;93;13;3;21;183;74;29;21;8;0;434;314;1.729;2.481;790;168;2.528;1.163;941;175;720;7.360;239;0;19.652;10;68;34;6;0;4;93;49;19;14;4;0;157;656;1.272;1.049;339;134;1.209;834;563;82;653;9.773;122;0;17.144;11;33;17;1;0;3;39;26;8;4;0;0;54;393;739;382;128;32;459;348;381;41;436;6.792;85;0;10.412;0;3;0;0;0;1;3;1;0;0;0;0;2;11;19;21;5;0;21;17;25;1;28;563;4;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;0;4;0;0;0;0;0;0;1;0;1;0;6;9;18;92;8;2;15;10;16;1;8;1;5;197;25;109;39;6;16;9;228;26;31;32;38;0;331;64;1.006;2.151;311;40;323;299;508;38;104;1.056;229;0;7.019;24;103;39;7;9;17;200;37;31;20;36;0;315;103;1.043;1.798;306;69;630;388;502;65;201;2.092;246;0;8.281;43;155;50;7;5;18;277;43;52;16;26;0;360;168;1.518;1.907;356;111;880;731;737;140;423;4.580;421;0;13.024;31;81;24;0;4;3;124;31;17;6;4;0;152;262;958;653;134;87;285;416;404;71;304;4.613;315;0;8.979;12;39;2;1;1;2;62;12;3;4;3;0;73;257;532;270;53;41;163;203;266;41;334;3.208;261;0;5.843;1;0;0;0;0;2;2;1;0;0;0;0;2;9;21;14;1;1;4;14;25;5;34;321;28;485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;491;154;21;35;51;893;150;135;78;108;0;1.240;872;5.096;6.885;1.170;351;2.300;2.061;2.458;361;1.409;15.871;1.505;0;43.831
130260:Manaus - AM;0;0;1;2;2;1;0;0;2;2;0;0;2;0;0;7;1;0;0;2;2;0;1;0;0;25;0;4;37;85;171;173;4;19;37;61;7;0;37;4;50;306;56;9;27;51;393;8;26;0;13;1.578;9;208;1.483;1.569;3.629;4.419;184;655;869;1.717;113;0;1.705;507;3.207;7.938;2.194;330;4.180;3.268;3.071;272;552;2.769;294;0;45.142;15;236;1.626;1.474;3.438;5.712;173;724;876;2.034;96;2;1.646;705;3.668;6.462;2.226;362;5.595;4.322;2.898;487;831;5.358;245;0;51.211;25;383;1.993;1.668;4.138;7.119;256;909;1.143;2.897;140;1;2.156;1.389;6.910;7.978;3.005;504;8.682;7.841;4.986;780;2.047;15.003;312;0;82.265;18;192;1.008;792;1.921;2.225;148;466;514;1.464;69;3;931;1.120;4.945;3.501;1.376;435;4.408;5.270;2.917;435;1.648;15.409;162;0;51.377;24;80;375;201;466;649;108;172;136;449;65;3;403;749;3.144;1.510;645;195;1.818;2.879;1.626;291;1.259;10.891;71;0;28.209;3;3;13;8;5;11;6;6;2;19;7;0;20;27;126;66;34;6;71;114;121;35;116;1.286;4;2.109;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;94;1.106;6.536;5.799;13.770;20.309;879;2.951;3.579;8.643;497;9;6.900;4.501;22.051;27.768;9.537;1.841;24.781;23.747;16.014;2.308;6.480;50.716;1.101;0;261.917
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;3;0;0;6;0;3;0;0;0;0;1;0;1;0;0;0;1;7;0;65;3;0;1;3;9;0;5;2;0;101;5;58;5;5;1;0;22;26;6;4;1;0;227;83;393;1.524;245;44;182;158;380;36;126;707;89;0;4.327;6;61;8;1;3;0;31;37;9;7;2;2;192;194;456;1.284;258;49;337;211;341;42;182;749;147;0;4.609;7;89;4;1;1;1;58;35;21;8;1;1;199;439;774;1.221;314;75;446;319;529;66;442;1.692;213;0;6.956;3;33;1;1;0;0;13;12;8;2;2;0;85;374;475;467;141;43;167;188;251;16;310;2.544;132;0;5.268;1;13;1;3;1;0;13;6;0;2;0;1;29;234;318;166;73;22;86;105;127;9;171;1.818;78;0;3.277;1;0;0;0;0;0;1;0;0;0;0;0;3;22;19;14;9;0;4;3;15;0;12;206;4;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;257;19;11;6;1;139;116;45;23;6;4;736;1.353;2.436;4.742;1.043;233;1.223;987;1.653;169;1.251;7.718;663;0;24.857
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;1;2;3;0;0;0;0;12;0;0;1;1;0;0;4;14;0;1;0;0;22;4;12;252;27;7;16;16;142;17;8;2;0;546;2;61;126;22;19;90;326;226;79;131;54;0;801;314;2.273;6.701;1.073;274;2.920;1.249;3.125;450;484;4.637;242;0;25.679;5;92;163;30;41;117;547;276;88;177;70;0;1.150;550;2.902;7.812;1.383;577;5.544;2.021;3.570;786;1.089;7.858;297;0;37.145;25;146;284;64;48;186;920;496;133;341;93;0;1.517;1.025;4.583;9.445;1.968;999;9.828;4.298;5.665;1.384;2.424;21.543;523;0;67.938;38;84;159;39;34;133;556;326;72;173;63;0;813;932;3.137;3.917;988;986;5.398;3.383;3.523;613;2.201;20.611;518;0;48.697;22;27;102;15;10;80;257;182;27;117;49;0;440;770;2.202;1.799;419;754;2.405;2.188;1.880;331;1.912;13.583;508;0;30.079;1;0;14;1;0;1;8;14;2;7;5;0;20;24;95;100;19;20;141;107;147;25;156;1.207;44;2.158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;93;410;849;172;152;607;2.618;1.534;401;947;334;0;4.763;3.619;15.204;30.031;5.878;3.617;26.253;13.264;18.056;3.606;8.274;69.441;2.132;0;212.255
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;3;0;0;0;0;11;0;0;0;0;0;0;1;0;0;0;0;0;7;0;1;97;2;1;5;8;32;0;1;0;0;155;16;69;11;5;0;5;30;39;11;18;15;0;126;160;431;2.516;440;74;580;263;687;81;142;812;63;0;6.594;7;79;10;5;0;4;27;53;4;18;12;0;80;216;469;2.034;449;94;988;325;565;116;246;1.941;63;0;7.805;22;109;15;6;3;12;61;61;10;15;12;0;97;375;758;2.093;492;146;1.648;556;963;116;421;5.933;102;0;14.026;9;38;5;2;1;5;31;26;2;7;4;0;45;305;467;738;188;81;764;364;424;39;242;5.402;46;0;9.235;9;15;7;5;1;1;18;10;1;3;0;0;18;147;335;281;72;27;307;153;261;24;99;3.324;24;0;5.142;0;1;0;1;0;0;1;0;0;0;0;0;0;10;28;10;5;3;16;2;31;3;14;366;1;492;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;63;311;48;24;5;27;169;189;28;61;43;0;373;1.213;2.489;7.777;1.648;426;4.308;1.671;2.966;379;1.165;17.779;299;0;43.461
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;4;0;2;3;0;0;0;0;3;0;0;2;1;1;1;6;111;15;3;5;4;21;5;5;1;1;190;13;103;58;19;6;13;15;65;20;73;13;3;75;193;848;1.842;557;98;490;273;527;75;308;2.359;34;0;8.080;9;61;53;3;1;19;12;52;19;57;8;1;60;387;986;1.086;441;76;708;405;388;65;408;4.484;55;0;9.844;24;85;61;5;4;22;18;70;25;68;5;2;76;614;1.606;1.190;418;86;937;545;420;87;672;9.519;81;0;16.640;22;33;25;4;0;2;5;20;2;18;1;1;32;301;1.095;441;128;108;371;267;186;29;381;7.021;66;0;10.559;16;17;3;3;0;0;0;14;7;7;0;0;16;157;941;141;56;32;206;115;129;9;134;4.275;26;0;6.304;2;1;0;0;0;0;0;0;0;1;0;0;2;7;39;7;3;0;12;6;8;0;15;473;1;577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;302;203;34;11;56;50;224;73;224;29;8;262;1.661;5.521;4.819;1.620;403;2.729;1.615;1.679;270;1.923;28.132;264;0;52.198
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;26;0;0;0;0;0;1;0;0;0;12;7;38;6;1;4;7;78;0;0;0;1;181;16;80;434;682;11;44;81;124;28;96;67;1;530;280;5.933;4.929;1.114;216;2.116;1.387;2.151;388;351;1.599;92;0;22.750;13;92;567;597;14;20;83;164;25;124;61;1;646;459;6.102;4.716;1.268;283;3.753;2.387;2.464;521;680;2.918;110;0;28.068;30;174;991;812;32;52;129;336;64;250;73;1;809;579;8.437;5.912;1.581;288;5.868;3.927;4.117;877;1.379;10.673;176;0;47.567;32;135;900;456;12;26;70;161;33;175;39;0;391;616;5.465;2.618;803;473;3.134;3.215;2.373;479;913;13.336;135;0;35.990;10;63;251;192;7;9;31;88;18;83;28;1;159;554;3.076;1.068;276;179;1.748;1.532;1.421;176;503;12.897;120;0;24.490;0;1;5;5;1;1;3;8;1;6;2;0;5;25;105;49;13;2;136;84;120;16;35;1.566;12;2.201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;101;545;3.148;2.770;77;152;397;881;169;735;270;4;2.540;2.525;29.125;19.331;5.061;1.442;16.759;12.539;12.724;2.457;3.862;42.989;646;0;161.249
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;9;1;0;0;3;1;0;1;0;29;0;2;1;1;0;10;1;6;1;7;17;1;16;0;13;168;52;10;6;9;30;8;36;1;2;398;22;327;169;77;23;185;145;156;90;256;227;9;685;162;2.515;4.474;1.329;302;908;696;1.639;291;474;1.912;180;0;17.253;30;348;224;72;24;210;157;107;81;241;242;10;833;299;2.683;4.196;1.404;325;1.590;1.082;1.937;528;1.250;3.462;262;0;21.597;41;528;288;81;23;214;339;199;144;327;431;11;1.083;489;4.702;5.195;1.823;301;2.772;2.237;3.074;1.125;2.476;8.557;417;0;36.877;23;333;107;25;8;68;257;99;78;128;139;5;474;691;3.417;2.233;768;433;1.868;1.753;2.062;849;1.787;10.906;210;0;28.721;21;176;52;8;0;22;108;56;46;54;47;5;194;917;2.302;901;255;246;1.332;977;1.435;607;1.510;9.651;90;0;21.012;1;6;0;1;0;0;6;3;2;1;2;0;5;30;68;41;5;5;57;42;82;54;88;1.236;4;1.739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;138;1.720;841;265;78;709;1.013;626;442;1.014;1.105;41;3.290;2.588;15.700;17.222;5.645;1.623;8.533;6.796;10.262;3.463;7.621;35.726;1.165;0;127.626
