Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;03:Indústria Metalúrgica;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;1;0;0;0;0;0;0;0;0;0;0;0;18;5;2;0;0;0;0;1;0;0;0;27;1;13;2;0;0;0;3;0;0;1;2;0;20;1;132;146;30;3;15;5;68;9;12;0;4;467;15;133;107;61;1;23;118;41;31;56;20;0;447;129;4.559;3.161;1.026;97;1.203;512;730;108;202;2.480;136;15.396;23;127;87;51;2;19;111;46;45;29;10;0;365;202;4.083;2.152;756;123;1.751;602;589;136;322;4.283;151;16.065;28;177;124;87;2;21;205;76;46;37;11;0;375;314;5.741;2.576;952;182;2.792;1.249;997;178;687;8.017;236;25.110;17;74;39;30;0;4;102;57;24;18;5;0;143;643;3.488;1.181;369;130;1.429;889;610;82;641;10.034;150;20.159;20;42;17;18;1;2;44;32;11;5;1;0;42;448;2.166;459;161;42;603;449;393;56;449;7.709;91;13.261;0;3;0;0;0;0;2;2;0;0;0;0;2;14;53;10;9;0;28;21;21;3;33;687;6;894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;569;377;247;6;69;585;254;157;146;49;0;1.394;1.751;20.240;9.690;3.305;577;7.821;3.727;3.408;573;2.346;33.210;774;91.379
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;0;0;0;0;0;0;0;0;7;0;3;1;1;0;0;2;1;0;0;3;0;5;6;24;93;21;0;2;10;38;3;8;0;5;226;18;115;54;9;15;5;167;23;31;31;29;0;336;62;1.293;2.302;354;46;366;340;563;196;86;1.046;189;7.676;32;103;37;9;5;16;184;37;31;31;14;0;354;100;1.292;1.896;370;64;738;396;572;222;157;1.945;221;8.826;42;146;51;10;5;16;255;53;51;25;7;0;402;169;1.971;2.101;432;117;1.063;770;850;329;299;4.359;394;13.917;37;75;19;3;1;6;138;28;19;13;1;0;152;260;1.183;718;151;88;383;405;470;121;138;4.870;300;9.579;14;40;7;2;0;1;57;12;5;7;2;0;75;261;723;285;50;45;194;219;298;55;80;3.479;254;6.165;1;1;0;1;0;2;1;1;0;1;0;0;2;17;33;18;1;1;8;18;31;7;4;336;27;511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;483;169;35;26;46;804;155;137;108;56;0;1.326;875;6.521;7.417;1.380;361;2.754;2.158;2.822;933;772;16.035;1.390;46.907
130260:Manaus - AM;0;0;0;1;1;3;0;0;0;0;0;0;1;0;0;8;1;1;1;2;3;0;1;0;0;23;0;5;41;78;186;122;4;15;40;47;4;0;60;8;31;307;71;15;23;56;397;20;29;0;15;1.574;12;264;1.323;1.612;3.366;3.107;170;472;579;1.435;116;0;1.776;482;3.337;8.266;2.220;328;4.408;3.126;3.479;293;525;3.050;206;43.952;23;281;1.576;1.693;3.399;4.841;154;622;689;1.833;111;0;1.712;730;3.778;6.713;2.406;402;6.486;4.377;3.235;490;802;4.797;202;51.352;27;496;1.999;1.941;4.120;6.946;256;826;924;2.733;129;1;2.231;1.190;7.183;8.578;3.325;543;9.688;8.013;5.314;834;1.859;14.219;240;83.615;16;282;984;913;1.921;2.315;145;420;451;1.459;77;1;983;833;4.965;3.716;1.572;441;4.820;5.304;3.247;489;1.285;14.564;137;51.340;19;117;427;261;495;759;93;180;119;435;75;3;438;546;3.222;1.637;731;252;2.009;3.042;1.924;320;774;10.285;61;28.224;2;4;16;7;4;14;4;6;4;16;10;0;22;17;114;78;25;9;90;121;128;41;84;1.282;8;2.106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;1.449;6.366;6.506;13.492;18.107;826;2.541;2.806;7.958;522;5;7.223;3.806;22.630;29.303;10.351;1.991;27.525;24.041;17.727;2.487;5.359;48.197;869;262.186
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;1;0;6;0;4;0;0;0;0;1;0;1;1;0;0;8;7;11;47;3;1;4;7;15;2;3;4;1;120;2;61;4;3;0;0;15;20;11;10;1;0;227;91;642;1.744;271;44;211;141;367;39;115;1.256;40;5.315;3;61;6;0;0;0;28;27;10;6;3;1;235;221;717;1.379;267;47;353;219;268;41;174;2.201;92;6.359;7;96;9;1;0;0;53;32;21;3;3;1;262;450;1.249;1.390;350;88;470;340;407;58;386;5.032;120;10.828;4;40;3;1;0;0;15;13;8;2;1;0;91;398;792;467;135;43;188;196;175;25;296;4.199;72;7.164;3;11;0;3;0;0;13;6;4;3;0;1;36;271;494;185;80;23;102;109;124;8;148;2.782;42;4.448;0;0;0;0;0;0;2;0;0;0;0;0;3;23;27;7;5;0;4;4;14;0;9;330;1;429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;273;22;8;0;0;127;98;55;25;8;3;862;1.461;3.932;5.220;1.111;246;1.332;1.016;1.373;173;1.132;15.805;368;34.669
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;2;0;0;0;8;0;0;2;0;1;4;2;6;0;4;1;0;16;15;14;267;21;3;15;40;145;30;7;0;0;593;8;79;173;11;16;103;211;213;105;124;39;0;770;460;2.532;6.694;1.135;275;2.728;1.360;3.088;445;461;4.407;173;25.610;15;87;176;31;30;115;339;304;123;179;55;0;1.056;647;2.951;7.863;1.421;584;5.309;2.127;3.530;766;950;7.753;251;36.662;38;185;299;56;41;209;707;499;180;308;54;0;1.591;1.224;5.139;10.202;2.141;1.133;9.971;4.443;5.813;1.385;2.183;19.494;413;67.708;48;80;202;41;27;129;459;324;95;155;32;0;867;1.012;3.389;4.189;1.081;944;5.558;3.348;3.690;603;1.555;19.461;393;47.682;30;33;112;15;10;70;222;198;37;98;19;1;436;871;2.228;1.967;462;834;2.614;2.235;2.125;349;1.066;13.893;306;30.231;1;0;13;1;0;3;4;12;3;4;4;0;15;36;100;110;21;22;136;97;155;28;79;1.380;29;2.253;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;140;464;977;155;125;633;1.944;1.556;543;872;204;1;4.751;4.265;16.353;31.295;6.282;3.795;26.332;13.651;18.548;3.608;6.301;66.388;1.565;210.748
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;6;2;2;59;4;0;5;9;24;0;8;1;3;124;5;74;9;2;0;5;21;41;8;19;12;0;145;181;506;2.559;487;82;700;258;659;89;152;712;47;6.773;8;75;14;2;0;3;27;38;4;19;3;0;111;279;576;2.098;502;103;1.268;360;650;110;282;1.868;56;8.456;19;111;17;4;0;7;48;54;10;20;11;0;121;457;931;2.309;575;155;2.078;623;1.043;140;425;6.141;73;15.372;10;46;6;2;0;6;30;21;1;7;3;0;50;320;572;764;230;82;948;371;513;57;231;5.734;54;10.058;2;15;6;4;0;0;32;9;2;6;1;0;25;174;415;323;80;35;374;179;278;39;97;3.707;22;5.825;0;1;0;1;0;0;0;0;0;1;0;0;1;11;18;9;3;2;23;4;34;5;12;427;1;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;44;323;52;15;0;21;158;163;25;72;30;0;459;1.424;3.020;8.124;1.882;459;5.396;1.804;3.202;440;1.207;18.591;256;47.167
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;4;0;6;0;2;3;0;0;0;0;0;1;0;3;0;4;3;8;149;24;1;8;1;46;3;4;2;1;263;14;133;62;8;0;18;17;64;20;24;19;2;72;160;769;2.073;667;92;613;239;544;90;311;2.087;48;8.146;13;66;53;3;0;15;14;44;17;24;18;1;60;369;934;1.337;522;89;862;366;390;75;465;4.471;54;10.262;30;104;78;6;4;22;20;58;34;25;8;0;69;588;1.654;1.340;526;94;1.115;553;461;100;818;9.749;93;17.549;23;45;36;1;0;4;7;20;5;13;3;0;34;275;1.156;511;172;103;460;244;221;45;464;7.452;53;11.347;17;22;6;3;0;1;0;10;8;10;1;0;10;162;972;169;66;39;235;105;119;22;176;4.715;31;6.899;2;0;0;0;0;0;0;0;0;0;0;0;2;6;55;8;4;1;11;6;11;3;18;537;0;664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;372;238;21;4;60;58;196;85;96;52;3;251;1.563;5.548;5.587;1.982;419;3.304;1.514;1.793;338;2.256;29.017;280;55.136
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;2;15;13;43;4;0;9;11;62;1;1;1;0;164;16;71;264;38;17;29;91;140;25;96;54;0;471;294;4.658;5.268;1.176;181;2.564;1.187;2.149;421;328;2.052;44;21.634;17;85;394;49;16;25;83;169;32;120;47;0;558;481;4.804;4.792;1.482;283;4.044;2.285;2.577;553;636;3.547;64;27.143;30;163;826;75;29;52;132;335;58;206;74;0;765;690;7.263;6.215;1.830;310;6.601;4.021;4.162;899;1.375;10.619;114;46.844;44;139;808;51;10;17;80;178;48;158;31;0;380;625;4.943;2.877;900;410;3.406;3.199;2.498;521;893;13.487;81;35.784;17;60;241;20;5;5;29;88;14;74;14;0;156;604;2.854;1.165;304;228;1.672;1.611;1.547;213;444;13.726;35;25.126;1;1;3;1;1;2;2;9;1;7;2;0;9;26;93;56;12;2;99;67;113;15;36;1.703;3;2.264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;519;2.537;234;78;130;417;919;178;661;222;0;2.341;2.735;24.628;20.417;5.708;1.414;18.395;12.381;13.108;2.623;3.713;45.135;341;158.960
221100:Terezina - PI;0;0;0;1;0;3;0;0;0;1;6;0;0;0;0;18;6;0;0;0;0;0;0;0;0;35;0;1;2;4;0;15;15;1;0;3;24;0;5;17;11;172;60;11;6;13;63;9;21;1;0;454;35;325;220;82;22;242;249;128;84;164;243;9;688;166;3.911;4.675;1.539;290;1.075;737;1.699;254;371;1.226;153;18.587;52;322;259;69;30;239;205;92;88;204;226;12;839;314;3.944;4.403;1.528;359;1.922;1.121;1.978;568;1.131;2.904;193;23.002;56;521;336;85;27;244;352;160;137;303;436;13;1.141;560;6.528;5.660;2.052;296;3.304;2.333;3.312;1.178;2.409;7.820;371;39.634;27;300;119;23;9;65;266;81;77;129;153;6;504;634;4.473;2.439;866;397;2.249;1.763;2.164;923;1.636;10.186;195;29.684;13;204;58;10;5;31;117;48;62;52;47;4;209;917;3.018;1.024;275;269;1.858;980;1.461;653;1.424;9.580;106;22.425;0;5;2;0;0;0;6;2;4;0;3;1;4;29;82;47;8;3;103;38;95;62;85;1.217;12;1.808;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;1.678;996;274;93;839;1.210;512;452;856;1.138;45;3.390;2.637;21.967;18.438;6.334;1.625;10.517;6.985;10.772;3.647;7.077;32.934;1.030;135.629
