Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;03:Indústria Metalúrgica;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;3;4;0;0;0;0;0;0;0;0;44;3;11;4;1;0;2;2;2;2;0;1;0;18;2;185;257;48;1;20;3;64;9;10;1;13;659;21;195;140;117;1;31;141;47;63;58;25;0;476;121;8.786;3.564;1.107;113;1.354;610;747;142;290;2.614;155;20.918;17;142;129;92;3;19;114;45;63;49;9;0;352;197;7.511;2.212;913;140;1.910;778;618;135;431;4.929;181;20.989;37;216;162;113;3;24;195;83;71;57;9;0;417;355;9.305;2.750;1.092;191;2.987;1.387;958;197;839;8.812;288;30.548;23;110;63;38;0;10;115;69;30;31;5;0;163;541;5.278;1.265;436;130;1.550;1.009;648;79;710;9.922;187;22.412;31;59;34;23;1;5;48;32;16;9;3;0;63;440;3.268;538;194;50;632;524;433;66;532;8.263;111;15.375;1;2;1;0;0;0;3;2;1;0;0;0;4;14;96;18;14;0;28;25;33;3;42;795;4;1.086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;735;533;384;8;91;618;280;246;204;52;0;1.493;1.670;34.466;10.607;3.808;625;8.481;4.336;3.501;631;2.854;35.336;939;112.031
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;2;0;0;0;1;0;6;3;18;119;17;1;3;16;28;1;4;0;3;223;16;180;43;9;13;8;236;16;34;29;41;0;379;66;1.264;2.357;416;57;439;302;551;255;106;1.268;189;8.274;25;135;54;8;8;19;207;40;30;25;22;0;364;109;1.278;1.787;420;89;783;328;530;294;201;2.765;256;9.777;47;161;53;15;9;11;312;55;60;23;17;0;428;204;2.019;2.170;454;131;1.275;651;905;496;416;5.602;411;15.925;26;100;29;4;3;3;177;33;18;11;5;0;176;193;1.206;782;160;99;441;322;512;166;298;5.420;315;10.499;18;55;15;1;0;1;77;16;9;7;1;0;83;235;764;328;52;53;227;180;323;71;368;4.032;290;7.206;0;1;0;1;0;1;1;1;0;1;0;0;3;18;35;18;1;1;19;19;30;9;40;418;35;652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;633;194;38;33;43;1.012;161;151;96;87;0;1.439;828;6.586;7.565;1.520;431;3.187;1.818;2.879;1.292;1.433;19.505;1.499;52.562
130260:Manaus - AM;0;0;1;2;1;3;0;0;3;1;0;0;0;0;1;6;2;0;1;0;5;1;0;1;0;28;0;5;41;84;250;176;6;16;22;75;8;0;55;5;49;331;74;15;32;72;410;27;30;1;11;1.795;26;220;1.478;1.960;3.791;2.821;200;552;648;1.725;146;0;1.629;475;2.981;8.635;2.242;361;5.614;3.218;3.629;280;540;2.995;220;46.386;52;275;1.834;2.096;4.360;4.780;202;623;670;1.924;133;1;1.713;746;3.435;7.127;2.403;412;7.350;4.534;3.331;505;1.027;5.794;197;55.524;75;453;2.450;2.398;5.061;7.327;294;951;941;2.950;170;1;2.341;1.229;6.431;9.297;3.479;573;11.018;8.664;5.338;850;2.224;17.182;266;91.963;48;239;1.112;1.031;2.250;2.434;145;424;456;1.564;102;1;1.050;862;4.477;4.108;1.598;443;5.276;5.741;3.408;458;1.775;16.849;135;55.986;48;126;488;302;587;811;97;201;149;496;92;3;476;614;3.065;1.826;804;253;2.298;3.425;1.972;299;1.435;12.790;63;32.720;3;8;17;9;9;15;2;12;3;18;13;1;22;19;126;88;33;8;106;146;141;45;155;1.561;8;2.568;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;252;1.326;7.421;7.882;16.309;18.367;946;2.779;2.892;8.753;664;7;7.286;3.950;20.565;31.418;10.635;2.065;31.695;25.800;18.234;2.465;7.186;57.174;900;286.971
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;0;5;0;2;1;1;0;2;0;0;0;0;0;0;2;13;8;72;5;1;7;6;24;4;7;0;1;156;8;82;7;2;5;4;24;17;9;9;4;0;207;75;658;2.112;332;62;254;201;539;37;120;940;36;5.744;5;71;15;4;3;5;26;29;8;10;0;1;213;170;764;1.607;353;48;422;250;507;45;243;1.833;86;6.718;16;102;14;2;6;1;42;29;13;2;3;0;259;416;1.216;1.676;393;85;575;365;791;72;452;4.661;87;11.278;7;51;3;0;2;2;18;15;7;1;1;0;97;374;746;562;148;56;223;206;450;25;372;4.091;61;7.518;4;20;5;3;1;0;13;6;1;4;0;1;39;254;497;246;71;27;119;116;340;11;213;2.755;41;4.787;0;1;0;0;0;0;3;0;0;0;0;0;2;23;30;12;3;1;12;5;39;0;16;296;0;443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;329;45;12;17;14;126;96;38;26;8;2;819;1.326;3.919;6.288;1.306;280;1.612;1.149;2.690;194;1.425;14.576;312;36.649
150140:Belém - PA;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0;0;3;1;0;0;0;0;9;0;0;1;0;0;0;6;11;0;2;1;0;40;9;11;300;22;10;16;39;150;37;12;0;3;670;7;121;100;14;23;110;232;216;102;137;25;0;970;336;3.048;7.638;1.179;260;3.253;1.611;3.243;476;501;4.588;181;28.371;17;136;135;36;24;139;342;322;127;182;36;0;1.244;526;3.586;8.160;1.456;508;5.928;2.465;3.751;806;1.104;9.133;235;40.398;46;240;266;70;43;215;698;504;189;351;41;0;1.759;1.116;6.263;11.095;2.271;1.058;11.056;4.830;6.294;1.619;2.589;20.943;377;73.933;44;116;180;35;27;142;424;345;96;198;22;0;934;931;4.029;4.770;1.137;839;6.205;3.491;3.847;699;2.094;21.094;356;52.055;39;51;112;18;8;67;225;219;46;137;16;0;486;750;2.826;2.220;518;861;2.960;2.440;2.260;401;1.826;15.113;323;33.922;1;2;15;1;0;4;5;15;3;7;4;0;15;44;123;129;23;30;158;109;165;38;166;1.664;30;2.751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;666;809;174;125;677;1.932;1.633;563;1.014;145;0;5.448;3.713;19.886;34.315;6.606;3.566;29.576;14.988;19.711;4.076;8.292;72.535;1.505;232.109
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;3;0;2;2;0;0;0;0;1;1;0;0;0;2;10;2;91;13;1;16;4;23;1;7;0;1;177;5;77;13;4;0;5;24;23;10;13;11;0;123;123;672;2.752;499;99;674;245;567;93;152;575;51;6.810;7;78;15;6;0;3;26;39;6;13;7;0;101;233;697;2.331;540;91;1.228;357;579;113;253;1.689;43;8.455;16;100;20;7;0;8;61;58;17;13;7;0;126;375;1.160;2.480;679;183;1.895;625;916;155;421;5.834;83;15.239;9;38;8;3;1;3;39;26;3;1;7;0;51;190;725;899;236;76;897;368;489;117;264;5.681;45;10.176;5;12;7;2;0;0;27;12;3;8;2;0;33;106;537;372;88;45;303;160;277;128;95;3.784;24;6.030;0;0;0;1;0;0;0;0;0;0;0;0;2;5;27;15;4;1;11;0;31;9;15;432;2;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;42;307;65;23;1;19;177;159;40;48;34;0;438;1.042;3.820;8.941;2.059;496;5.024;1.759;2.884;616;1.207;17.996;249;47.446
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;4;0;3;1;0;0;1;1;2;1;0;1;0;2;2;13;191;30;2;10;4;95;4;1;2;0;366;17;157;106;8;0;26;24;46;22;73;20;1;77;177;1.074;2.298;761;96;703;317;633;103;291;1.636;33;8.699;19;102;61;5;0;22;18;56;17;62;11;2;54;422;1.041;1.483;540;95;992;337;491;86;437;4.014;41;10.408;30;152;71;7;5;33;27;69;36;94;10;0;82;721;1.779;1.467;551;98;1.335;594;494;122;874;9.610;82;18.343;28;59;38;0;1;9;6;22;4;42;4;0;31;326;1.085;544;144;99;482;265;237;132;441;7.557;40;11.596;11;47;8;6;1;4;2;8;11;19;1;0;16;196;676;165;60;50;262;122;144;223;199;4.985;19;7.235;2;3;0;0;0;1;0;2;1;2;0;0;1;8;27;8;2;1;7;9;13;26;15;553;2;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;523;285;26;7;96;78;205;92;292;47;3;263;1.852;5.695;6.159;2.088;441;3.791;1.648;2.108;696;2.258;28.357;217;57.334
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;2;0;0;0;0;5;0;0;1;0;0;0;1;0;0;0;1;0;2;5;48;105;8;1;12;7;79;0;3;2;0;275;40;121;358;198;22;44;110;157;37;100;50;6;659;350;8.717;6.316;1.278;219;3.338;1.497;2.390;464;394;1.803;37;28.705;35;101;439;267;23;45;87;174;43;154;45;3;688;576;8.556;5.468;1.510;314;4.967;2.600;2.620;589;752;4.229;55;34.340;55;178;828;301;36;56;138;295;77;231;58;4;961;860;12.412;6.915;2.057;362;7.852;4.414;4.067;900;1.594;12.001;84;56.736;45;157;840;127;14;23;80;195;49;163;35;0;395;660;7.699;3.257;971;391;4.091;3.308;2.492;607;1.081;14.165;63;40.908;29;68;264;40;6;15;29;96;16;80;11;0;149;612;4.493;1.411;358;280;1.908;1.912;1.535;249;592;14.404;29;28.586;1;3;5;1;1;1;1;10;2;12;2;0;6;34;140;57;21;2;104;72;114;18;52;1.848;1;2.508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;628;2.735;934;102;184;446;927;224;740;202;13;2.860;3.097;42.066;23.530;6.203;1.569;22.273;13.810;13.299;2.827;4.468;48.452;269;192.063
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;12;2;0;0;2;0;1;0;0;28;0;2;3;5;0;19;11;13;0;1;13;0;12;0;20;255;91;13;10;13;82;4;6;0;2;575;61;363;288;95;33;302;275;141;78;162;228;11;764;202;4.129;5.175;1.782;296;1.231;934;1.964;291;375;1.365;186;20.731;48;370;288;77;27;261;237;121;110;209;238;15;941;346;4.162;4.933;1.743;386;2.055;1.222;2.191;557;1.055;3.290;272;25.154;65;614;404;87;33;272;376;201;161;305;397;15;1.306;646;7.058;6.284;2.212;317;3.688;2.498;3.606;1.172;2.429;7.692;528;42.366;27;342;152;17;5;81;266;115;84;146;196;9;547;623;4.661;2.707;895;363;2.297;1.793;2.393;897;1.619;10.190;263;30.688;24;228;69;11;4;51;156;71;63;54;60;5;235;1.279;3.250;1.145;311;295;1.870;1.108;1.446;676;1.459;10.330;100;24.300;1;9;4;0;0;0;5;3;5;3;1;1;5;91;122;62;10;4;120;45;84;63;92;1.399;11;2.140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;226;1.928;1.208;292;102;986;1.326;665;501;880;1.134;56;3.810;3.187;23.402;20.571;7.056;1.676;11.271;7.613;11.768;3.660;7.036;34.269;1.362;145.985
