Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;9;1;0;1;0;0;1;2;0;0;67;0;10;4;3;0;3;5;3;0;3;1;0;24;3;268;279;83;2;16;11;60;11;7;0;10;806;12;217;85;182;2;19;107;58;77;67;19;0;461;107;6.900;3.682;1.177;117;1.471;643;838;152;231;2.267;164;19.055;19;234;76;133;1;16;96;44;74;49;18;0;305;161;6.803;2.276;1.051;145;2.228;820;740;127;407;5.028;173;21.024;35;364;152;163;4;25;200;71;84;59;24;0;459;298;9.479;2.893;1.289;210;3.875;1.525;1.220;239;817;10.152;324;33.961;30;139;61;57;0;8;109;64;30;26;8;0;207;359;4.840;1.389;473;136;2.042;1.129;867;97;577;9.699;187;22.534;23;79;32;25;1;4;46;37;22;5;5;0;87;467;3.193;619;235;74;831;668;641;85;437;8.999;135;16.750;0;6;1;3;0;1;1;5;1;1;0;0;6;12;128;28;13;0;56;42;43;3;50;873;5;1.278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;13;119;1.049;411;566;8;76;564;282;288;210;75;0;1.549;1.407;31.664;11.175;4.322;684;10.520;4.838;4.409;715;2.528;37.031;998;115.488
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;2;0;0;1;0;7;0;0;1;0;0;0;1;1;1;1;1;0;5;14;19;186;30;2;8;19;41;7;5;2;6;350;37;179;22;7;1;18;147;12;33;45;34;0;280;48;1.033;2.786;480;73;670;327;707;191;124;670;193;8.117;46;160;30;6;1;13;171;32;42;41;21;0;306;108;1.108;1.935;489;76;1.106;372;638;285;196;1.951;211;9.344;87;215;42;14;1;29;300;62;58;38;22;0;398;230;1.865;2.606;679;137;1.897;765;1.122;595;553;4.822;417;16.954;51;119;9;4;1;6;170;41;23;24;3;0;165;219;1.115;1.018;220;87;652;383;591;227;312;5.537;246;11.223;43;49;11;1;0;1;88;20;10;9;2;0;87;303;685;395;86;61;370;243;403;86;370;4.500;168;7.991;2;2;0;1;0;1;2;0;0;2;1;0;4;40;33;24;4;1;31;26;36;14;39;568;8;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266;724;115;33;4;68;879;168;167;160;84;0;1.246;962;5.858;8.951;1.989;437;4.734;2.136;3.540;1.405;1.599;18.051;1.249;54.825
130260:Manaus - AM;0;0;4;2;6;1;1;1;0;2;0;0;1;0;2;3;4;0;1;6;10;0;1;0;0;45;0;11;91;137;400;190;8;42;54;118;8;0;65;23;159;523;102;10;77;105;556;37;26;2;8;2.752;36;207;1.389;2.100;4.439;2.600;202;643;844;1.646;127;7;1.872;383;3.862;9.342;2.466;328;5.695;3.357;3.719;398;671;3.203;183;49.719;100;248;1.633;2.277;4.767;3.892;187;676;757;1.732;100;2;1.847;766;4.395;7.143;2.345;420;7.852;4.665;3.424;527;1.088;5.493;171;56.507;200;510;2.625;2.977;6.124;6.972;258;1.119;1.207;2.838;155;1;2.784;1.476;8.136;10.127;3.898;522;13.271;9.585;5.982;1.158;2.374;16.382;232;100.913;133;260;1.218;1.174;2.560;2.628;164;509;591;1.591;112;2;1.261;956;5.396;4.685;1.843;403;6.659;6.298;3.696;541;1.938;16.678;132;61.428;177;167;543;399;761;1.009;105;299;213;692;119;3;633;759;3.835;2.288;985;267;3.447;4.143;2.398;337;1.541;13.130;71;38.321;3;9;19;12;9;36;4;11;8;20;15;0;32;47;171;107;35;10;147;198;156;46;205;1.564;10;2.874;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;649;1.412;7.522;9.078;19.066;17.328;929;3.300;3.674;8.639;636;15;8.495;4.410;25.956;34.219;11.678;1.960;37.149;28.357;19.941;3.044;7.844;56.452;807;312.560
140010:Boa Vista - RR;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;1;0;0;0;0;8;1;2;0;1;0;1;0;0;0;0;0;0;11;5;28;93;10;0;4;6;48;8;4;5;4;231;8;97;14;2;17;13;17;23;33;7;3;0;183;59;607;2.279;353;69;282;192;650;43;187;1.196;64;6.398;7;131;12;4;8;4;17;16;25;5;2;0;143;134;667;1.750;393;75;519;271;620;68;317;2.020;77;7.285;13;164;21;3;19;3;42;31;26;4;2;0;249;409;1.030;1.915;497;98;715;494;1.034;90;593;5.671;140;13.263;13;65;6;0;7;2;22;15;13;1;1;0;150;408;679;711;139;57;241;231;613;76;385;4.657;88;8.580;6;40;2;3;1;0;13;7;7;3;0;0;77;319;450;293;60;35;128;120;494;104;269;3.373;51;5.855;0;0;0;0;0;0;1;0;0;0;0;1;9;27;32;18;7;0;7;6;72;16;23;397;1;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;48;500;55;13;52;23;112;92;104;20;8;1;822;1.361;3.496;7.061;1.459;334;1.896;1.321;3.532;405;1.778;17.322;425;42.240
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;3;0;0;0;0;8;0;0;0;1;0;1;5;7;0;4;1;0;21;1;16;267;22;9;31;75;189;36;18;2;0;706;9;77;72;40;22;115;250;227;66;129;30;0;692;203;3.889;8.190;1.271;258;3.447;1.571;3.410;611;558;2.895;774;28.806;14;121;79;50;32;137;294;320;123;141;37;0;975;384;4.468;8.264;1.592;524;5.998;2.497;3.830;879;1.252;5.363;802;38.176;55;229;142;106;59;238;743;570;194;326;70;0;1.594;985;7.632;12.405;2.697;1.191;12.609;5.180;7.306;1.923;3.382;15.417;1.232;76.285;43;112;86;55;28;147;499;365;101;208;39;0;869;807;4.858;5.552;1.293;865;7.273;3.704;4.821;920;2.602;15.073;592;50.912;47;67;72;25;10;117;234;243;58;128;16;0;430;1.016;3.070;2.611;680;1.039;3.639;2.823;3.036;507;2.500;14.293;387;37.048;1;4;4;1;0;2;8;17;2;11;3;0;32;54;159;158;36;47;217;155;245;61;300;1.731;21;3.269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;169;610;455;278;151;757;2.033;1.749;544;947;196;0;4.613;3.450;24.092;37.451;7.591;3.934;33.214;16.005;22.841;4.937;10.612;54.774;3.808;235.211
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;1;0;1;3;0;0;0;0;10;0;1;1;0;0;0;1;0;0;0;0;0;3;0;9;156;35;4;20;12;29;2;4;2;2;281;13;83;18;29;0;3;20;27;7;14;18;0;290;86;839;2.813;606;113;976;245;640;98;156;643;50;7.787;12;71;5;22;0;6;24;17;15;6;12;0;255;211;849;2.517;719;127;1.439;395;621;121;316;1.709;71;9.540;29;107;20;31;2;7;47;50;12;17;8;0;272;413;1.459;2.989;889;226;2.624;724;1.024;186;638;5.678;106;17.558;17;45;5;21;0;5;40;21;6;4;7;0;95;333;892;1.076;319;91;1.240;454;548;72;413;5.876;44;11.624;9;18;6;8;0;0;25;14;2;1;0;0;44;203;620;471;139;34;449;271;287;39;198;4.234;25;7.097;0;1;0;2;0;0;2;0;0;0;0;0;2;14;35;17;9;1;13;1;34;3;23;468;0;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;326;55;113;2;21;159;129;42;42;45;0;962;1.260;4.703;10.043;2.716;597;6.761;2.103;3.186;521;1.748;18.610;298;54.522
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;2;0;5;0;0;0;0;12;1;9;0;0;0;0;1;4;1;3;4;0;2;0;36;217;46;6;36;14;277;2;3;4;1;667;17;138;72;12;1;11;39;38;13;67;19;3;122;158;1.244;2.582;830;98;865;352;735;120;239;1.172;44;8.991;18;125;67;12;0;18;31;53;13;41;13;3;71;402;1.068;1.540;616;127;1.127;385;523;133;526;2.930;72;9.914;37;162;52;22;3;34;35;62;29;51;18;0;120;851;1.916;1.735;695;131;1.695;686;677;187;1.023;8.512;113;18.846;29;92;32;5;1;10;23;28;9;29;7;0;39;404;1.129;634;196;104;685;325;339;57;524;7.550;57;12.308;22;45;3;9;1;4;4;12;6;13;4;0;25;256;713;213;86;59;303;147;180;31;272;5.040;40;7.488;2;5;0;0;0;0;0;1;0;3;0;0;1;15;31;6;1;0;9;7;18;1;15;503;0;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;576;226;60;6;77;133;198;71;207;65;6;380;2.086;6.138;6.930;2.471;525;4.722;1.916;2.754;531;2.602;25.711;327;58.844
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;1;0;1;2;39;91;5;0;7;22;67;2;2;0;0;243;20;211;455;54;76;39;66;101;45;139;45;0;683;140;6.711;6.901;1.765;248;3.621;1.722;2.710;515;516;1.210;42;28.035;49;243;484;53;70;35;82;125;68;173;35;0;775;323;7.357;5.744;2.040;377;5.987;3.131;2.847;625;868;3.488;54;35.033;66;396;912;75;105;63;129;255;84;295;54;0;1.128;528;11.819;7.402;2.849;435;10.321;5.449;4.693;1.009;1.919;11.838;86;61.910;36;245;857;54;35;27;92;173;60;198;37;1;484;403;6.994;3.583;1.284;362;5.184;3.287;2.817;674;1.267;14.145;63;42.362;37;171;380;26;17;20;40;90;27;109;15;0;218;747;4.303;1.714;482;358;2.495;2.309;1.638;283;727;15.584;26;31.816;3;7;6;2;3;2;2;21;0;5;3;0;10;56;172;75;24;9;155;123;130;24;74;2.304;3;3.213;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;5;211;1.273;3.094;264;306;186;412;767;285;919;190;1;3.299;2.199;37.395;25.512;8.449;1.789;27.770;16.043;14.903;3.132;5.373;48.572;274;202.618
221100:Terezina - PI;1;1;0;0;0;1;0;1;0;0;2;0;0;0;1;1;0;0;1;0;2;0;0;0;0;11;0;4;4;4;0;22;13;2;1;2;17;1;17;33;32;222;72;5;27;10;95;16;11;1;0;611;55;303;297;71;54;279;270;146;72;175;173;11;833;170;4.502;5.356;1.449;254;1.728;886;1.906;479;381;1.027;136;21.013;77;377;311;68;37;203;262;152;91;199;168;18;914;401;4.965;5.240;1.715;384;2.844;1.136;2.281;803;1.050;3.518;154;27.368;97;631;486;92;58;299;393;222;194;297;362;36;1.452;812;8.291;7.088;2.309;410;5.279;2.602;3.771;1.716;2.596;8.384;342;48.219;46;371;194;23;9;91;290;133;91;141;235;12;578;582;5.351;3.095;967;287;3.126;1.849;2.550;1.120;1.726;10.257;207;33.331;34;248;100;17;5;64;189;92;73;51;68;9;293;1.353;3.796;1.461;353;352;2.308;1.336;1.715;1.025;1.551;10.735;116;27.344;1;10;2;0;0;3;11;2;2;3;2;0;11;151;265;75;15;6;170;51;131;109;136;1.428;8;2.592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;311;1.945;1.394;275;163;962;1.428;750;524;868;1.027;87;4.098;3.502;27.203;22.538;6.880;1.698;15.483;7.870;12.451;5.268;7.451;35.350;963;160.489
