Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;03:Indústria Metalúrgica;04:Indústria Mecânica;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;14;1;0;0;1;5;1;2;0;0;57;1;6;3;5;0;2;4;0;0;2;0;0;19;0;257;314;43;0;17;24;108;9;8;1;5;828;16;159;61;159;2;20;139;59;53;43;25;0;423;195;3.603;3.820;981;116;1.028;619;774;207;265;1.333;180;14.280;33;128;53;146;2;21;117;37;43;33;22;0;335;374;4.318;2.420;844;139;1.815;794;657;185;520;4.392;169;17.597;49;252;125;165;2;28;237;88;58;42;33;0;435;686;6.568;3.080;1.140;235;3.463;1.572;1.087;296;1.081;10.963;331;32.016;45;125;45;56;2;14;135;64;29;22;17;0;200;498;3.393;1.477;502;136;1.834;1.161;725;136;674;8.894;183;20.367;40;63;32;25;1;8;79;48;13;5;6;0;94;788;2.381;721;219;79;901;757;492;84;521;11.041;143;18.541;7;4;2;3;0;2;6;4;1;1;0;0;6;41;140;28;17;1;72;50;44;10;50;1.299;8;1.796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;191;737;321;559;9;95;717;300;197;148;103;0;1.512;2.582;20.693;11.874;3.747;706;9.130;4.978;3.892;928;3.121;37.931;1.019;105.490
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;8;0;0;0;3;3;1;1;0;0;19;0;1;1;0;0;0;0;1;0;0;0;0;10;0;9;152;30;1;4;23;61;22;2;6;9;332;15;146;31;8;3;9;77;29;31;30;31;3;272;47;1.095;2.814;450;65;554;424;1.047;122;188;579;238;8.308;17;142;37;8;3;11;82;32;35;37;18;0;285;90;1.190;1.937;472;77;878;478;992;202;331;1.894;221;9.469;19;233;55;5;5;17;161;46;47;47;28;1;445;293;2.129;2.741;675;149;1.712;914;1.779;552;819;4.895;483;18.250;10;120;21;4;3;11;115;49;29;24;7;2;201;230;1.298;1.016;238;82;597;459;1.066;252;469;5.081;276;11.660;7;65;15;0;0;3;67;25;18;7;3;0;112;300;817;434;96;70;294;253;705;110;410;4.500;204;8.515;1;2;0;0;0;0;2;0;1;2;0;0;8;27;54;30;9;2;14;32;55;16;57;579;13;904;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;709;160;25;14;51;504;182;161;147;87;6;1.334;988;6.593;9.132;1.970;446;4.053;2.586;5.708;1.277;2.277;17.534;1.444;57.457
130260:Manaus - AM;0;0;3;0;2;0;0;0;0;1;1;0;0;0;1;9;0;0;2;3;5;2;0;0;0;29;0;12;50;147;378;114;10;38;57;106;16;0;70;16;160;635;152;11;75;137;302;49;29;1;7;2.572;31;183;1.226;2.453;4.140;2.616;200;619;801;1.693;236;3;1.688;410;3.204;10.567;2.728;314;4.481;3.187;3.937;540;706;3.029;219;49.211;92;208;1.494;2.315;4.464;3.056;178;570;720;1.851;130;0;1.550;661;3.786;7.605;2.594;480;6.309;4.391;3.539;554;1.120;5.365;158;53.190;214;429;2.600;3.413;6.430;7.021;281;1.086;1.199;3.390;226;2;2.564;1.583;7.496;10.963;4.270;605;12.433;10.085;6.265;1.200;2.531;16.676;290;103.252;118;248;1.264;1.384;2.460;2.979;142;555;575;1.817;135;1;1.283;961;5.097;5.176;1.980;369;6.736;6.732;3.961;653;1.967;17.060;136;63.789;175;153;594;501;809;1.212;107;334;241;964;147;4;674;859;3.766;2.805;1.093;327;3.485;4.709;2.539;442;1.690;14.328;100;42.058;9;8;26;10;8;45;9;15;19;26;17;0;42;64;225;116;53;12;203;300;177;63;251;1.999;9;3.706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;639;1.241;7.257;10.223;18.691;17.043;927;3.217;3.612;9.848;908;10;7.871;4.554;23.735;37.876;12.870;2.118;33.724;29.544;20.725;3.503;8.294;58.458;919;317.807
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;4;1;0;0;0;1;0;0;0;0;9;2;4;0;0;0;0;1;0;0;0;0;0;11;7;15;156;21;0;4;10;59;3;8;1;4;306;8;93;22;1;4;4;24;34;16;7;4;0;189;49;559;2.672;451;55;291;215;700;54;151;1.020;65;6.688;15;102;12;4;8;4;22;22;12;3;1;0;134;73;608;1.657;495;78;515;287;523;79;375;1.631;73;6.733;17;159;36;5;9;3;42;24;17;8;2;0;221;282;1.178;2.084;769;102;875;603;918;101;660;5.280;144;13.539;19;61;10;3;8;2;29;18;5;3;0;0;152;281;670;725;303;46;311;295;495;73;420;4.315;94;8.338;7;38;5;1;2;2;10;11;2;3;0;0;93;237;426;344;142;36;144;167;352;122;317;3.375;79;5.915;0;4;0;0;0;0;0;1;0;0;0;0;7;14;31;13;6;1;11;4;44;14;20;414;4;588;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;68;461;85;14;31;15;128;110;52;24;7;0;807;944;3.489;7.655;2.188;318;2.151;1.582;3.092;446;1.951;16.036;463;42.117
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;2;0;0;0;0;12;0;0;1;0;0;1;4;15;0;0;0;0;24;1;10;348;35;1;40;55;203;37;28;5;1;809;3;40;47;75;20;273;273;230;73;108;28;10;735;323;3.428;7.110;1.075;196;3.068;1.205;3.227;597;553;3.194;121;26.012;8;81;56;88;27;209;265;280;96;151;23;3;945;543;4.033;7.335;1.407;552;5.346;1.797;3.612;932;1.289;7.067;119;36.264;37;185;107;176;51;354;707;555;206;340;48;9;1.658;1.253;7.509;12.022;2.620;1.194;12.482;4.466;6.948;2.114;3.434;18.795;300;77.570;25;116;56;87;21;198;506;378;84;223;45;0;930;942;4.938;6.046;1.265;780;7.960;3.411;4.669;1.179;2.637;20.793;220;57.509;35;71;49;55;12;124;259;262;57;139;23;1;560;1.030;3.313;3.120;732;1.052;4.432;2.797;3.275;651;2.621;16.820;239;41.729;3;3;6;1;1;5;10;26;4;8;3;0;44;87;191;205;36;75;273;171;293;80;380;2.327;29;4.261;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;111;496;322;482;132;1.164;2.024;1.746;520;969;170;23;4.896;4.179;23.422;36.195;7.170;3.850;33.601;13.903;22.230;5.590;10.942;69.001;1.029;244.167
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;1;0;0;0;0;9;0;0;0;0;0;0;0;1;1;0;0;0;4;15;9;167;36;4;19;16;37;0;8;3;0;320;11;89;16;9;1;5;12;21;19;10;9;0;217;20;768;3.226;672;86;799;348;691;94;190;464;65;7.842;14;73;16;13;1;3;15;29;14;8;8;0;195;96;707;2.725;674;127;1.447;367;587;129;357;1.700;75;9.380;37;99;20;7;1;7;31;54;18;13;9;0;252;236;1.384;3.389;980;204;2.866;782;919;281;718;5.840;110;18.257;15;48;14;16;0;6;29;18;13;5;7;0;97;245;875;1.266;379;86;1.411;501;542;130;428;6.380;95;12.606;10;26;10;14;0;1;22;15;2;3;2;0;37;183;605;527;158;42;644;273;278;91;238;4.915;38;8.134;0;0;0;1;0;0;1;0;0;0;0;0;0;14;37;27;10;3;13;5;41;4;23;612;3;794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;335;76;60;3;22;110;138;67;39;35;0;802;809;4.385;11.334;2.909;552;7.200;2.292;3.096;729;1.962;19.914;386;57.342
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;1;0;9;0;5;1;1;0;0;1;3;4;2;0;0;4;2;24;206;40;5;22;10;394;12;3;1;2;742;14;180;65;25;1;12;32;46;95;29;12;1;145;117;1.611;2.722;727;92;1.096;389;876;101;280;1.569;49;10.286;26;163;60;22;1;16;22;36;80;29;6;0;102;286;1.446;1.627;550;118;1.259;429;586;121;588;3.255;63;10.891;30;214;54;26;0;34;36;62;141;55;14;1;132;724;2.505;1.823;684;167;2.006;825;865;159;1.297;9.374;146;21.374;34;93;30;12;1;11;12;27;76;22;4;0;39;318;1.506;693;244;94;812;429;476;55;650;8.174;79;13.891;30;38;8;10;0;3;2;14;56;13;4;0;25;160;997;262;97;73;388;207;257;25;350;5.551;39;8.609;2;5;2;1;0;0;0;0;1;2;0;0;2;7;41;11;7;0;14;10;20;2;31;637;3;798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;136;698;220;97;3;76;105;188;453;152;40;2;449;1.614;8.130;7.345;2.349;549;5.597;2.300;3.480;475;3.199;28.562;381;66.600
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;11;0;0;0;0;0;14;0;0;2;0;0;0;0;1;0;0;0;0;3;7;21;80;19;0;12;16;107;4;1;0;0;273;13;143;261;59;61;22;60;86;67;121;30;0;719;98;6.140;6.857;1.453;147;3.538;1.276;2.516;533;450;448;51;25.149;68;149;379;89;74;17;67;116;87;142;23;0;794;241;7.711;5.799;1.918;345;5.750;2.850;2.716;695;859;2.399;69;33.357;194;252;710;111;98;45;95;216;98;244;31;0;1.194;586;13.262;7.734;3.036;486;10.808;5.894;5.104;1.144;2.035;10.442;113;63.932;141;127;638;55;53;21;70;175;64;156;14;0;576;341;7.450;3.922;1.319;283;5.845;3.236;2.994;716;1.412;13.092;75;42.775;111;77;368;29;23;17;32;89;33;81;5;0;253;750;4.720;1.966;519;390;2.914;2.531;1.783;343;847;15.438;28;33.347;3;1;7;2;2;1;3;19;0;5;1;0;10;90;195;112;27;12;196;147;147;38;98;2.501;2;3.619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530;749;2.365;345;311;123;327;702;349;749;104;0;3.549;2.113;39.500;26.471;8.291;1.663;29.064;15.961;15.367;3.473;5.702;44.320;338;202.466
221100:Terezina - PI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;14;3;1;0;0;0;27;0;0;10;0;0;7;7;3;1;3;11;0;16;0;41;262;97;17;16;7;82;20;8;1;0;609;28;335;288;56;53;201;231;173;64;152;152;9;846;98;4.290;5.051;1.391;194;2.948;780;1.910;579;385;691;125;21.030;51;356;310;46;50;179;239;141;77;165;145;15;878;223;5.081;4.902;1.706;325;3.434;1.183;2.269;955;992;3.070;120;26.912;73;698;503;81;55;328;448;225;160;284;287;26;1.528;700;8.949;7.550;2.538;525;5.964;2.771;3.994;2.106;2.574;8.507;286;51.160;48;387;230;44;16;108;292;159;81;143;256;9;683;513;5.401;3.359;1.013;257;3.344;1.915;2.659;1.239;1.719;9.529;185;33.589;39;284;102;18;6;59;212;103;55;64;73;5;355;1.181;4.355;1.679;448;418;2.700;1.503;1.876;1.000;1.577;11.394;105;29.611;2;13;1;0;0;2;10;3;4;2;2;0;14;165;370;99;18;11;255;78;189;126;184;1.768;10;3.326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;2.073;1.444;245;180;884;1.439;807;442;813;926;64;4.320;2.880;28.487;22.908;7.214;1.747;18.661;8.251;12.982;6.026;7.439;34.960;831;166.264
