Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;09:Borracha, Fumo, Couros;11:Indústria Têxtil;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;12;6;1;0;0;2;3;0;0;0;32;0;1;0;1;0;0;2;2;0;2;0;0;20;3;31;203;77;5;10;22;73;24;19;12;0;507;14;92;49;39;7;21;75;38;53;33;20;0;410;146;721;3.113;1.000;87;689;570;728;208;232;1.165;160;9.670;17;105;60;33;13;18;68;33;31;20;21;0;361;331;989;2.162;815;142;1.298;799;608;209;497;3.558;163;12.351;39;226;91;61;32;27;155;67;51;39;14;0;531;641;1.942;3.081;1.283;244;3.249;1.584;1.015;304;1.118;11.438;304;27.536;36;116;55;23;15;17;104;45;27;21;17;0;251;431;1.161;1.461;550;121;1.845;1.072;732;146;703;8.376;197;17.522;29;73;34;19;11;6;73;28;13;9;4;0;110;763;1.043;803;243;85;946;720;502;86;522;10.756;142;17.020;4;4;0;2;0;1;7;4;1;0;0;0;7;50;97;29;17;5;85;43;45;7;67;1.443;14;1.932;0;0;0;0;0;0;0;0;0;0;0;2;0;2;139;617;289;178;78;90;484;218;176;124;76;0;1.690;2.365;5.991;10.864;3.991;690;8.122;4.810;3.705;987;3.158;36.750;980;86.572
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;1;2;1;0;0;0;0;12;0;0;0;0;0;0;0;2;0;2;0;0;13;0;7;146;28;1;5;9;43;12;8;2;4;282;14;62;37;9;6;15;42;32;25;18;16;2;217;77;356;2.268;396;40;1.033;208;669;98;143;483;197;6.463;19;96;21;11;5;8;39;20;33;28;19;3;252;164;515;1.829;501;89;771;351;715;157;346;1.567;188;7.747;51;160;44;12;5;16;87;64;51;47;23;0;452;455;1.222;2.709;791;138;1.414;752;1.300;445;897;5.344;453;16.932;40;108;13;11;3;7;79;46;22;25;6;2;225;324;762;1.137;258;84;641;478;795;288;524;4.756;287;10.921;33;61;7;1;0;2;49;29;18;9;1;0;106;380;520;412;112;52;354;308;524;125;414;4.497;341;8.355;5;4;1;1;0;1;3;2;2;1;0;0;12;37;40;33;7;5;15;24;66;23;70;529;40;921;0;0;0;0;0;0;0;0;0;1;0;1;0;2;162;491;123;45;19;49;299;195;151;130;65;7;1.277;1.437;3.422;8.541;2.094;409;4.234;2.132;4.114;1.148;2.402;17.179;1.510;51.635
130260:Manaus - AM;0;0;0;0;1;0;1;1;0;1;0;0;1;0;2;7;1;1;0;11;3;1;0;0;0;31;2;6;31;148;166;78;3;24;45;84;8;0;53;13;109;508;163;12;64;150;312;42;36;1;4;2.062;8;111;694;1.578;2.473;1.548;154;409;540;1.027;72;1;1.270;317;1.702;9.109;2.062;199;3.369;2.570;3.163;536;590;2.181;249;35.932;42;147;934;1.532;2.764;1.748;150;438;538;1.320;68;1;1.374;519;2.460;7.225;2.227;408;5.021;3.347;2.879;577;1.034;4.908;209;41.870;185;325;1.958;2.925;4.834;5.286;267;896;1.066;2.759;129;1;2.406;1.515;5.892;10.643;4.275;640;11.168;9.141;5.402;1.174;2.681;16.102;336;92.006;107;204;944;1.188;1.908;2.767;137;490;523;1.517;70;1;1.274;953;4.045;5.363;2.111;325;6.107;6.489;3.552;706;1.912;16.948;194;59.835;145;124;449;473;733;1.009;91;272;224;855;78;2;643;924;2.703;2.831;1.190;319;3.183;4.529;2.368;474;1.681;14.898;101;40.299;5;9;24;17;11;28;8;25;15;30;19;1;51;101;182;156;68;22;214;302;215;67;252;2.118;12;3.952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;494;926;5.034;7.861;12.890;12.464;811;2.555;2.951;7.593;444;7;7.072;4.342;17.095;35.842;12.097;1.926;29.126;26.539;17.894;3.577;8.186;57.156;1.105;275.987
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;0;1;4;1;1;0;0;12;0;6;1;0;0;0;0;0;0;0;1;0;6;5;18;133;19;0;3;16;22;4;6;5;1;246;4;64;20;3;5;7;28;30;24;4;3;0;165;81;365;2.321;410;34;288;175;624;47;142;923;59;5.826;11;69;19;1;4;7;20;32;12;5;1;0;140;102;408;1.684;442;69;465;258;550;88;335;1.659;62;6.443;11;144;23;3;10;2;54;47;16;9;5;0;216;385;823;2.248;643;103;1.004;653;841;130;673;5.421;121;13.585;15;53;11;2;9;2;48;22;6;3;1;0;160;410;524;854;196;53;488;344;490;64;418;4.801;90;9.064;7;29;6;1;1;1;10;9;4;1;1;0;102;417;393;391;95;29;243;191;346;119;338;3.754;50;6.538;0;3;1;0;0;0;1;2;0;0;0;0;9;66;43;16;5;3;13;10;44;15;29;476;2;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;368;81;10;29;19;161;142;62;22;12;0;798;1.468;2.574;7.649;1.811;291;2.504;1.648;2.921;468;1.942;17.039;385;42.452
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;1;0;0;5;2;0;0;0;0;15;0;0;0;1;0;2;6;9;1;3;0;0;18;2;30;444;54;4;39;53;224;35;24;2;2;953;0;20;27;34;7;92;104;166;72;80;19;8;659;259;1.972;5.996;750;143;2.117;1.057;2.905;673;559;2.173;85;19.977;4;66;36;66;15;116;139;192;88;108;23;5;764;376;2.932;6.572;1.082;452;4.040;1.599;3.363;975;1.248;5.997;127;30.385;16;137;69;152;31;278;393;553;193;279;40;6;1.604;1.128;6.468;11.588;2.301;1.256;10.541;4.476;7.184;2.305;3.625;18.984;291;73.898;16;130;43;75;27;188;408;328;102;174;27;0;898;908;4.099;6.147;1.216;800;7.205;3.630;5.224;1.518;2.588;20.525;207;56.483;24;78;38;60;13;112;231;256;72;117;16;0;512;1.024;2.672;3.234;721;998;4.461;2.809;3.754;865;2.660;18.358;280;43.365;0;2;3;2;3;5;12;29;5;8;3;0;49;128;197;247;33;116;372;205;355;112;441;2.873;38;5.238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;433;216;390;96;793;1.293;1.533;533;769;128;19;4.504;3.825;18.370;34.235;6.158;3.769;28.775;13.834;23.011;6.483;11.145;68.912;1.030;230.314
160030:Macapá - AP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;6;0;0;0;0;14;0;0;0;0;0;0;0;0;1;0;0;0;2;6;5;129;18;2;8;14;29;1;4;0;0;219;0;31;8;6;1;1;13;13;14;2;6;0;147;20;425;2.202;567;65;412;284;543;107;164;524;47;5.602;6;37;9;10;1;2;11;25;9;3;10;0;106;48;476;2.278;671;114;747;333;589;131;365;1.895;57;7.933;15;62;12;8;1;4;35;46;18;5;12;0;176;249;934;3.253;1.144;208;1.701;796;996;239;781;6.835;121;17.651;6;25;7;3;0;4;34;21;14;2;5;0;85;261;621;1.255;444;82;963;492;578;86;455;7.613;98;13.154;2;20;3;4;0;1;29;11;2;0;1;0;33;213;421;523;189;43;487;301;322;49;276;6.647;56;9.633;0;0;0;1;0;0;4;0;0;0;0;0;1;27;27;28;12;2;22;6;50;3;28;888;3;1.102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;175;39;32;3;12;126;116;58;12;34;0;550;824;2.909;9.672;3.047;516;4.340;2.228;3.113;616;2.073;24.402;382;55.308
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;5;1;2;1;0;0;0;1;1;1;1;0;0;3;8;19;162;24;3;23;18;364;8;5;1;1;647;7;87;41;18;1;5;41;30;57;36;24;1;118;136;698;2.666;622;68;1.133;325;989;104;231;1.184;157;8.779;12;102;55;20;1;12;19;28;54;32;11;0;89;252;794;1.595;545;119;1.204;387;621;135;502;2.640;143;9.372;28;163;41;13;0;23;34;65;108;57;10;1;140;709;1.553;1.979;746;192;2.020;759;901;187;1.402;9.151;254;20.536;16;78;27;10;0;18;9;32;71;28;8;0;55;347;998;767;286;83;955;422;522;62;743;8.552;111;14.200;21;42;9;3;0;4;6;13;57;18;3;0;20;165;667;303;99;76;397;225;300;22;394;6.093;65;9.002;4;6;0;1;0;0;0;1;3;3;0;0;2;6;35;14;4;5;23;8;29;3;42;729;3;921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89;480;174;65;2;62;110;170;351;175;56;2;427;1.623;4.764;7.487;2.326;546;5.755;2.144;3.729;521;3.319;28.351;734;63.462
211130:São Luiz - MA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;12;8;1;0;0;0;23;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;50;9;3;7;40;78;4;1;3;0;201;2;65;157;112;32;8;39;61;60;98;43;0;573;86;2.411;6.041;1.241;128;3.527;1.265;1.840;652;414;700;43;19.598;22;112;237;153;37;22;52;107;68;124;31;0;752;164;3.804;5.151;1.670;285;4.639;2.454;2.195;919;925;2.834;47;26.804;135;198;502;234;88;47;81;187;117;223;50;0;1.294;544;7.776;7.607;3.111;551;9.811;6.540;4.243;1.508;2.327;12.113;102;59.389;122;103;358;121;45;23;38;166;61;122;28;0;623;281;4.313;3.917;1.381;252;5.496;3.419;2.653;937;1.495;13.519;81;39.554;89;52;281;64;19;15;24;81;39;74;10;0;301;719;2.904;2.098;622;320;2.751;2.703;1.677;497;927;15.797;35;32.099;6;1;7;3;3;1;1;19;1;3;1;0;15;131;162;147;25;12;196;172;181;51;123;3.114;1;4.376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;531;1.542;688;224;116;235;622;346;644;163;0;3.558;1.925;21.374;25.012;8.060;1.551;26.427;16.605;12.875;4.569;6.212;48.080;309;182.044
221100:Terezina - PI;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;1;7;0;0;7;5;4;0;1;10;0;12;6;8;163;61;17;18;23;59;17;16;0;1;436;9;176;193;35;29;63;151;125;34;106;105;10;714;133;1.599;4.581;1.118;153;3.743;639;1.745;513;341;718;92;17.125;20;221;300;38;29;86;185;121;58;119;96;13;834;265;2.335;4.428;1.590;318;3.453;1.020;2.075;918;892;2.651;120;22.185;50;523;501;72;43;218;388;246;138;241;209;30;1.612;748;5.279;7.329;3.033;563;6.588;2.688;4.126;2.205;2.659;9.035;234;48.758;36;360;249;40;22;118;255;181;75;134;216;5;788;342;3.383;3.458;1.346;236;3.904;1.970;2.677;1.286;1.851;8.900;200;32.032;41;270;99;19;7;50;206;100;57;68;77;6;408;986;2.704;1.772;567;344;3.044;1.638;2.010;1.050;1.662;11.584;111;28.880;3;9;8;1;0;4;6;4;4;3;1;0;22;219;301;101;23;13;433;120;217;189;253;1.879;11;3.824;0;0;0;0;0;0;0;1;0;0;0;0;0;1;159;1.560;1.357;205;130;546;1.196;782;366;672;714;64;4.390;2.699;15.609;21.832;7.738;1.644;21.184;8.099;12.909;6.179;7.674;34.767;769;153.244
