Sexo Trabalhador = 01:Masculino
;Faixa Etária;IBGE Subsetor
Capital; 01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;01:10 A 14;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;02:15 A 17;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;03:18 A 24;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;04:25 A 29;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;05:30 A 39;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;06:40 A 49;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;07:50 A 64;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;08:65 OU MAIS;{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};{ñ class};Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;06:Material de Transporte;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;1;0;5;0;0;0;5;5;5;92;30;0;14;12;41;9;14;2;1;240;10;80;24;30;2;9;103;23;39;27;15;0;310;282;361;2.985;778;72;562;515;553;227;136;1.104;113;8.360;13;99;37;29;0;10;107;32;39;35;7;1;323;453;551;2.217;844;120;1.082;776;538;315;313;2.310;133;10.384;42;213;64;39;9;27;178;50;39;37;13;3;506;1.171;1.266;3.052;1.318;233;3.167;1.610;899;481;858;11.247;272;26.794;38;158;33;27;4;18;128;50;35;18;10;0;303;525;862;1.568;614;143;2.361;1.158;596;219;624;9.236;204;18.932;30;89;26;16;4;13;72;39;19;10;2;0;131;572;499;816;263;100;1.213;757;450;87;368;9.881;136;15.593;3;7;1;3;0;0;2;1;3;0;1;0;8;88;41;45;23;9;92;52;39;8;42;1.835;15;2.318;0;0;0;0;0;0;0;0;0;0;1;0;1;136;650;185;144;19;77;591;195;179;127;48;4;1.586;3.096;3.585;10.778;3.870;677;8.491;4.880;3.116;1.346;2.355;35.616;874;82.625
120040:Rio Branco - AC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;6;0;1;0;0;0;11;6;8;105;19;1;15;5;15;7;3;4;2;208;0;71;10;2;2;18;99;12;29;12;4;2;238;91;435;2.145;440;114;816;173;482;126;86;461;168;6.036;0;64;9;3;3;14;73;19;29;19;9;2;183;125;508;1.908;463;122;794;212;563;157;187;1.396;147;7.009;1;161;31;8;6;22;136;44;67;49;15;4;367;275;1.209;2.761;863;295;2.036;630;926;308;376;5.918;315;16.823;3;119;20;2;0;13;124;36;40;20;6;1;265;194;917;1.465;393;213;1.317;544;680;292;308;5.347;239;12.558;4;88;12;1;0;4;69;22;22;14;2;1;95;220;553;514;156;145;609;315;410;128;142;5.031;153;8.710;1;2;1;0;0;0;3;1;1;2;0;0;9;65;74;39;10;21;56;30;54;20;23;739;18;1.169;0;0;0;0;0;0;0;0;0;0;0;0;0;9;505;83;16;11;71;510;134;189;116;36;10;1.168;976;3.704;8.941;2.345;911;5.643;1.909;3.131;1.038;1.125;18.896;1.042;52.519
130260:Manaus - AM;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;4;3;1;1;2;0;2;1;0;0;17;1;3;29;87;117;79;10;20;18;53;0;0;32;34;48;439;121;12;52;74;210;27;24;1;11;1.502;3;51;650;1.439;2.879;1.904;242;421;578;1.110;90;4;962;520;1.505;8.809;1.922;149;5.284;2.308;2.732;697;489;2.948;191;37.887;12;89;724;1.721;2.893;2.093;246;462;547;1.479;99;2;1.304;847;2.128;8.358;2.218;275;6.121;2.894;2.727;943;902;3.941;223;43.248;140;249;1.903;3.019;5.543;4.772;346;852;1.022;3.371;174;5;2.359;1.757;5.623;11.228;3.812;585;12.849;8.001;4.818;1.583;2.228;15.598;316;92.153;130;155;1.099;1.490;2.654;3.637;209;627;613;2.021;158;3;1.481;1.053;4.603;6.301;2.368;377;8.515;7.340;3.551;1.128;1.769;17.659;220;69.161;76;86;493;573;948;1.308;100;270;247;1.041;97;5;785;698;2.723;3.185;1.076;293;4.134;5.097;2.240;651;1.473;15.930;118;43.647;4;15;26;25;25;36;3;19;15;44;16;0;71;83;216;202;65;37;297;503;231;77;274;2.617;11;4.912;0;0;0;0;0;0;0;0;0;0;0;0;0;366;648;4.924;8.354;15.059;13.830;1.156;2.671;3.040;9.120;634;19;6.995;4.992;16.846;38.526;11.585;1.729;37.253;26.219;16.509;5.108;7.160;58.694;1.090;292.527
140010:Boa Vista - RR;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;5;1;0;0;0;3;1;0;1;0;14;0;0;1;0;0;0;1;0;0;0;1;0;6;8;17;124;32;1;15;6;23;4;9;3;1;252;5;45;15;0;9;3;7;11;7;1;14;0;199;83;463;2.247;444;25;430;182;631;96;88;1.042;76;6.123;6;53;20;1;10;6;4;13;24;4;14;0;196;117;547;1.961;539;60;545;216;595;119;187;1.528;71;6.836;14;112;23;3;11;5;12;24;27;6;33;0;329;281;1.262;2.480;843;128;1.185;507;934;206;564;4.933;150;14.072;13;62;24;0;7;3;10;12;11;5;7;0;194;270;983;1.036;307;68;718;343;517;102;423;5.223;101;10.439;8;29;8;0;1;1;3;6;7;0;2;0;67;230;643;447;99;29;337;185;288;45;328;4.201;50;7.014;2;2;0;0;0;0;0;0;0;1;0;0;4;26;63;32;9;10;26;12;23;6;30;648;2;896;0;0;0;0;0;0;0;0;0;0;0;0;0;48;303;91;4;38;18;37;66;76;17;71;0;996;1.015;3.980;8.332;2.274;321;3.256;1.451;3.014;579;1.629;17.579;451;45.646
150140:Belém - PA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;3;0;0;0;0;8;0;0;0;0;0;0;7;7;0;1;0;0;5;8;26;290;17;6;27;19;104;12;10;3;0;542;0;21;12;32;9;50;173;43;47;48;13;3;501;284;1.588;5.057;674;140;2.152;792;2.608;860;342;3.314;86;18.849;0;38;19;44;3;65;140;65;55;69;16;2;667;413;2.603;5.948;918;345;4.171;1.257;3.235;1.238;921;4.558;104;26.894;7;97;44;123;11;182;364;213;114;155;31;10;1.498;1.012;6.547;10.158;1.861;1.346;12.376;3.630;6.607;2.523;2.342;19.651;275;71.177;15;112;33;91;12;142;401;182;81;113;31;3;1.005;820;4.472;6.184;1.249;1.183;10.296;3.691;5.561;2.124;1.900;20.462;234;60.397;9;63;21;52;19;97;307;146;47;58;24;0;571;899;2.453;3.277;688;1.067;6.297;3.184;3.916;1.112;1.372;20.693;266;46.638;0;2;5;3;5;7;9;29;4;5;3;0;69;225;222;246;43;212;610;393;383;157;245;4.553;39;7.469;0;0;0;0;0;0;0;1;0;0;0;0;1;31;333;134;345;59;543;1.401;685;348;449;118;18;4.316;3.661;17.912;31.164;5.450;4.299;35.929;12.966;22.418;8.026;7.132;73.234;1.004;231.975
160030:Macapá - AP;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;7;7;57;14;1;1;1;12;4;1;0;0;111;6;54;7;2;4;3;6;12;5;0;3;0;116;24;320;2.063;470;21;545;190;407;159;113;411;41;4.982;2;53;16;6;0;0;7;8;11;0;3;0;121;31;377;2.270;642;63;676;322;526;246;200;1.382;45;7.007;17;91;31;10;0;4;7;29;11;0;5;0;190;195;790;3.477;1.329;149;1.685;655;907;358;486;6.054;89;16.569;8;57;13;3;1;2;6;8;6;1;3;0;81;231;608;1.525;723;105;1.275;380;641;208;315;7.359;75;13.634;4;29;10;1;0;2;4;5;1;1;1;0;36;336;388;547;239;56;632;265;365;221;173;7.179;63;10.558;0;0;1;0;0;0;0;0;0;0;0;0;3;74;27;30;16;3;26;23;47;39;11;1.493;2;1.795;0;0;0;0;0;0;0;0;0;0;0;0;0;37;284;78;22;5;11;30;62;35;2;15;0;553;898;2.517;9.972;3.434;398;4.840;1.836;2.905;1.235;1.299;23.878;315;54.661
172100:Palmas - TO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;6;73;11;13;7;5;131;3;3;1;1;256;11;90;43;44;0;12;22;10;18;29;14;0;191;88;333;2.554;526;48;795;267;880;196;138;851;13;7.173;7;92;35;39;0;6;26;18;29;29;11;0;107;219;403;1.803;554;85;1.054;320;565;186;291;2.104;25;8.008;28;167;68;49;1;10;30;34;37;48;7;0;154;658;928;2.256;803;198;2.166;711;886;328;1.301;8.131;76;19.075;34;104;28;14;1;5;17;22;22;32;8;0;100;451;707;905;329;112;1.315;515;529;151;990;9.139;69;15.599;27;51;24;7;0;7;11;6;14;9;1;0;18;181;503;381;123;76;545;294;271;40;478;6.763;33;9.863;4;3;0;0;0;0;1;3;3;2;0;0;2;27;42;23;7;10;48;20;22;4;51;853;3;1.128;0;0;0;0;0;0;0;0;0;0;0;0;0;111;508;198;153;2;40;107;94;123;149;41;0;572;1.624;2.922;7.996;2.353;542;5.930;2.132;3.285;908;3.252;27.842;220;61.104
211130:São Luiz - MA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;1;2;4;29;5;0;11;4;46;7;0;0;0;114;8;63;242;84;23;13;25;48;29;109;43;0;573;67;1.912;5.361;1.353;70;2.212;1.031;1.856;907;277;882;23;17.211;30;84;254;102;16;11;35;78;49;132;45;1;695;149;3.057;4.870;1.724;173;3.886;2.040;2.089;1.465;830;3.088;23;24.926;118;229;681;189;57;43;76;167;75;265;50;0;1.296;604;8.268;7.213;3.851;568;9.482;6.721;4.302;3.206;2.493;12.565;61;62.580;121;131;568;109;30;34;40;113;47;148;39;0;702;364;5.446;3.783;1.928;297;6.534;4.257;2.841;1.983;1.678;13.188;42;44.423;96;48;404;56;28;28;27;90;31;83;13;0;361;643;3.334;1.933;929;502;3.505;2.843;1.712;1.960;1.082;14.890;28;34.626;3;4;13;1;0;1;1;11;1;8;2;0;22;240;214;106;47;187;260;300;169;480;159;3.603;3;5.835;0;0;0;0;0;0;0;0;0;0;0;0;0;376;559;2.168;541;154;130;204;507;232;745;192;1;3.650;2.069;22.235;23.296;9.837;1.797;25.890;17.196;13.015;10.008;6.519;48.216;180;189.717
221100:Terezina - PI;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;6;1;2;1;1;1;2;7;3;0;1;3;0;4;4;15;94;24;14;12;13;40;3;6;1;1;253;8;104;135;29;15;144;145;108;29;92;51;3;538;104;1.210;4.121;853;97;2.855;606;1.334;431;224;572;64;13.872;9;142;194;19;32;83;178;132;48;87;65;2;567;201;1.671;4.170;1.261;214;3.051;812;1.713;701;642;1.961;69;18.024;40;371;466;48;49;199;355;301;85;184;142;7;1.153;743;4.292;7.593;3.185;621;6.687;2.363;3.905;2.148;2.268;8.928;208;46.341;47;290;263;39;32;119;267;232;80;135;157;7;829;464;3.490;4.268;1.704;271;4.877;1.980;2.923;1.582;1.860;8.327;203;34.446;26;222;128;11;8;56;219;110;51;70;105;3;419;448;2.391;2.089;671;318;3.431;1.590;2.107;1.165;1.433;11.254;115;28.440;3;13;7;0;0;4;12;6;4;3;5;0;29;173;285;122;31;36;683;185;242;219;318;2.329;5;4.714;0;0;0;0;0;0;0;0;0;0;1;0;1;134;1.145;1.194;147;137;607;1.183;892;297;572;528;22;3.539;2.137;13.355;22.461;7.729;1.571;21.596;7.549;12.264;6.249;6.751;33.373;665;146.097
