capital,faixa_remuneracao_media_sm,01:10 A 14,02:15 A 17,03:18 A 24,04:25 A 29,05:30 A 39,06:40 A 49,07:50 A 64,08:65 OU MAIS,sexo,ano
Porto Velho - RO,"0,51_a_1,00",0,0,2,6,14,5,12,0,F,2012
Porto Velho - RO,"1,01_a_1,50",0,0,85,80,122,85,33,4,F,2012
Porto Velho - RO,"1,51_a_2,00",0,1,58,77,129,62,38,2,F,2012
Porto Velho - RO,"2,01_a_3,00",0,0,56,109,152,80,34,4,F,2012
Porto Velho - RO,"3,01_a_4,00",0,0,26,38,103,58,26,3,F,2012
Porto Velho - RO,"4,01_a_5,00",0,0,11,35,74,29,34,5,F,2012
Porto Velho - RO,"5,01_a_7,00",0,0,9,34,62,64,46,2,F,2012
Porto Velho - RO,"7,01_a_10,00",0,0,5,11,49,67,64,2,F,2012
Porto Velho - RO,"10,01_a_15,00",0,0,3,6,21,41,60,0,F,2012
Porto Velho - RO,"15,01_a_20,00",0,0,0,0,6,17,9,0,F,2012
Porto Velho - RO,"mais_de_20,00",0,0,1,0,34,42,53,3,F,2012
Rio Branco - AC,"0,51_a_1,00",0,1,2,1,4,1,0,0,F,2012
Rio Branco - AC,"1,01_a_1,50",0,0,34,34,47,21,1,2,F,2012
Rio Branco - AC,"1,51_a_2,00",0,0,21,31,60,10,5,0,F,2012
Rio Branco - AC,"2,01_a_3,00",0,0,31,66,106,37,7,0,F,2012
Rio Branco - AC,"3,01_a_4,00",0,0,48,94,128,55,27,1,F,2012
Rio Branco - AC,"4,01_a_5,00",0,0,24,73,112,64,50,4,F,2012
Rio Branco - AC,"5,01_a_7,00",0,0,13,51,144,137,87,6,F,2012
Rio Branco - AC,"7,01_a_10,00",0,0,6,28,121,133,76,6,F,2012
Rio Branco - AC,"10,01_a_15,00",0,0,4,17,57,77,34,3,F,2012
Rio Branco - AC,"15,01_a_20,00",0,0,0,0,7,14,18,1,F,2012
Rio Branco - AC,"mais_de_20,00",0,0,1,1,32,36,27,2,F,2012
Manaus - AM,"ate_0,50",0,0,0,0,1,7,8,0,F,2012
Manaus - AM,"0,51_a_1,00",0,0,4,3,19,28,16,4,F,2012
Manaus - AM,"1,01_a_1,50",0,0,83,127,204,115,47,2,F,2012
Manaus - AM,"1,51_a_2,00",0,0,88,145,247,131,60,4,F,2012
Manaus - AM,"2,01_a_3,00",0,0,97,217,380,213,88,5,F,2012
Manaus - AM,"3,01_a_4,00",0,0,40,135,297,182,79,6,F,2012
Manaus - AM,"4,01_a_5,00",0,0,35,117,239,142,63,8,F,2012
Manaus - AM,"5,01_a_7,00",0,0,22,125,338,229,115,7,F,2012
Manaus - AM,"7,01_a_10,00",0,0,9,72,248,209,129,9,F,2012
Manaus - AM,"10,01_a_15,00",0,0,11,74,275,183,104,9,F,2012
Manaus - AM,"15,01_a_20,00",0,0,3,16,143,143,110,5,F,2012
Manaus - AM,"mais_de_20,00",0,0,1,9,103,210,180,15,F,2012
Boa Vista - RR,"0,51_a_1,00",0,0,2,14,21,13,13,2,F,2012
Boa Vista - RR,"1,01_a_1,50",0,0,155,161,277,162,101,13,F,2012
Boa Vista - RR,"1,51_a_2,00",0,0,83,107,166,96,56,4,F,2012
Boa Vista - RR,"2,01_a_3,00",0,0,52,92,141,78,56,4,F,2012
Boa Vista - RR,"3,01_a_4,00",0,0,37,64,138,57,43,3,F,2012
Boa Vista - RR,"4,01_a_5,00",0,0,23,27,72,53,28,6,F,2012
Boa Vista - RR,"5,01_a_7,00",0,0,29,48,84,65,36,2,F,2012
Boa Vista - RR,"7,01_a_10,00",0,0,4,15,50,42,25,1,F,2012
Boa Vista - RR,"10,01_a_15,00",0,0,0,9,19,23,19,1,F,2012
Boa Vista - RR,"15,01_a_20,00",0,0,0,1,5,5,6,0,F,2012
Boa Vista - RR,"mais_de_20,00",0,0,0,0,10,15,11,1,F,2012
Belém - PA,"ate_0,50",0,0,0,0,2,1,0,0,F,2012
Belém - PA,"0,51_a_1,00",0,0,14,21,38,25,20,0,F,2012
Belém - PA,"1,01_a_1,50",0,0,102,157,282,205,97,15,F,2012
Belém - PA,"1,51_a_2,00",0,0,78,144,298,180,112,6,F,2012
Belém - PA,"2,01_a_3,00",0,0,81,231,540,319,166,17,F,2012
Belém - PA,"3,01_a_4,00",0,0,45,268,616,416,211,13,F,2012
Belém - PA,"4,01_a_5,00",0,0,69,229,714,464,282,12,F,2012
Belém - PA,"5,01_a_7,00",0,0,28,140,526,490,358,36,F,2012
Belém - PA,"7,01_a_10,00",0,0,8,33,254,280,317,25,F,2012
Belém - PA,"10,01_a_15,00",0,0,1,21,127,181,266,21,F,2012
Belém - PA,"15,01_a_20,00",0,0,1,11,70,69,101,8,F,2012
Belém - PA,"mais_de_20,00",0,0,0,11,176,190,210,26,F,2012
Macapá - AP,"ate_0,50",0,1,0,0,0,0,0,0,F,2012
