CBO 2002 Gr Grupo = {ñ class}
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;7;231;6.340;6.724;15.478;11.325;5.054;443;18;45.620;4;99;4.073;4.729;14.075;12.287;5.407;241;9;40.924;11;330;10.413;11.453;29.553;23.612;10.461;684;27;86.544
;00:Até 0,50;0;36;4;3;5;4;2;0;0;54;0;21;5;1;10;9;3;0;0;49;0;57;9;4;15;13;5;0;0;103
;01:0,51 a 1,00;2;77;184;112;149;111;43;3;0;681;0;27;164;91;154;93;18;0;0;547;2;104;348;203;303;204;61;3;0;1.228
;02:1,01 a 1,50;2;93;2.515;1.390;1.430;579;287;30;3;6.329;1;39;1.694;1.140;1.628;760;252;9;4;5.527;3;132;4.209;2.530;3.058;1.339;539;39;7;11.856
;03:1,51 a 2,00;2;19;1.472;1.380;1.833;889;439;55;6;6.095;0;5;961;876;1.580;954;369;15;1;4.761;2;24;2.433;2.256;3.413;1.843;808;70;7;10.856
;04:2,01 a 3,00;0;4;1.110;1.700;3.005;1.687;917;100;4;8.527;1;3;652;870;2.538;2.223;1.196;37;2;7.522;1;7;1.762;2.570;5.543;3.910;2.113;137;6;16.049
;05:3,01 a 4,00;0;0;410;652;1.362;898;452;55;1;3.830;0;3;288;784;2.587;1.516;633;33;1;5.845;0;3;698;1.436;3.949;2.414;1.085;88;2;9.675
;06:4,01 a 5,00;0;0;281;386;911;647;230;14;0;2.469;0;0;108;242;1.416;1.038;416;14;0;3.234;0;0;389;628;2.327;1.685;646;28;0;5.703
;07:5,01 a 7,00;1;1;236;611;2.207;1.562;819;99;1;5.537;2;1;132;406;1.974;1.959;1.171;84;1;5.730;3;2;368;1.017;4.181;3.521;1.990;183;2;11.267
;08:7,01 a 10,00;0;1;77;237;2.447;1.757;631;45;2;5.197;0;0;52;180;1.125;1.891;687;30;0;3.965;0;1;129;417;3.572;3.648;1.318;75;2;9.162
;09:10,01 a 15,00;0;0;25;111;1.039;1.437;555;19;0;3.186;0;0;8;69;513;1.092;423;10;0;2.115;0;0;33;180;1.552;2.529;978;29;0;5.301
;10:15,01 a 20,00;0;0;10;54;378;547;214;5;0;1.208;0;0;2;24;202;275;73;5;0;581;0;0;12;78;580;822;287;10;0;1.789
;11:Mais de 20,00;0;0;14;81;700;1.195;462;18;1;2.471;0;0;3;44;333;471;164;4;0;1.019;0;0;17;125;1.033;1.666;626;22;1;3.490
;{ñ class};0;0;2;7;12;12;3;0;0;36;0;0;4;2;15;6;2;0;0;29;0;0;6;9;27;18;5;0;0;65
120040:Rio Branco - AC;Total;7;141;4.427;4.828;9.514;6.645;3.950;484;22;30.018;6;68;2.567;3.166;9.735;7.963;4.130;336;4;27.975;13;209;6.994;7.994;19.249;14.608;8.080;820;26;57.993
;00:Até 0,50;3;25;3;1;0;1;0;0;0;33;3;19;1;1;3;0;0;0;0;27;6;44;4;2;3;1;0;0;0;60
;01:0,51 a 1,00;3;31;295;172;225;80;54;5;0;865;0;13;151;108;128;53;16;0;0;469;3;44;446;280;353;133;70;5;0;1.334
;02:1,01 a 1,50;1;72;2.122;1.302;1.286;514;304;48;5;5.654;0;29;1.291;935;1.224;572;269;10;0;4.330;1;101;3.413;2.237;2.510;1.086;573;58;5;9.984
;03:1,51 a 2,00;0;10;906;869;1.271;645;418;69;3;4.191;0;3;405;411;1.342;1.182;740;74;1;4.158;0;13;1.311;1.280;2.613;1.827;1.158;143;4;8.349
;04:2,01 a 3,00;0;3;652;1.140;1.943;1.161;750;139;6;5.794;0;0;441;721;2.812;2.031;1.146;121;1;7.273;0;3;1.093;1.861;4.755;3.192;1.896;260;7;13.067
;05:3,01 a 4,00;0;0;183;344;806;577;379;57;4;2.350;1;0;97;234;955;1.025;560;48;1;2.921;1;0;280;578;1.761;1.602;939;105;5;5.271
;06:4,01 a 5,00;0;0;76;255;678;527;281;26;0;1.843;2;0;65;248;660;617;326;22;1;1.941;2;0;141;503;1.338;1.144;607;48;1;3.784
;07:5,01 a 7,00;0;0;138;422;1.654;1.065;522;49;0;3.850;0;4;72;256;1.095;894;423;30;0;2.774;0;4;210;678;2.749;1.959;945;79;0;6.624
;08:7,01 a 10,00;0;0;26;149;734;895;529;41;2;2.376;0;0;21;107;637;591;239;15;0;1.610;0;0;47;256;1.371;1.486;768;56;2;3.986
;09:10,01 a 15,00;0;0;18;81;451;552;283;23;2;1.410;0;0;14;84;572;550;187;10;0;1.417;0;0;32;165;1.023;1.102;470;33;2;2.827
;10:15,01 a 20,00;0;0;2;34;180;194;126;5;0;541;0;0;6;31;144;235;99;2;0;517;0;0;8;65;324;429;225;7;0;1.058
;11:Mais de 20,00;0;0;5;56;281;427;300;22;0;1.091;0;0;3;29;160;213;125;4;0;534;0;0;8;85;441;640;425;26;0;1.625
;{ñ class};0;0;1;3;5;7;4;0;0;20;0;0;0;1;3;0;0;0;0;4;0;0;1;4;8;7;4;0;0;24
130260:Manaus - AM;Total;5;639;26.894;30.364;51.614;30.550;14.128;1.097;176;155.467;2;355;17.247;17.605;32.509;24.176;12.844;472;13;105.223;7;994;44.141;47.969;84.123;54.726;26.972;1.569;189;260.690
;00:Até 0,50;1;22;5;3;23;14;4;2;0;74;0;14;6;4;12;13;9;2;0;60;1;36;11;7;35;27;13;4;0;134
;01:0,51 a 1,00;1;247;535;261;300;145;69;6;0;1.564;1;109;457;264;353;178;62;1;0;1.425;2;356;992;525;653;323;131;7;0;2.989
;02:1,01 a 1,50;2;300;8.127;5.508;5.118;1.808;753;73;2;21.691;1;162;5.919;4.136;5.782;3.293;1.071;33;2;20.399;3;462;14.046;9.644;10.900;5.101;1.824;106;4;42.090
;03:1,51 a 2,00;1;52;6.218;5.022;5.240;2.068;1.122;128;6;19.857;0;43;4.156;2.945;3.387;1.969;1.230;35;4;13.769;1;95;10.374;7.967;8.627;4.037;2.352;163;10;33.626
;04:2,01 a 3,00;0;13;6.680;8.001;11.455;5.546;2.499;275;140;34.609;0;21;4.133;4.507;6.665;4.088;2.614;102;3;22.133;0;34;10.813;12.508;18.120;9.634;5.113;377;143;56.742
;05:3,01 a 4,00;0;2;2.648;4.362;8.316;4.525;2.187;184;14;22.238;0;5;1.238;2.285;5.802;4.755;3.099;144;1;17.329;0;7;3.886;6.647;14.118;9.280;5.286;328;15;39.567
;06:4,01 a 5,00;0;1;1.135;2.423;5.896;3.326;1.441;105;1;14.328;0;1;553;1.199;2.939;2.058;1.097;53;0;7.900;0;2;1.688;3.622;8.835;5.384;2.538;158;1;22.228
;07:5,01 a 7,00;0;0;799;2.118;5.858;4.182;1.728;86;1;14.772;0;0;438;967;2.725;2.962;1.340;32;0;8.464;0;0;1.237;3.085;8.583;7.144;3.068;118;1;23.236
;08:7,01 a 10,00;0;1;499;1.308;3.548;3.198;1.407;65;1;10.027;0;0;243;656;1.970;1.877;801;28;0;5.575;0;1;742;1.964;5.518;5.075;2.208;93;1;15.602
;09:10,01 a 15,00;0;0;146;699;2.960;2.385;1.193;70;1;7.454;0;0;66;404;1.716;1.606;838;24;0;4.654;0;0;212;1.103;4.676;3.991;2.031;94;1;12.108
;10:15,01 a 20,00;0;0;65;368;1.231;1.185;466;30;8;3.353;0;0;15;151;512;513;205;5;3;1.404;0;0;80;519;1.743;1.698;671;35;11;4.757
;11:Mais de 20,00;0;0;22;273;1.627;2.137;1.238;73;2;5.372;0;0;10;77;621;848;473;12;0;2.041;0;0;32;350;2.248;2.985;1.711;85;2;7.413
;{ñ class};0;1;15;18;42;31;21;0;0;128;0;0;13;10;25;16;5;1;0;70;0;1;28;28;67;47;26;1;0;198
140010:Boa Vista - RR;Total;3;94;2.942;2.512;4.615;3.566;1.792;188;7;15.719;0;107;2.177;1.530;3.367;3.107;1.445;106;3;11.842;3;201;5.119;4.042;7.982;6.673;3.237;294;10;27.561
