CBO 2002 Gr Grupo = 1:MEMBROS SUPERIORES DO PODER PUBLICO, DIRIGENTES DE ORGANIZACOES DE INTERESSE PUBLICO 
;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;0;0;284;407;989;951;705;58;0;3.394;0;0;337;444;861;665;437;28;0;2.772;0;0;621;851;1.850;1.616;1.142;86;0;6.166
;01:0,51 a 1,00;0;0;30;17;46;45;25;10;0;173;0;0;24;28;65;41;22;4;0;184;0;0;54;45;111;86;47;14;0;357
;02:1,01 a 1,50;0;0;44;50;97;68;44;1;0;304;0;0;66;71;102;75;29;2;0;345;0;0;110;121;199;143;73;3;0;649
;03:1,51 a 2,00;0;0;54;66;126;93;47;4;0;390;0;0;78;77;149;92;42;3;0;441;0;0;132;143;275;185;89;7;0;831
;04:2,01 a 3,00;0;0;63;88;182;147;75;6;0;561;0;0;84;113;188;79;54;5;0;523;0;0;147;201;370;226;129;11;0;1.084
;05:3,01 a 4,00;0;0;45;55;121;84;52;5;0;362;0;0;40;37;79;79;55;7;0;297;0;0;85;92;200;163;107;12;0;659
;06:4,01 a 5,00;0;0;12;38;85;63;57;6;0;261;0;0;18;47;81;50;26;0;0;222;0;0;30;85;166;113;83;6;0;483
;07:5,01 a 7,00;0;0;17;34;75;93;116;8;0;343;0;0;19;31;71;83;63;2;0;269;0;0;36;65;146;176;179;10;0;612
;08:7,01 a 10,00;0;0;8;26;76;95;86;4;0;295;0;0;4;26;49;64;58;1;0;202;0;0;12;52;125;159;144;5;0;497
