sexo,extrativa_mineral,mineral_nao_metalico,metalurgica,mecanica,eletrico_comunicacao,material_transporte,madeira_mobiliario,papel,borracha_fumo_couro,quimica,textil,calcados,alimentos_bebidas,servico_utilidade_publica,construcao_civil,varejo,atacado,intituicao_financeira,adm_tec_profissional,transporte_comunicacoes,aloj_comunicacao,medico_dentista_veterinario,ensino,adm_publica,agricultura,faixa_salarial,ano
m,414,459,1.077,938,376,544,424,579,523,771,852,234,3.300,532,4.101,8.171,1.518,240,5.123,3.232,15.499,766,9.125,12.389,2.045,"00:Até 0,50",2009
f,175,226,426,350,210,161,258,382,303,413,1.226,198,2.049,263,1.563,9.873,1.440,451,8.587,2.126,15.937,2.468,11.870,31.097,1.901,"00:Até 0,50",2009
m,11.302,1.189,5.229,6.551,3.514,14.023,442,3.433,1.658,12.834,854,233,4.923,10.551,8.327,6.598,8.769,28.772,24.724,13.711,7.580,5.147,20.041,82.975,1.238,"10:15,01 a 20,00",2009
f,2.605,191,676,787,574,1.706,58,1.248,399,3.833,247,26,1.099,2.126,1.260,2.172,3.115,15.086,10.546,3.588,4.782,5.256,18.823,56.083,167,"10:15,01 a 20,00",2009
m,15.272,10.626,48.522,39.970,11.363,47.989,7.548,19.530,12.725,31.512,12.110,2.471,49.583,23.472,73.700,84.657,37.407,35.330,93.889,93.683,38.169,22.518,37.567,316.299,19.591,"06:4,01 a 5,00",2009
f,1.436,1.357,3.998,4.285,2.815,4.385,1.124,5.294,2.442,8.303,4.623,759,8.882,4.591,6.477,38.303,12.964,44.617,43.516,16.022,34.235,54.608,48.060,408.958,1.858,"06:4,01 a 5,00",2009
m,30.079,63.208,161.048,104.014,43.892,100.754,67.370,60.071,47.722,111.654,71.011,16.855,284.161,48.683,447.462,572.416,180.098,27.070,603.757,504.759,213.333,72.212,77.418,578.224,196.278,"04:2,01 a 3,00",2009
f,1.965,6.791,19.749,21.313,21.975,17.273,9.384,20.935,13.938,38.584,52.603,6.597,58.313,8.277,24.552,285.787,55.141,45.157,185.829,69.050,161.643,196.089,113.887,939.488,12.524,"04:2,01 a 3,00",2009
m,2.494,19.777,8.990,3.325,1.265,2.822,12.046,6.740,3.756,6.269,15.142,4.568,48.543,4.569,57.639,163.587,19.481,2.235,68.218,29.456,117.325,5.967,37.762,156.186,123.793,"01:0,51 a 1,00",2009
f,656,2.709,2.614,1.355,843,836,4.230,4.448,3.008,4.510,32.512,6.885,29.590,1.572,8.453,164.096,14.498,4.159,104.490,14.751,181.281,27.439,71.198,284.081,33.864,"01:0,51 a 1,00",2009
m,21.134,23.751,82.881,67.413,21.151,73.031,20.446,32.851,21.011,54.063,27.803,4.948,108.245,30.615,160.656,195.339,75.692,41.850,207.571,253.796,78.733,37.951,50.936,420.452,61.256,"05:3,01 a 4,00",2009
f,1.679,2.655,7.351,8.106,6.308,7.374,2.712,9.237,4.940,14.162,11.677,1.608,18.673,5.368,11.539,92.196,24.813,53.225,78.759,31.150,66.999,90.709,72.197,616.029,3.868,"05:3,01 a 4,00",2009
m,11.788,5.577,30.195,26.359,9.530,43.589,2.784,15.267,8.656,28.369,4.980,1.175,22.951,33.510,38.876,34.800,25.008,52.233,71.362,47.129,29.816,17.373,43.205,276.886,7.141,"08:7,01 a 10,00",2009
f,2.021,919,3.126,3.545,2.143,4.320,530,4.485,1.726,9.284,1.990,273,5.459,7.224,6.348,14.341,9.501,48.993,35.885,16.068,24.910,32.152,46.951,255.097,1.311,"08:7,01 a 10,00",2009
m,18.589,106.876,80.979,33.423,18.215,21.814,128.093,45.206,41.867,78.920,139.772,92.512,365.505,41.882,512.089,1.524.640,268.005,15.077,730.208,289.836,651.047,68.195,93.003,584.706,503.788,"02:1,01 a 1,50",2009
f,2.932,15.923,19.573,12.875,20.447,7.777,39.314,32.210,34.224,62.485,359.628,122.201,291.881,12.739,54.223,1.497.936,143.961,35.178,664.489,103.169,1.004.076,321.167,232.374,1.172.150,127.189,"02:1,01 a 1,50",2009
m,22.828,1.519,6.198,7.719,4.239,13.885,562,4.128,2.373,18.756,1.101,217,7.433,13.882,10.428,8.037,13.443,31.958,34.199,17.821,9.612,5.451,20.615,151.464,1.631,"11:Mais de 20,00",2009
f,2.675,151,483,680,462,1.046,57,1.315,382,3.745,189,19,1.160,2.104,1.075,1.942,3.862,10.273,10.614,2.900,3.871,3.974,12.611,91.080,143,"11:Mais de 20,00",2009
m,20.017,74.482,124.787,64.883,34.667,40.541,98.324,45.949,47.151,93.046,74.087,29.287,303.192,46.801,532.670,890.346,201.021,12.448,606.149,329.700,317.375,65.523,63.016,397.507,253.654,"03:1,51 a 2,00",2009
f,1.627,9.069,25.077,22.338,29.944,10.845,19.995,24.988,24.173,55.537,119.826,20.108,135.266,7.695,30.040,630.310,84.064,26.282,254.780,76.635,287.733,233.160,113.991,670.482,31.329,"03:1,51 a 2,00",2009
m,15.953,10.034,53.187,40.494,12.439,49.549,5.936,23.080,14.492,36.314,10.173,2.147,41.723,34.082,65.316,72.045,36.438,54.286,96.846,74.396,41.485,23.666,51.675,437.595,13.459,"07:5,01 a 7,00",2009
f,2.000,1.373,4.204,4.641,2.751,4.568,983,6.684,2.559,10.641,4.215,552,8.903,6.921,7.839,34.235,14.100,59.972,47.963,20.863,37.496,54.058,61.119,456.565,1.749,"07:5,01 a 7,00",2009
m,13.640,2.900,15.803,16.713,7.594,32.461,1.319,9.210,4.383,25.961,2.272,664,12.675,26.097,22.524,18.095,17.223,51.239,53.237,31.013,24.789,12.286,36.732,177.220,3.761,"09:10,01 a 15,00",2009
f,2.859,602,2.140,2.429,1.496,3.701,237,3.085,1.098,8.957,827,114,3.067,5.901,3.690,6.596,6.385,37.436,25.490,10.161,23.919,16.348,38.217,151.025,599,"09:10,01 a 15,00",2009
m,840,1.629,3.026,2.926,947,1.319,1.641,1.007,1.204,2.748,2.377,1.477,10.752,2.447,17.271,37.918,10.555,987,31.152,13.063,33.000,4.379,17.953,7.884,7.820,"00:Até 0,50",2021
f,811,953,1.949,1.117,882,836,1.121,988,980,2.201,3.270,1.651,11.960,2.397,6.322,42.392,9.151,1.825,36.555,8.600,43.952,11.324,22.961,13.959,4.792,"00:Até 0,50",2021
m,8.517,811,2.416,4.410,1.578,4.722,330,1.807,1.030,11.631,462,134,3.974,7.843,2.220,5.878,9.709,25.961,32.010,10.835,4.586,6.420,25.333,93.283,1.221,"10:15,01 a 20,00",2021
f,1.383,196,376,575,286,620,56,647,302,3.875,168,41,1.339,1.833,445,2.377,4.145,13.333,14.398,2.614,2.880,6.919,21.642,61.712,208,"10:15,01 a 20,00",2021
m,17.616,11.252,37.910,36.605,10.371,33.049,7.344,15.326,12.441,39.689,8.001,1.830,43.683,25.486,56.464,77.003,45.866,41.229,117.851,87.520,32.845,32.808,42.780,344.912,26.407,"06:4,01 a 5,00",2021
f,2.048,1.655,4.010,4.721,2.626,3.841,1.326,4.017,2.555,11.864,4.123,645,10.898,5.610,7.080,54.332,20.378,54.317,72.472,19.850,30.451,98.159,62.499,470.161,2.879,"06:4,01 a 5,00",2021
m,47.258,72.182,153.947,133.186,42.241,99.174,69.178,51.658,46.965,156.629,56.364,11.533,277.615,83.044,430.170,572.968,235.384,41.056,708.408,587.086,208.947,119.879,97.980,593.003,241.510,"04:2,01 a 3,00",2021
f,5.255,9.294,20.654,26.037,17.152,17.688,13.892,15.914,14.549,47.466,40.673,4.657,80.202,15.208,35.315,351.468,83.094,76.988,311.436,79.727,183.113,380.315,192.232,1.063.563,22.122,"04:2,01 a 3,00",2021
m,3.933,23.045,17.580,13.584,4.106,5.862,17.271,8.930,7.882,15.560,27.036,15.017,65.015,8.667,112.150,334.456,55.440,6.697,233.911,82.899,191.600,21.438,70.881,165.028,124.398,"01:0,51 a 1,00",2021
f,2.185,4.332,5.729,5.583,3.014,3.352,6.259,6.661,6.805,11.366,48.388,17.849,66.292,4.755,21.273,374.516,38.701,15.012,331.876,50.268,304.103,85.278,143.251,255.046,40.558,"01:0,51 a 1,00",2021
m,29.813,26.702,72.413,71.297,19.223,57.020,19.848,26.550,21.654,75.448,19.099,3.799,103.100,43.300,150.373,177.185,93.930,47.954,231.051,224.906,71.977,65.290,58.467,442.752,73.019,"05:3,01 a 4,00",2021
f,3.013,3.475,8.052,9.449,5.103,7.112,3.381,6.854,5.051,19.627,10.047,1.469,24.750,7.350,14.746,115.820,37.262,71.527,131.268,35.613,63.808,187.722,96.206,725.498,6.494,"05:3,01 a 4,00",2021
m,11.312,5.245,16.444,19.934,6.682,26.173,2.188,10.016,5.571,28.371,2.592,781,19.552,26.238,20.408,29.798,31.726,67.956,107.747,39.760,20.237,22.369,40.849,285.695,7.225,"08:7,01 a 10,00",2021
f,3.234,1.032,2.458,3.269,1.537,3.537,464,3.010,1.583,12.904,1.416,227,6.264,6.644,4.335,15.862,15.090,58.748,56.507,12.962,15.855,48.483,52.066,287.734,1.408,"08:7,01 a 10,00",2021
m,18.956,99.424,94.850,62.437,25.929,28.577,106.005,41.025,43.602,99.377,121.075,73.063,352.678,52.680,473.497,1.703.809,354.678,21.492,1.025.814,426.524,634.063,127.960,124.436,523.965,441.124,"02:1,01 a 1,50",2021
