capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
porto_velho___ro,"00:ate_0,50",5,123,227,52,84,36,42,12,F,2022
porto_velho___ro,"01:0,51_a_1,00",0,119,1079,504,785,563,328,41,F,2022
porto_velho___ro,"02:1,01_a_1,50",0,23,4148,3393,5518,3794,2723,296,F,2022
porto_velho___ro,"03:1,51_a_2,00",0,1,981,1462,3860,3164,1907,157,F,2022
porto_velho___ro,"04:2,01_a_3,00",0,1,441,1263,3496,3392,3292,1083,F,2022
porto_velho___ro,"05:3,01_a_4,00",0,0,128,574,2185,2100,1948,312,F,2022
porto_velho___ro,"06:4,01_a_5,00",0,0,59,389,2407,3543,3294,347,F,2022
porto_velho___ro,"07:5,01_a_7,00",0,0,88,421,1642,1607,1442,226,F,2022
porto_velho___ro,"08:7,01_a_10,00",0,0,38,78,670,632,573,113,F,2022
porto_velho___ro,"09:10,01_a_15,00",0,0,47,96,649,555,585,126,F,2022
porto_velho___ro,"10:15,01_a_20,00",0,0,25,44,179,198,181,37,F,2022
porto_velho___ro,"11:mais_de_20,00",0,0,5,45,176,222,193,20,F,2022
rio_branco___ac,"00:ate_0,50",13,127,176,21,35,26,4,0,F,2022
rio_branco___ac,"01:0,51_a_1,00",1,33,996,667,915,639,276,7,F,2022
rio_branco___ac,"02:1,01_a_1,50",0,2,2779,2807,4436,3193,1437,64,F,2022
rio_branco___ac,"03:1,51_a_2,00",0,0,495,833,1648,1322,972,143,F,2022
rio_branco___ac,"04:2,01_a_3,00",0,0,301,1094,3289,3223,2190,245,F,2022
rio_branco___ac,"05:3,01_a_4,00",0,0,83,399,1560,2059,1690,147,F,2022
rio_branco___ac,"06:4,01_a_5,00",0,0,36,173,700,914,1133,90,F,2022
rio_branco___ac,"07:5,01_a_7,00",0,0,21,117,911,1062,821,53,F,2022
rio_branco___ac,"08:7,01_a_10,00",0,0,18,56,557,776,633,44,F,2022
rio_branco___ac,"09:10,01_a_15,00",0,0,32,28,251,415,347,36,F,2022
rio_branco___ac,"10:15,01_a_20,00",0,0,7,15,67,85,102,19,F,2022
rio_branco___ac,"11:mais_de_20,00",0,0,7,23,80,113,89,12,F,2022
manaus___am,"00:ate_0,50",13,620,1644,189,305,284,154,19,F,2022
manaus___am,"01:0,51_a_1,00",1,494,4637,2284,3144,2454,1288,81,F,2022
manaus___am,"02:1,01_a_1,50",0,23,14302,13884,21007,16928,8702,461,F,2022
manaus___am,"03:1,51_a_2,00",0,8,4324,6277,12159,10126,6322,637,F,2022
manaus___am,"04:2,01_a_3,00",0,6,1744,4135,11458,13218,9770,1014,F,2022
manaus___am,"05:3,01_a_4,00",0,11,419,1835,5321,4900,3518,496,F,2022
manaus___am,"06:4,01_a_5,00",0,2,255,1054,3842,4059,2943,361,F,2022
manaus___am,"07:5,01_a_7,00",0,0,277,864,3770,4017,3167,396,F,2022
manaus___am,"08:7,01_a_10,00",0,0,190,443,2296,2842,2117,309,F,2022
manaus___am,"09:10,01_a_15,00",0,0,160,309,1257,1452,1282,200,F,2022
manaus___am,"10:15,01_a_20,00",0,0,60,113,505,770,635,100,F,2022
manaus___am,"11:mais_de_20,00",0,0,59,192,608,650,656,145,F,2022
boa_vista___rr,"00:ate_0,50",11,121,184,48,75,24,5,1,F,2022
boa_vista___rr,"01:0,51_a_1,00",5,126,1196,714,1026,601,255,12,F,2022
boa_vista___rr,"02:1,01_a_1,50",0,15,3913,3310,4603,2998,1284,58,F,2022
boa_vista___rr,"03:1,51_a_2,00",0,1,488,769,1368,992,426,18,F,2022
boa_vista___rr,"04:2,01_a_3,00",0,0,279,651,1465,1168,901,126,F,2022
boa_vista___rr,"05:3,01_a_4,00",0,0,103,290,1033,976,1009,122,F,2022
boa_vista___rr,"06:4,01_a_5,00",0,0,67,165,570,498,539,121,F,2022
boa_vista___rr,"07:5,01_a_7,00",0,0,50,143,519,412,293,39,F,2022
boa_vista___rr,"08:7,01_a_10,00",0,0,31,105,393,360,306,47,F,2022
boa_vista___rr,"09:10,01_a_15,00",0,0,22,49,255,319,332,54,F,2022
boa_vista___rr,"10:15,01_a_20,00",0,0,10,21,61,104,159,11,F,2022
boa_vista___rr,"11:mais_de_20,00",0,0,8,30,98,86,95,10,F,2022
belem___pa,"00:ate_0,50",3,206,1113,225,345,197,64,5,F,2022
belem___pa,"01:0,51_a_1,00",6,206,2867,1743,2584,1688,810,47,F,2022
belem___pa,"02:1,01_a_1,50",0,12,6414,8638,16984,14185,8405,1041,F,2022
belem___pa,"03:1,51_a_2,00",0,2,1395,3045,7123,6448,5275,1134,F,2022
belem___pa,"04:2,01_a_3,00",0,3,574,2075,5586,5553,4360,764,F,2022
belem___pa,"05:3,01_a_4,00",0,1,206,1144,4048,3702,3116,534,F,2022
belem___pa,"06:4,01_a_5,00",0,1,97,518,2473,3105,2983,771,F,2022
belem___pa,"07:5,01_a_7,00",0,0,147,728,3230,4260,4508,984,F,2022
belem___pa,"08:7,01_a_10,00",0,0,64,372,2847,4800,5664,1073,F,2022
belem___pa,"09:10,01_a_15,00",0,0,74,232,1495,2172,2804,578,F,2022
belem___pa,"10:15,01_a_20,00",0,0,47,176,524,757,908,232,F,2022
belem___pa,"11:mais_de_20,00",0,0,28,162,668,861,998,285,F,2022
macapa___ap,"00:ate_0,50",2,30,160,31,47,45,109,40,F,2022
macapa___ap,"01:0,51_a_1,00",0,16,848,655,829,575,579,129,F,2022
macapa___ap,"02:1,01_a_1,50",0,1,2257,2623,4483,3261,2280,118,F,2022
macapa___ap,"03:1,51_a_2,00",0,0,365,714,1560,1046,442,39,F,2022
macapa___ap,"04:2,01_a_3,00",0,0,214,544,1421,1090,998,321,F,2022
macapa___ap,"05:3,01_a_4,00",0,0,139,447,1529,1295,1378,295,F,2022
macapa___ap,"06:4,01_a_5,00",0,0,48,261,938,866,885,322,F,2022
macapa___ap,"07:5,01_a_7,00",0,0,41,259,2044,2856,1537,191,F,2022
macapa___ap,"08:7,01_a_10,00",0,0,37,73,603,1555,1756,223,F,2022
macapa___ap,"09:10,01_a_15,00",0,0,14,53,289,546,1089,175,F,2022
