,faixa_remuneracao_media_sm,sexo_cod,total_pessoas,Adm Técnica Profissional,Transporte e Comunicações,Aloj Comunic,Médicos Odontológicos Vet,Ensino,Administração Pública,Agricultura,Atividades de exploração de jogos de azar e apostas,Atividades esportivas,Atividades de recreação e lazer,"Atividades de organizações associativas patronais, empresariais e profissionais",Atividades de organizações sindicais,Atividades de associações de defesa de direitos sociais,Atividades de organizações associativas não especificadas anteriormente,Reparação e manutenção de equipamentos de informática e comunicação,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,Outras atividades de serviços pessoais,Serviços domésticos,Organismos internacionais e outras instituições extraterritoriais,Fabricação de veículos militares de combate,Sedes de empresas e unidades administrativas locais,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado
0,0,0,1101.0,58.0,49.0,159.0,109.0,208.0,192.0,0.0,0.0,11.0,0.0,0.0,2.0,6.0,22.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,99.0,175.0,105.0,55.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,335.0,436.0,47.0,157.0,3.0,0.0
1,0,1,984.0,79.0,49.0,175.0,63.0,167.0,147.0,1.0,0.0,9.0,0.0,5.0,34.0,5.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,85.0,157.0,107.0,77.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,278.0,360.0,39.0,137.0,4.0,0.0
2,0,0,5877.0,849.0,91.0,1203.0,461.0,997.0,704.0,9.0,1.0,72.0,9.0,8.0,13.0,68.0,90.0,8.0,8.0,185.0,3.0,0.0,0.0,0.0,1165.0,1716.0,1035.0,462.0,29.0,30.0,1.0,0.0,0.0,6.0,2.0,0.0,22.0,0.0,466.0,621.0,3236.0,277.0,725.0,13.0,3.0
3,0,1,7073.0,832.0,201.0,1031.0,143.0,528.0,606.0,111.0,0.0,92.0,7.0,56.0,53.0,37.0,48.0,11.0,23.0,65.0,3.0,0.0,0.0,0.0,1548.0,2011.0,1020.0,498.0,48.0,44.0,1.0,0.0,3.0,10.0,4.0,0.0,4.0,0.0,994.0,853.0,2670.0,178.0,452.0,19.0,5.0
4,0,0,36482.0,4976.0,718.0,6422.0,5165.0,2504.0,3238.0,25.0,2.0,155.0,30.0,28.0,64.0,364.0,213.0,28.0,43.0,594.0,4.0,0.0,0.0,0.0,7302.0,12000.0,7310.0,2467.0,79.0,226.0,5.0,0.0,0.0,3.0,32.0,0.0,250.0,0.0,2631.0,2391.0,25038.0,1961.0,2961.0,31.0,11.0
5,0,1,44355.0,8982.0,2651.0,5654.0,1313.0,1122.0,2283.0,364.0,0.0,233.0,27.0,33.0,43.0,173.0,167.0,55.0,126.0,253.0,7.0,0.0,0.0,0.0,8939.0,13578.0,7870.0,3493.0,193.0,245.0,3.0,0.0,5.0,3.0,19.0,0.0,50.0,0.0,5233.0,4418.0,25665.0,1284.0,1250.0,32.0,8.0
6,0,0,11507.0,884.0,157.0,943.0,2582.0,793.0,3271.0,5.0,0.0,25.0,5.0,24.0,33.0,118.0,61.0,7.0,5.0,68.0,1.0,0.0,0.0,0.0,1653.0,3977.0,2828.0,1868.0,100.0,41.0,0.0,0.0,0.0,2.0,3.0,0.0,148.0,0.0,640.0,461.0,6844.0,931.0,1990.0,23.0,4.0
7,0,1,19770.0,5442.0,1065.0,1572.0,738.0,450.0,2312.0,90.0,0.0,56.0,6.0,23.0,24.0,74.0,81.0,17.0,24.0,69.0,1.0,0.0,0.0,0.0,2883.0,6704.0,4917.0,3381.0,232.0,80.0,1.0,0.0,0.0,4.0,9.0,0.0,54.0,0.0,2611.0,1481.0,11359.0,749.0,1026.0,27.0,5.0
16,1,0,3581.0,77.0,34.0,141.0,279.0,260.0,2493.0,1.0,0.0,0.0,0.0,3.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,771.0,1356.0,1172.0,73.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,92.0,0.0,17.0,13.0,489.0,128.0,2617.0,217.0,16.0
17,1,1,4461.0,188.0,95.0,146.0,250.0,328.0,2526.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,926.0,1657.0,1362.0,128.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,55.0,0.0,148.0,111.0,1254.0,344.0,1997.0,153.0,18.0
18,1,0,1954.0,50.0,14.0,195.0,245.0,184.0,984.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,477.0,585.0,719.0,60.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,6.0,5.0,319.0,59.0,1453.0,134.0,35.0
19,1,1,3233.0,127.0,60.0,140.0,298.0,215.0,1535.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,701.0,933.0,1170.0,116.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,0.0,49.0,48.0,711.0,239.0,1764.0,102.0,29.0
20,1,0,716.0,20.0,3.0,18.0,102.0,69.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,174.0,253.0,244.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0,89.0,20.0,583.0,71.0,17.0
21,1,1,1460.0,48.0,25.0,21.0,143.0,83.0,773.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,378.0,525.0,496.0,58.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,11.0,13.0,317.0,71.0,1085.0,64.0,14.0
22,3,0,983.0,26.0,1.0,6.0,46.0,24.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,199.0,325.0,390.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,36.0,3.0,860.0,49.0,18.0
23,3,1,2476.0,64.0,17.0,19.0,79.0,40.0,1416.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,357.0,719.0,1088.0,100.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,3.0,6.0,123.0,19.0,2009.0,85.0,43.0
24,0,0,1358.0,54.0,55.0,497.0,59.0,153.0,17.0,1.0,0.0,29.0,4.0,2.0,0.0,63.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,133.0,205.0,154.0,61.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0,461.0,406.0,19.0,125.0,7.0,0.0
25,0,1,1339.0,72.0,114.0,387.0,32.0,218.0,21.0,2.0,0.0,39.0,7.0,3.0,84.0,57.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,176.0,105.0,57.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,81.0,536.0,331.0,28.0,202.0,7.0,1.0
26,0,0,7346.0,517.0,116.0,1420.0,276.0,763.0,1507.0,22.0,0.0,122.0,14.0,17.0,18.0,103.0,112.0,12.0,9.0,156.0,3.0,0.0,0.0,0.0,1252.0,2068.0,1312.0,625.0,38.0,19.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,988.0,751.0,3754.0,231.0,639.0,26.0,8.0
27,0,1,8332.0,699.0,278.0,1158.0,130.0,729.0,1543.0,228.0,0.0,137.0,21.0,14.0,193.0,109.0,82.0,14.0,20.0,67.0,8.0,0.0,0.0,0.0,2014.0,2069.0,1000.0,580.0,43.0,30.0,1.0,0.0,2.0,6.0,12.0,0.0,0.0,0.0,1394.0,1069.0,4455.0,193.0,640.0,35.0,9.0
28,0,0,55679.0,4927.0,999.0,11930.0,4357.0,3049.0,10188.0,100.0,2.0,448.0,87.0,81.0,141.0,429.0,549.0,51.0,74.0,774.0,5.0,2.0,0.0,0.0,10458.0,17948.0,12037.0,6942.0,618.0,250.0,6.0,0.0,0.0,5.0,49.0,132.0,0.0,0.0,6674.0,4091.0,37141.0,1813.0,3293.0,53.0,13.0
29,0,1,66208.0,9050.0,4041.0,11124.0,1720.0,1894.0,6432.0,489.0,0.0,599.0,77.0,79.0,243.0,502.0,527.0,95.0,140.0,466.0,6.0,1.0,0.0,0.0,13186.0,21525.0,12641.0,6378.0,551.0,480.0,6.0,3.0,1.0,5.0,184.0,214.0,0.0,0.0,12038.0,6677.0,39119.0,1228.0,1742.0,46.0,11.0
30,0,0,22268.0,1932.0,464.0,2357.0,3542.0,971.0,5940.0,24.0,1.0,104.0,17.0,42.0,58.0,202.0,360.0,15.0,32.0,97.0,0.0,1.0,0.0,0.0,3332.0,7382.0,4856.0,4519.0,442.0,87.0,1.0,0.0,0.0,7.0,14.0,7.0,0.0,0.0,1340.0,893.0,15039.0,1014.0,2715.0,50.0,12.0
31,0,1,38939.0,8801.0,2163.0,3619.0,1273.0,755.0,5126.0,247.0,0.0,216.0,13.0,63.0,143.0,223.0,300.0,59.0,48.0,236.0,1.0,0.0,0.0,0.0,6237.0,12585.0,9046.0,6643.0,681.0,354.0,2.0,0.0,0.0,16.0,108.0,27.0,0.0,0.0,6801.0,3388.0,20413.0,848.0,1642.0,46.0,12.0
40,1,0,10169.0,249.0,126.0,221.0,569.0,1060.0,6759.0,5.0,0.0,5.0,0.0,14.0,4.0,30.0,31.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,384.0,2157.0,2915.0,3864.0,333.0,12.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,32.0,25.0,1114.0,238.0,8124.0,631.0,29.0
41,1,1,10517.0,433.0,399.0,316.0,186.0,1058.0,6503.0,8.0,0.0,13.0,0.0,110.0,8.0,15.0,36.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,529.0,2599.0,3182.0,3726.0,571.0,25.0,0.0,0.0,0.0,7.0,3.0,6.0,0.0,0.0,668.0,280.0,2363.0,389.0,6744.0,289.0,28.0
42,1,0,5172.0,153.0,76.0,267.0,368.0,851.0,3207.0,3.0,0.0,1.0,0.0,11.0,1.0,14.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,1328.0,1425.0,2046.0,193.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,6.0,428.0,98.0,4282.0,167.0,131.0
43,1,1,7419.0,331.0,255.0,291.0,187.0,878.0,4595.0,4.0,0.0,6.0,0.0,69.0,3.0,8.0,16.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,384.0,1857.0,2096.0,2606.0,364.0,7.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,0.0,251.0,115.0,1124.0,236.0,5483.0,152.0,148.0
44,1,0,1919.0,84.0,22.0,86.0,91.0,343.0,1102.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,406.0,591.0,816.0,65.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,88.0,20.0,1725.0,47.0,36.0
45,1,1,2882.0,139.0,107.0,80.0,47.0,430.0,1795.0,1.0,0.0,2.0,0.0,10.0,1.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,83.0,632.0,1003.0,1141.0,121.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,47.0,11.0,357.0,65.0,2312.0,58.0,62.0
46,3,0,2415.0,195.0,9.0,52.0,59.0,153.0,1800.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,451.0,744.0,1099.0,142.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,84.0,14.0,2229.0,57.0,57.0
47,3,1,3938.0,263.0,61.0,67.0,35.0,266.0,2663.0,2.0,0.0,1.0,0.0,11.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,672.0,1177.0,1674.0,274.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,20.0,10.0,213.0,65.0,3305.0,84.0,104.0
48,0,0,5666.0,1441.0,200.0,1957.0,104.0,351.0,138.0,5.0,0.0,67.0,6.0,6.0,3.0,447.0,268.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,277.0,680.0,794.0,661.0,57.0,35.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,488.0,2219.0,1053.0,83.0,450.0,8.0,2.0
49,0,1,4576.0,558.0,242.0,1318.0,56.0,260.0,56.0,2.0,0.0,84.0,4.0,6.0,6.0,395.0,188.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,205.0,356.0,221.0,159.0,28.0,18.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,193.0,2112.0,771.0,68.0,323.0,10.0,2.0
