;;Sexo Trabalhador;Escolaridade Agreg após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;Total
110020:Porto Velho - RO;Total;182;1.514;2.240;5.326;7.716;4.353;29.925;1.251;6.808;59.315;57;668;1.018;1.986;3.825;1.917;33.458;1.532;8.181;52.642;239;2.182;3.258;7.312;11.541;6.270;63.383;2.783;14.989;111.957
;00:Até 0,50;1;3;6;17;7;24;25;1;5;89;0;3;5;12;8;19;25;1;8;81;1;6;11;29;15;43;50;2;13;170
;01:0,51 a 1,00;15;33;62;204;283;204;454;23;56;1.334;2;27;43;88;141;163;512;33;60;1.069;17;60;105;292;424;367;966;56;116;2.403
;02:1,01 a 1,50;94;363;484;1.965;2.664;1.774;6.318;201;113;13.976;36;169;333;937;1.673;1.038;10.074;353;226;14.839;130;532;817;2.902;4.337;2.812;16.392;554;339;28.815
;03:1,51 a 2,00;43;325;724;1.379;1.744;1.096;4.769;169;145;10.394;10;99;232;261;501;296;4.976;288;280;6.943;53;424;956;1.640;2.245;1.392;9.745;457;425;17.337
;04:2,01 a 3,00;17;238;452;684;1.094;666;4.214;214;654;8.233;5;63;308;135;376;152;5.047;293;1.033;7.412;22;301;760;819;1.470;818;9.261;507;1.687;15.645
;05:3,01 a 4,00;5;94;169;233;450;189;3.059;173;1.019;5.391;0;50;44;97;228;74;5.078;188;2.226;7.985;5;144;213;330;678;263;8.137;361;3.245;13.376
;06:4,01 a 5,00;0;145;106;255;382;94;2.546;77;646;4.251;3;151;20;186;312;35;3.590;82;1.080;5.459;3;296;126;441;694;129;6.136;159;1.726;9.710
;07:5,01 a 7,00;4;190;87;305;614;102;3.827;127;554;5.810;1;82;24;207;416;67;1.831;107;648;3.383;5;272;111;512;1.030;169;5.658;234;1.202;9.193
;08:7,01 a 10,00;0;81;74;191;268;92;2.111;100;906;3.823;0;14;2;44;117;33;1.233;90;1.066;2.599;0;95;76;235;385;125;3.344;190;1.972;6.422
;09:10,01 a 15,00;0;15;29;27;91;67;1.127;97;843;2.296;0;2;0;4;17;21;413;57;744;1.258;0;17;29;31;108;88;1.540;154;1.587;3.554
;10:15,01 a 20,00;0;2;4;5;25;13;567;42;790;1.448;0;1;2;0;11;10;200;30;374;628;0;3;6;5;36;23;767;72;1.164;2.076
;11:Mais de 20,00;0;6;2;8;33;8;855;26;1.067;2.005;0;1;0;3;5;3;429;10;427;878;0;7;2;11;38;11;1.284;36;1.494;2.883
;{ñ class};3;19;41;53;61;24;53;1;10;265;0;6;5;12;20;6;50;0;9;108;3;25;46;65;81;30;103;1;19;373
120040:Rio Branco - AC;Total;450;4.243;1.819;4.224;5.859;2.632;11.887;1.859;4.560;37.533;67;3.035;506;3.056;4.347;1.487;11.597;3.731;4.432;32.258;517;7.278;2.325;7.280;10.206;4.119;23.484;5.590;8.992;69.791
;00:Até 0,50;0;2;0;9;3;45;12;0;1;72;1;0;0;6;8;32;10;1;0;58;1;2;0;15;11;77;22;1;1;130
;01:0,51 a 1,00;38;152;134;139;138;90;175;6;22;894;2;63;36;68;61;78;201;11;23;543;40;215;170;207;199;168;376;17;45;1.437
;02:1,01 a 1,50;251;1.677;886;1.664;1.934;1.243;3.255;115;226;11.251;56;869;369;1.176;1.206;779;3.234;194;156;8.039;307;2.546;1.255;2.840;3.140;2.022;6.489;309;382;19.290
;03:1,51 a 2,00;109;866;336;755;1.004;485;2.294;130;207;6.186;5;737;47;561;644;208;1.822;206;206;4.436;114;1.603;383;1.316;1.648;693;4.116;336;413;10.622
