;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total
110020:Porto Velho - RO;Total;232;1.347;924;2.376;4.536;4.331;37.639;1.703;11.140;510;204;64.942;96;630;384;944;2.204;2.017;26.678;1.856;16.470;508;194;51.981;328;1.977;1.308;3.320;6.740;6.348;64.317;3.559;27.610;1.018;398;116.923
;00:Até 0,50;4;6;4;37;25;162;257;9;27;0;0;531;4;2;2;30;16;203;257;14;49;0;0;577;8;8;6;67;41;365;514;23;76;0;0;1.108
;01:0,51 a 1,00;10;53;81;118;141;356;1.864;82;159;8;0;2.872;8;27;29;75;182;321;2.198;168;299;5;4;3.316;18;80;110;193;323;677;4.062;250;458;13;4;6.188
;02:1,01 a 1,50;102;281;273;612;1.200;1.601;11.607;480;543;15;3;16.717;48;134;155;357;722;852;11.840;704;1.413;11;1;16.237;150;415;428;969;1.922;2.453;23.447;1.184;1.956;26;4;32.954
;03:1,51 a 2,00;56;278;260;658;952;1.072;9.489;325;688;17;1;13.796;11;79;79;204;350;369;5.196;307;1.387;18;4;8.004;67;357;339;862;1.302;1.441;14.685;632;2.075;35;5;21.800
;04:2,01 a 3,00;25;448;105;422;1.226;579;6.356;336;1.466;23;10;10.996;7;331;54;156;655;98;3.710;324;3.757;31;14;9.137;32;779;159;578;1.881;677;10.066;660;5.223;54;24;20.133
;05:3,01 a 4,00;13;68;57;110;302;153;2.458;151;1.317;27;9;4.665;2;10;16;19;67;14;925;121;2.450;43;16;3.683;15;78;73;129;369;167;3.383;272;3.767;70;25;8.348
;06:4,01 a 5,00;0;58;14;85;147;56;1.295;79;903;36;4;2.677;2;21;3;32;94;18;678;49;1.385;31;6;2.319;2;79;17;117;241;74;1.973;128;2.288;67;10;4.996
;07:5,01 a 7,00;0;56;45;113;207;51;1.392;96;1.631;44;15;3.650;0;5;20;5;15;9;481;58;2.175;59;17;2.844;0;61;65;118;222;60;1.873;154;3.806;103;32;6.494
;08:7,01 a 10,00;0;3;13;18;46;23;644;58;1.490;83;24;2.402;0;1;1;1;7;2;140;17;1.502;110;22;1.803;0;4;14;19;53;25;784;75;2.992;193;46;4.205
;09:10,01 a 15,00;0;0;1;4;19;11;295;25;1.300;173;76;1.904;1;0;0;1;5;1;68;11;1.040;151;71;1.349;1;0;1;5;24;12;363;36;2.340;324;147;3.253
;10:15,01 a 20,00;0;0;0;2;15;3;146;3;696;36;35;936;0;0;0;0;2;0;34;1;414;27;31;509;0;0;0;2;17;3;180;4;1.110;63;66;1.445
;11:Mais de 20,00;0;0;0;0;5;0;56;2;728;43;24;858;0;0;0;0;0;0;4;0;327;19;7;357;0;0;0;0;5;0;60;2;1.055;62;31;1.215
;{ñ class};22;96;71;197;251;264;1.780;57;192;5;3;2.938;13;20;25;64;89;130;1.147;82;272;3;1;1.846;35;116;96;261;340;394;2.927;139;464;8;4;4.784
120040:Rio Branco - AC;Total;165;1.174;615;1.390;2.798;1.893;29.249;1.702;14.616;641;232;54.475;40;482;291;731;1.490;914;21.756;1.943;21.743;775;160;50.325;205;1.656;906;2.121;4.288;2.807;51.005;3.645;36.359;1.416;392;104.800
;00:Até 0,50;0;7;6;24;28;134;192;6;30;2;0;429;0;1;1;14;30;132;188;12;25;0;0;403;0;8;7;38;58;266;380;18;55;2;0;832
;01:0,51 a 1,00;20;82;71;62;228;196;2.517;178;166;5;0;3.525;6;46;20;21;155;160;2.711;298;305;4;0;3.726;26;128;91;83;383;356;5.228;476;471;9;0;7.251
;02:1,01 a 1,50;87;412;268;394;984;663;11.134;407;506;11;2;14.868;22;161;186;188;584;336;8.981;607;1.192;8;1;12.266;109;573;454;582;1.568;999;20.115;1.014;1.698;19;3;27.134
;03:1,51 a 2,00;39;292;135;311;617;411;5.609;261;690;7;5;8.377;2;61;20;117;159;95;3.292;431;1.523;13;3;5.716;41;353;155;428;776;506;8.901;692;2.213;20;8;14.093
;04:2,01 a 3,00;6;191;50;310;448;263;3.966;266;1.318;19;12;6.849;1;101;9;252;283;76;3.285;292;3.003;27;14;7.343;7;292;59;562;731;339;7.251;558;4.321;46;26;14.192
