;;Sexo Trabalhador;Escolaridade após 2005
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;Total;99:Ignorado;Total;01:Analfabeto;02:Até 5ª Incompleto;03:5ª Completo Fundamental;04:6ª a 9ª Fundamental;05:Fundamental Completo;06:Médio Incompleto;07:Médio Completo;08:Superior Incompleto;09:Superior Completo;10:Mestrado;11:Doutorado;99:Ignorado;Total
110020:Porto Velho - RO;Total;276;1.531;1.050;2.578;5.377;4.652;54.299;2.119;18.669;550;233;91.334;133;628;410;1.007;2.967;2.240;44.208;2.305;26.504;518;220;81.140;0;0;409;2.159;1.460;3.585;8.344;6.892;98.507;4.424;45.173;1.068;453;0;172.474
;00:Até 0,50;2;8;5;42;20;181;289;10;33;0;0;590;2;3;8;19;31;178;285;17;38;0;0;581;0;0;4;11;13;61;51;359;574;27;71;0;0;0;1.171
;01:0,51 a 1,00;10;53;67;87;127;341;2.019;83;173;5;1;2.966;13;33;68;57;111;312;2.278;176;360;10;1;3.419;0;0;23;86;135;144;238;653;4.297;259;533;15;2;0;6.385
;02:1,01 a 1,50;106;319;253;732;1.228;1.527;13.597;545;663;19;1;18.990;66;120;117;368;910;883;15.117;802;1.501;10;1;19.895;0;0;172;439;370;1.100;2.138;2.410;28.714;1.347;2.164;29;2;0;38.885
;03:1,51 a 2,00;63;311;230;624;1.136;1.080;11.342;343;868;11;0;16.008;11;62;76;200;488;385;8.193;362;1.738;16;1;11.532;0;0;74;373;306;824;1.624;1.465;19.535;705;2.606;27;1;0;27.540
;04:2,01 a 3,00;31;484;149;421;1.301;581;8.138;354;2.674;29;8;14.170;8;335;58;168;752;114;7.271;357;3.869;26;10;12.968;0;0;39;819;207;589;2.053;695;15.409;711;6.543;55;18;0;27.138
;05:3,01 a 4,00;12;65;63;124;437;196;3.939;223;3.369;34;7;8.469;2;5;8;19;167;26;2.398;162;4.425;33;2;7.247;0;0;14;70;71;143;604;222;6.337;385;7.794;67;9;0;15.716
;06:4,01 a 5,00;3;70;19;128;302;86;5.069;121;2.491;30;6;8.325;1;15;3;30;147;33;3.528;96;6.134;36;16;10.039;0;0;4;85;22;158;449;119;8.597;217;8.625;66;22;0;18.364
;07:5,01 a 7,00;1;37;44;42;128;68;3.258;135;2.490;58;8;6.269;1;11;19;6;60;17;1.314;79;3.831;77;11;5.426;0;0;2;48;63;48;188;85;4.572;214;6.321;135;19;0;11.695
;08:7,01 a 10,00;1;9;20;30;70;37;1.225;76;1.754;125;59;3.406;0;2;3;4;14;4;333;34;1.515;132;63;2.104;0;0;1;11;23;34;84;41;1.558;110;3.269;257;122;0;5.510
;09:10,01 a 15,00;2;6;7;9;83;34;654;52;1.907;153;96;3.003;0;2;1;5;42;12;256;19;1.502;130;89;2.058;0;0;2;8;8;14;125;46;910;71;3.409;283;185;0;5.061
;10:15,01 a 20,00;1;7;4;8;26;25;361;15;890;17;17;1.371;1;2;0;5;9;13;126;11;473;11;13;664;0;0;2;9;4;13;35;38;487;26;1.363;28;30;0;2.035
;11:Mais de 20,00;0;4;1;6;34;26;414;37;1.031;44;24;1.621;0;1;1;1;3;5;111;14;500;19;6;661;0;0;0;5;2;7;37;31;525;51;1.531;63;30;0;2.282
;{ñ class};44;158;188;325;485;470;3.994;125;326;25;6;6.146;28;37;48;125;233;258;2.998;176;618;18;7;4.546;0;0;72;195;236;450;718;728;6.992;301;944;43;13;0;10.692
120040:Rio Branco - AC;Total;187;1.187;592;1.345;2.695;1.952;33.055;1.668;14.461;694;222;58.058;50;472;301;749;1.473;950;23.764;1.888;22.438;848;162;53.095;0;0;237;1.659;893;2.094;4.168;2.902;56.819;3.556;36.899;1.542;384;0;111.153
;00:Até 0,50;0;6;4;22;19;141;246;12;26;2;0;478;0;2;3;19;10;153;181;14;19;1;0;402;0;0;0;8;7;41;29;294;427;26;45;3;0;0;880
;01:0,51 a 1,00;25;94;51;66;193;194;3.063;87;135;7;0;3.915;12;38;19;29;145;118;2.759;140;271;3;0;3.534;0;0;37;132;70;95;338;312;5.822;227;406;10;0;0;7.449
;02:1,01 a 1,50;90;447;235;390;997;631;12.402;497;626;7;1;16.323;25;162;179;239;608;366;10.704;790;1.634;9;2;14.718;0;0;115;609;414;629;1.605;997;23.106;1.287;2.260;16;3;0;31.041
;03:1,51 a 2,00;39;228;103;305;545;391;5.532;244;586;8;2;7.983;3;76;21;137;259;91;3.173;299;1.344;7;3;5.413;0;0;42;304;124;442;804;482;8.705;543;1.930;15;5;0;13.396
;04:2,01 a 3,00;5;137;58;242;335;224;3.813;234;2.863;41;9;7.961;1;79;9;173;178;61;2.656;255;6.845;78;7;10.342;0;0;6;216;67;415;513;285;6.469;489;9.708;119;16;0;18.303
;05:3,01 a 4,00;1;39;14;71;84;50;1.393;128;1.815;68;7;3.670;1;25;0;39;60;17;1.514;151;4.014;102;15;5.938;0;0;2;64;14;110;144;67;2.907;279;5.829;170;22;0;9.608
;06:4,01 a 5,00;0;20;4;74;76;28;1.083;141;1.583;51;12;3.072;0;3;0;4;19;9;372;69;2.465;91;14;3.046;0;0;0;23;4;78;95;37;1.455;210;4.048;142;26;0;6.118
;07:5,01 a 7,00;0;15;13;22;42;16;1.116;155;2.906;162;18;4.465;0;2;4;2;10;3;212;41;2.496;202;13;2.985;0;0;0;17;17;24;52;19;1.328;196;5.402;364;31;0;7.450
;08:7,01 a 10,00;0;12;2;7;27;8;416;41;1.620;171;66;2.370;0;0;0;1;2;1;109;10;1.698;203;60;2.084;0;0;0;12;2;8;29;9;525;51;3.318;374;126;0;4.454
;09:10,01 a 15,00;5;16;12;17;28;18;314;32;1.169;86;47;1.744;0;2;2;4;7;6;106;8;843;100;31;1.109;0;0;5;18;14;21;35;24;420;40;2.012;186;78;0;2.853
;10:15,01 a 20,00;1;1;6;6;9;9;135;9;431;34;14;655;0;0;0;0;0;0;35;4;238;14;4;295;0;0;1;1;6;6;9;9;170;13;669;48;18;0;950
;11:Mais de 20,00;0;2;3;7;7;5;109;15;480;45;31;704;0;0;0;0;0;0;31;16;239;30;8;324;0;0;0;2;3;7;7;5;140;31;719;75;39;0;1.028
;{ñ class};21;170;87;116;333;237;3.433;73;221;12;15;4.718;8;83;64;102;175;125;1.912;91;332;8;5;2.905;0;0;29;253;151;218;508;362;5.345;164;553;20;20;0;7.623
130260:Manaus - AM;Total;523;3.622;2.431;7.921;17.879;13.293;219.519;11.124;53.156;1.737;5.742;336.947;221;1.430;1.057;3.050;7.563;6.225;137.521;9.257;73.660;1.399;4.426;245.809;1;1;744;5.052;3.488;10.971;25.442;19.518;357.040;20.381;126.816;3.136;10.168;1;582.757
;00:Até 0,50;1;20;26;149;145;1.084;2.264;96;138;13;9;3.945;2;15;11;75;100;844;1.873;95;179;20;14;3.228;0;0;3;35;37;224;245;1.928;4.137;191;317;33;23;0;7.173
;01:0,51 a 1,00;42;150;133;422;1.072;1.587;11.900;395;668;61;24;16.454;26;73;81;250;577;1.227;10.250;537;1.272;65;25;14.383;0;0;68;223;214;672;1.649;2.814;22.150;932;1.940;126;49;0;30.837
;02:1,01 a 1,50;253;1.108;793;2.917;5.959;4.374;71.041;2.202;2.889;94;42;91.672;108;787;537;1.419;3.337;2.341;58.161;2.842;5.660;73;42;75.307;0;0;361;1.895;1.330;4.336;9.296;6.715;129.202;5.044;8.549;167;84;0;166.979
;03:1,51 a 2,00;83;1.047;640;1.801;3.775;2.172;48.760;1.484;3.584;74;78;63.498;28;257;266;674;2.022;755;28.409;1.531;5.772;69;70;39.853;0;0;111;1.304;906;2.475;5.797;2.927;77.169;3.015;9.356;143;148;0;103.351
;04:2,01 a 3,00;60;704;388;1.202;3.034;1.545;37.908;2.409;11.477;126;378;59.231;10;130;68;256;618;332;18.137;1.686;18.956;148;1.004;41.345;0;0;70;834;456;1.458;3.652;1.877;56.045;4.095;30.433;274;1.382;0;100.576
