;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;Total
110020:Porto Velho - RO;Total;48;479;228;45;18;46;756;251;262;42;62;0;1.546;1.594;3.051;8.379;2.614;526;5.898;3.198;3.129;1.929;1.807;27.769;816;64.493;10;39;27;5;3;4;121;127;44;13;142;0;604;409;322;5.552;1.146;519;1.471;772;3.872;2.162;2.072;34.808;158;54.402;58;518;255;50;21;50;877;378;306;55;204;0;2.150;2.003;3.373;13.931;3.760;1.045;7.369;3.970;7.001;4.091;3.879;62.577;974;118.895
;00:Até 0,50;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;17;6;1;3;2;33;0;6;43;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;6;0;3;1;39;0;6;20;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;32;12;1;6;3;72;0;12;63;0;210
;01:0,51 a 1,00;0;29;6;2;0;1;8;8;4;0;4;0;54;2;170;176;40;4;114;134;206;27;61;1.680;74;2.804;0;1;1;0;0;0;3;8;1;0;3;0;52;3;23;145;49;7;120;48;283;50;166;3.578;30;4.571;0;30;7;2;0;1;11;16;5;0;7;0;106;5;193;321;89;11;234;182;489;77;227;5.258;104;7.375
;02:1,01 a 1,50;8;252;136;28;5;29;243;100;104;17;40;0;618;33;1.855;3.942;1.131;26;1.629;536;1.390;186;353;2.754;364;15.779;7;26;17;5;0;4;80;66;28;4;103;0;402;11;229;3.121;629;68;801;184;2.114;771;629;5.366;107;14.772;15;278;153;33;5;33;323;166;132;21;143;0;1.020;44;2.084;7.063;1.760;94;2.430;720;3.504;957;982;8.120;471;30.551
;03:1,51 a 2,00;20;101;32;6;6;11;215;50;94;7;10;0;368;103;476;2.115;575;23;3.097;522;590;170;206;1.855;204;10.856;2;4;5;0;3;0;23;14;5;6;27;0;87;32;38;1.185;244;35;272;115;644;515;276;3.475;11;7.018;22;105;37;6;9;11;238;64;99;13;37;0;455;135;514;3.300;819;58;3.369;637;1.234;685;482;5.330;215;17.874
;04:2,01 a 3,00;14;57;42;5;5;3;190;60;33;9;3;0;258;84;305;1.135;449;27;606;770;465;123;284;5.152;119;10.198;1;5;2;0;0;0;8;27;4;3;6;0;27;8;13;673;114;43;123;186;350;182;336;6.786;7;8.904;15;62;44;5;5;3;198;87;37;12;9;0;285;92;318;1.808;563;70;729;956;815;305;620;11.938;126;19.102
;05:3,01 a 4,00;4;16;5;3;2;0;71;22;7;4;1;0;116;59;83;453;150;61;116;485;171;47;265;3.120;28;5.289;0;1;1;0;0;0;6;7;4;0;1;0;18;35;9;234;48;70;37;67;140;70;194;6.643;0;7.585;4;17;6;3;2;0;77;29;11;4;2;0;134;94;92;687;198;131;153;552;311;117;459;9.763;28;12.874
;06:4,01 a 5,00;0;4;2;0;0;0;13;3;6;2;0;0;64;131;15;200;51;64;70;231;88;186;144;3.147;9;4.430;0;1;0;0;0;0;0;1;1;0;0;0;10;36;0;80;23;44;24;36;100;154;138;2.136;1;2.785;0;5;2;0;0;0;13;4;7;2;0;0;74;167;15;280;74;108;94;267;188;340;282;5.283;10;7.215
;07:5,01 a 7,00;0;5;3;0;0;0;7;6;7;0;0;0;42;212;38;143;88;97;66;135;71;595;160;3.617;4;5.296;0;0;1;0;0;0;1;1;0;0;0;0;1;74;2;36;15;88;31;53;98;229;153;2.496;1;3.280;0;5;4;0;0;0;8;7;7;0;0;0;43;286;40;179;103;185;97;188;169;824;313;6.113;5;8.576
