;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;{ñ class};Total
110020:Porto Velho - RO;Total;57;500;323;48;4;49;564;252;91;89;46;0;1.587;1.686;5.911;9.076;2.747;566;6.929;3.399;3.233;568;2.419;30.974;766;0;71.884;10;51;29;4;0;5;94;132;44;26;158;0;646;438;634;6.783;1.083;569;1.826;835;4.099;1.799;2.629;36.376;225;0;58.495;67;551;352;52;4;54;658;384;135;115;204;0;2.233;2.124;6.545;15.859;3.830;1.135;8.755;4.234;7.332;2.367;5.048;67.350;991;0;130.379
;00:Até 0,50;0;2;0;0;0;0;0;0;1;0;0;0;1;4;4;18;6;0;4;2;15;0;3;15;0;0;75;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;12;1;1;5;1;23;1;6;19;0;0;73;0;2;0;0;0;0;0;0;1;1;0;0;2;5;5;30;7;1;9;3;38;1;9;34;0;0;148
;01:0,51 a 1,00;0;38;14;3;0;0;9;6;3;1;6;0;46;0;280;225;44;4;89;38;200;17;87;1.926;95;0;3.131;3;3;1;0;0;0;2;14;5;0;10;0;30;1;27;139;48;3;147;30;318;62;158;4.094;30;0;5.125;3;41;15;3;0;0;11;20;8;1;16;0;76;1;307;364;92;7;236;68;518;79;245;6.020;125;0;8.256
;02:1,01 a 1,50;19;236;183;21;1;20;173;90;31;43;33;0;677;22;2.347;4.153;1.229;25;2.180;569;1.370;210;390;2.818;292;0;17.132;3;35;21;3;0;3;66;58;18;15;112;0;447;19;370;3.860;627;64;1.030;217;2.109;869;647;5.048;146;0;15.787;22;271;204;24;1;23;239;148;49;58;145;0;1.124;41;2.717;8.013;1.856;89;3.210;786;3.479;1.079;1.037;7.866;438;0;32.919
;03:1,51 a 2,00;18;98;61;10;0;23;170;48;18;16;7;0;321;96;1.144;2.207;584;17;3.400;555;571;156;241;1.765;223;0;11.749;2;6;5;1;0;1;17;11;8;6;23;0;79;30;111;1.475;175;41;332;117;602;501;318;3.081;25;0;6.967;20;104;66;11;0;24;187;59;26;22;30;0;400;126;1.255;3.682;759;58;3.732;672;1.173;657;559;4.846;248;0;18.716
;04:2,01 a 3,00;14;92;50;8;3;4;151;63;14;21;0;0;284;104;1.089;1.332;478;45;687;843;478;111;366;6.184;86;0;12.507;1;4;0;0;0;1;3;28;7;3;10;0;53;11;46;805;123;58;156;184;374;210;384;8.117;11;0;10.589;15;96;50;8;3;5;154;91;21;24;10;0;337;115;1.135;2.137;601;103;843;1.027;852;321;750;14.301;97;0;23.096
;05:3,01 a 4,00;3;16;10;6;0;1;49;28;5;3;0;0;111;100;499;520;154;97;157;598;172;35;283;2.869;38;0;5.754;0;1;0;0;0;0;4;10;4;1;2;0;15;35;28;261;57;101;48;89;131;72;202;6.438;2;0;7.501;3;17;10;6;0;1;53;38;9;4;2;0;126;135;527;781;211;198;205;687;303;107;485;9.307;40;0;13.255
;06:4,01 a 5,00;2;5;1;0;0;0;1;6;4;1;0;0;63;102;116;214;76;63;84;252;93;14;183;4.470;11;0;5.761;0;1;0;0;0;0;1;6;0;0;0;0;12;44;14;88;22;51;13;43;92;42;173;2.419;9;0;3.030;2;6;1;0;0;0;2;12;4;1;0;0;75;146;130;302;98;114;97;295;185;56;356;6.889;20;0;8.791
;07:5,01 a 7,00;0;3;1;0;0;0;6;4;11;2;0;0;40;201;117;173;55;105;92;165;113;18;255;4.228;4;0;5.593;0;0;2;0;0;0;1;1;1;0;0;0;2;71;10;71;12;91;27;67;103;18;217;3.129;0;0;3.823;0;3;3;0;0;0;7;5;12;2;0;0;42;272;127;244;67;196;119;232;216;36;472;7.357;4;0;9.416
