;;Sexo Trabalhador;IBGE Subsetor
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total;04:Indústria Mecânica;10:Indústria Química;11:Indústria Têxtil;13:Alimentos e Bebidas;15:Construção Civil;16:Comércio Varejista;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;24:Administração Pública;Total;01:Extrativa Mineral;02:Prod. Mineral Não Metálico;03:Indústria Metalúrgica;04:Indústria Mecânica;05:Elétrico e Comunic;06:Material de Transporte;07:Madeira e Mobiliário;08:Papel e Gráf;09:Borracha, Fumo, Couros;10:Indústria Química;11:Indústria Têxtil;12:Indústria Calçados;13:Alimentos e Bebidas;14:Serviço Utilidade Pública;15:Construção Civil;16:Comércio Varejista;17:Comércio Atacadista;18:Instituição Financeira;19:Adm Técnica Profissional;20:Transporte e Comunicações;21:Aloj Comunic;22:Médicos Odontológicos Vet;23:Ensino;24:Administração Pública;25:Agricultura;99:Outros, ignorados;{ñ class};Total
110020:Porto Velho - RO;Total;138;645;278;174;22;82;573;184;165;193;97;13;1.607;2.974;4.731;13.436;3.964;728;10.392;5.397;4.452;1.604;2.433;35.590;1.408;52;2;91.334;31;83;47;34;4;15;133;104;55;51;115;0;1.151;585;521;11.546;1.898;977;4.837;1.436;6.552;4.646;3.576;42.462;280;1;0;81.140;0;0;0;0;0;0;0;0;0;0;0;0;169;728;325;208;26;97;706;288;220;244;212;13;2.758;3.559;5.252;24.982;5.862;1.705;15.229;6.833;11.004;6.250;6.009;78.052;1.688;53;2;172.474
;00:Até 0,50;0;3;0;0;0;0;2;1;0;1;3;0;10;9;32;170;36;3;107;60;64;9;30;44;6;0;0;590;0;3;1;0;0;1;2;1;0;2;1;0;27;9;7;179;33;10;61;34;79;34;41;53;3;0;0;581;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;1;4;2;0;3;4;0;37;18;39;349;69;13;168;94;143;43;71;97;9;0;0;1.171
;01:0,51 a 1,00;5;38;10;0;1;8;14;6;8;17;3;0;68;57;153;665;172;12;598;127;293;86;126;373;125;1;0;2.966;1;9;3;2;0;2;4;17;3;4;5;0;78;39;34;793;155;46;431;90;511;354;300;491;47;0;0;3.419;0;0;0;0;0;0;0;0;0;0;0;0;6;47;13;2;1;10;18;23;11;21;8;0;146;96;187;1.458;327;58;1.029;217;804;440;426;864;172;1;0;6.385
;02:1,01 a 1,50;36;200;113;61;13;26;150;87;55;89;61;5;683;158;1.224;5.583;1.373;53;2.186;1.320;1.753;539;531;2.254;425;11;1;18.990;15;25;28;18;1;4;54;61;21;24;72;0;590;58;174;5.859;856;137;1.838;473;3.116;1.929;998;3.411;133;0;0;19.895;0;0;0;0;0;0;0;0;0;0;0;0;51;225;141;79;14;30;204;148;76;113;133;5;1.273;216;1.398;11.442;2.229;190;4.024;1.793;4.869;2.468;1.529;5.665;558;11;1;38.885
;03:1,51 a 2,00;34;145;61;32;3;22;175;45;52;40;11;6;314;491;914;2.656;843;58;4.792;870;818;319;293;2.670;342;1;1;16.008;4;18;4;6;0;4;34;10;17;7;15;0;132;65;104;1.877;308;112;1.161;160;1.139;793;363;5.162;37;0;0;11.532;0;0;0;0;0;0;0;0;0;0;0;0;38;163;65;38;3;26;209;55;69;47;26;6;446;556;1.018;4.533;1.151;170;5.953;1.030;1.957;1.112;656;7.832;379;1;1;27.540
;04:2,01 a 3,00;38;132;33;36;1;11;111;26;17;27;6;1;241;744;839;1.591;653;93;1.039;1.013;386;328;295;6.255;250;4;0;14.170;3;10;5;5;1;1;12;6;6;5;4;0;67;93;70;965;202;123;464;160;374;537;462;9.377;16;0;0;12.968;0;0;0;0;0;0;0;0;0;0;0;0;41;142;38;41;2;12;123;32;23;32;10;1;308;837;909;2.556;855;216;1.503;1.173;760;865;757;15.632;266;4;0;27.138
;05:3,01 a 4,00;8;43;13;7;0;3;33;6;10;4;1;0;51;230;339;578;309;83;262;498;117;106;204;5.506;57;1;0;8.469;3;6;2;0;0;1;7;1;2;2;3;0;17;58;24;323;80;87;101;75;120;199;302;5.825;9;0;0;7.247;0;0;0;0;0;0;0;0;0;0;0;0;11;49;15;7;0;4;40;7;12;6;4;0;68;288;363;901;389;170;363;573;237;305;506;11.331;66;1;0;15.716
;06:4,01 a 5,00;7;13;2;0;0;2;20;3;1;2;1;0;27;181;149;259;110;56;85;176;34;33;115;7.015;29;5;0;8.325;1;1;0;0;0;2;0;2;1;0;0;0;11;50;8;105;37;59;43;29;56;102;160;9.368;4;0;0;10.039;0;0;0;0;0;0;0;0;0;0;0;0;8;14;2;0;0;4;20;5;2;2;1;0;38;231;157;364;147;115;128;205;90;135;275;16.383;33;5;0;18.364
;07:5,01 a 7,00;2;13;2;0;0;2;7;1;3;5;0;0;14;315;80;233;114;76;99;213;69;27;185;4.778;16;15;0;6.269;1;5;1;0;0;0;0;0;0;0;1;0;4;55;5;124;43;107;48;35;91;77;184;4.641;4;0;0;5.426;0;0;0;0;0;0;0;0;0;0;0;0;3;18;3;0;0;2;7;1;3;5;1;0;18;370;85;357;157;183;147;248;160;104;369;9.419;20;15;0;11.695
;08:7,01 a 10,00;2;7;0;1;0;2;2;0;2;3;0;0;7;326;41;152;58;82;50;97;34;7;172;2.352;6;3;0;3.406;0;1;0;0;0;0;0;0;0;1;0;0;4;61;1;62;22;84;17;14;104;43;192;1.498;0;0;0;2.104;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;1;0;2;2;0;2;4;0;0;11;387;42;214;80;166;67;111;138;50;364;3.850;6;3;0;5.510
;09:10,01 a 15,00;2;1;0;0;0;1;0;0;0;0;0;0;4;174;48;113;46;41;50;49;35;12;218;2.208;1;0;0;3.003;1;0;0;0;0;0;0;0;0;0;0;0;6;38;11;69;21;47;23;21;42;35;197;1.547;0;0;0;2.058;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;10;212;59;182;67;88;73;70;77;47;415;3.755;1;0;0;5.061
;10:15,01 a 20,00;1;1;0;0;0;0;1;0;0;0;0;0;2;71;34;103;20;23;47;18;17;1;21;1.009;1;1;0;1.371;0;0;0;0;0;0;0;0;0;0;0;0;0;13;10;68;5;26;5;9;26;7;14;481;0;0;0;664;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;2;84;44;171;25;49;52;27;43;8;35;1.490;1;1;0;2.035
;11:Mais de 20,00;0;8;0;0;0;1;0;0;0;0;0;0;2;124;53;113;48;100;47;63;24;4;12;1.011;1;10;0;1.621;1;3;0;0;0;0;0;0;0;0;0;0;0;17;2;76;18;64;24;16;24;15;8;393;0;0;0;661;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;1;0;0;0;0;0;0;2;141;55;189;66;164;71;79;48;19;20;1.404;1;10;0;2.282
;{ñ class};3;41;44;37;4;4;58;9;17;5;11;1;184;94;825;1.220;182;48;1.030;893;808;133;231;115;149;0;0;6.146;1;2;3;3;2;0;20;6;5;6;14;0;215;29;71;1.046;118;75;621;320;870;521;355;215;27;1;0;4.546;0;0;0;0;0;0;0;0;0;0;0;0;4;43;47;40;6;4;78;15;22;11;25;1;399;123;896;2.266;300;123;1.651;1.213;1.678;654;586;330;176;1;0;10.692
120040:Rio Branco - AC;Total;31;504;99;38;18;89;405;154;192;112;65;12;1.236;1.001;4.694;10.474;2.653;557;7.208;2.146;4.932;1.112;1.138;18.006;1.138;43;1;58.058;6;29;18;10;6;31;66;71;43;33;103;11;618;167;1.907;7.457;1.022;513;4.608;584;6.271;3.079;1.854;24.428;154;6;0;53.095;0;0;0;0;0;0;0;0;0;0;0;0;37;533;117;48;24;120;471;225;235;145;168;23;1.854;1.168;6.601;17.931;3.675;1.070;11.816;2.730;11.203;4.191;2.992;42.434;1.292;49;1;111.153
