;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;27;467;15.396;16.065;25.110;20.159;13.261;894;0;91.379;17;269;8.157;9.170;17.519;16.777;11.830;681;1;64.421;44;736;23.553;25.235;42.629;36.936;25.091;1.575;1;155.800
;00:Até 0,50;18;134;18;9;14;17;17;6;0;233;11;115;12;8;16;19;19;4;0;204;29;249;30;17;30;36;36;10;0;437
;01:0,51 a 1,00;7;125;497;343;520;427;327;39;0;2.285;6;67;364;377;708;597;359;32;0;2.510;13;192;861;720;1.228;1.024;686;71;0;4.795
;02:1,01 a 1,50;1;196;5.727;3.767;4.812;3.075;1.945;192;0;19.715;0;77;4.339;3.251;5.054;3.900;2.546;143;0;19.310;1;273;10.066;7.018;9.866;6.975;4.491;335;0;39.025
;03:1,51 a 2,00;1;9;3.978;3.705;5.028;2.791;1.603;134;0;17.249;0;7;1.768;1.982;3.042;2.244;1.737;124;0;10.904;1;16;5.746;5.687;8.070;5.035;3.340;258;0;28.153
;04:2,01 a 3,00;0;1;3.595;4.331;6.074;3.600;1.886;94;0;19.581;0;3;1.015;1.741;3.868;2.830;1.649;71;0;11.177;0;4;4.610;6.072;9.942;6.430;3.535;165;0;30.758
;05:3,01 a 4,00;0;0;769;1.486;2.709;2.078;1.137;60;0;8.239;0;0;322;684;2.197;2.898;1.464;55;1;7.621;0;0;1.091;2.170;4.906;4.976;2.601;115;1;15.860
;06:4,01 a 5,00;0;0;363;1.052;2.213;1.619;685;43;0;5.975;0;0;151;391;775;991;766;50;0;3.124;0;0;514;1.443;2.988;2.610;1.451;93;0;9.099
;07:5,01 a 7,00;0;0;266;587;1.191;2.254;1.694;131;0;6.123;0;0;105;357;630;1.049;1.617;137;0;3.895;0;0;371;944;1.821;3.303;3.311;268;0;10.018
;08:7,01 a 10,00;0;0;80;277;814;1.667;1.592;81;0;4.511;0;0;49;188;550;1.046;771;27;0;2.631;0;0;129;465;1.364;2.713;2.363;108;0;7.142
;09:10,01 a 15,00;0;0;58;305;814;1.140;1.014;56;0;3.387;0;0;19;104;328;641;463;21;0;1.576;0;0;77;409;1.142;1.781;1.477;77;0;4.963
;10:15,01 a 20,00;0;0;8;109;391;500;351;17;0;1.376;0;0;5;42;130;189;154;4;0;524;0;0;13;151;521;689;505;21;0;1.900
;11:Mais de 20,00;0;0;6;53;406;828;850;24;0;2.167;0;0;1;35;183;327;247;7;0;800;0;0;7;88;589;1.155;1.097;31;0;2.967
;{ñ class};0;2;31;41;124;163;160;17;0;538;0;0;7;10;38;46;38;6;0;145;0;2;38;51;162;209;198;23;0;683
120040:Rio Branco - AC;Total;7;226;7.676;8.826;13.917;9.579;6.165;511;0;46.907;2;140;4.037;5.100;10.412;10.484;6.808;431;1;37.415;9;366;11.713;13.926;24.329;20.063;12.973;942;1;84.322
;00:Até 0,50;4;87;43;2;5;5;2;0;0;148;2;47;36;3;4;3;1;0;0;96;6;134;79;5;9;8;3;0;0;244
;01:0,51 a 1,00;3;70;415;287;352;163;106;3;0;1.399;0;58;203;143;264;141;47;1;0;857;3;128;618;430;616;304;153;4;0;2.256
;02:1,01 a 1,50;0;61;4.301;3.382;3.912;1.720;933;80;0;14.389;0;33;2.491;2.176;3.347;1.709;946;79;1;10.782;0;94;6.792;5.558;7.259;3.429;1.879;159;1;25.171
;03:1,51 a 2,00;0;6;1.412;1.932;2.644;1.282;757;96;0;8.129;0;2;565;742;1.236;1.092;918;84;0;4.639;0;8;1.977;2.674;3.880;2.374;1.675;180;0;12.768
;04:2,01 a 3,00;0;2;618;1.206;2.307;1.668;1.097;125;0;7.023;0;0;305;637;1.372;1.938;1.680;136;0;6.068;0;2;923;1.843;3.679;3.606;2.777;261;0;13.091
;05:3,01 a 4,00;0;0;676;1.094;1.813;1.156;700;39;0;5.478;0;0;225;492;1.050;1.388;801;51;0;4.007;0;0;901;1.586;2.863;2.544;1.501;90;0;9.485
;06:4,01 a 5,00;0;0;78;295;967;1.311;676;50;0;3.377;0;0;97;316;1.198;1.554;826;22;0;4.013;0;0;175;611;2.165;2.865;1.502;72;0;7.390
;07:5,01 a 7,00;0;0;77;276;705;876;670;42;0;2.646;0;0;68;320;989;1.434;757;30;0;3.598;0;0;145;596;1.694;2.310;1.427;72;0;6.244
;08:7,01 a 10,00;0;0;25;144;412;492;346;24;0;1.443;0;0;19;129;469;586;365;12;0;1.580;0;0;44;273;881;1.078;711;36;0;3.023
;09:10,01 a 15,00;0;0;9;90;301;365;363;20;0;1.148;0;0;18;73;208;353;241;5;0;898;0;0;27;163;509;718;604;25;0;2.046
;10:15,01 a 20,00;0;0;5;41;135;172;146;6;0;505;0;0;6;37;112;106;99;3;0;363;0;0;11;78;247;278;245;9;0;868
;11:Mais de 20,00;0;0;1;43;261;252;280;23;0;860;0;0;1;23;134;143;100;8;0;409;0;0;2;66;395;395;380;31;0;1.269
;{ñ class};0;0;16;34;103;117;89;3;0;362;0;0;3;9;29;37;27;0;0;105;0;0;19;43;132;154;116;3;0;467
130260:Manaus - AM;Total;23;1.574;43.952;51.352;83.615;51.340;28.224;2.106;0;262.186;26;1.186;27.014;31.259;54.377;36.851;22.448;1.300;0;174.461;49;2.760;70.966;82.611;137.992;88.191;50.672;3.406;0;436.647
;00:Até 0,50;8;494;395;19;28;20;5;1;0;970;11;417;326;9;27;20;10;1;0;821;19;911;721;28;55;40;15;2;0;1.791
;01:0,51 a 1,00;9;626;1.781;830;1.014;514;288;26;0;5.088;7;451;1.371;738;1.194;676;334;13;0;4.784;16;1.077;3.152;1.568;2.208;1.190;622;39;0;9.872
;02:1,01 a 1,50;6;417;20.109;14.811;17.098;7.257;3.656;330;0;63.684;7;298;15.191;12.143;17.291;8.982;4.826;225;0;58.963;13;715;35.300;26.954;34.389;16.239;8.482;555;0;122.647
;03:1,51 a 2,00;0;23;10.609;12.448;16.515;7.710;3.502;220;0;51.027;1;16;5.190;6.385;8.536;3.725;1.456;65;0;25.374;1;39;15.799;18.833;25.051;11.435;4.958;285;0;76.401
