;;Sexo Trabalhador;Faixa Etária
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total;01:10 A 14;02:15 A 17;03:18 A 24;04:25 A 29;05:30 A 39;06:40 A 49;07:50 A 64;08:65 OU MAIS;{ñ class};Total
110020:Porto Velho - RO;Total;10;330;9.850;11.000;27.892;22.565;16.944;2.743;0;91.334;6;271;7.751;9.062;23.049;20.888;17.249;2.864;0;81.140;0;0;0;0;0;0;0;0;16;601;17.601;20.062;50.941;43.453;34.193;5.607;0;172.474
;00:Até 0,50;7;159;162;62;93;63;40;4;0;590;5;123;227;52;84;36;42;12;0;581;0;0;0;0;0;0;0;0;12;282;389;114;177;99;82;16;0;1.171
;01:0,51 a 1,00;3;131;912;475;643;489;280;33;0;2.966;0;119;1.079;504;785;563;328;41;0;3.419;0;0;0;0;0;0;0;0;3;250;1.991;979;1.428;1.052;608;74;0;6.385
;02:1,01 a 1,50;0;27;4.824;3.554;4.862;3.241;2.258;224;0;18.990;0;23;4.148;3.393;5.518;3.794;2.723;296;0;19.895;0;0;0;0;0;0;0;0;0;50;8.972;6.947;10.380;7.035;4.981;520;0;38.885
;03:1,51 a 2,00;0;1;1.851;2.383;5.269;4.078;2.256;170;0;16.008;0;1;981;1.462;3.860;3.164;1.907;157;0;11.532;0;0;0;0;0;0;0;0;0;2;2.832;3.845;9.129;7.242;4.163;327;0;27.540
;04:2,01 a 3,00;0;0;925;1.613;4.577;3.574;2.760;721;0;14.170;0;1;441;1.263;3.496;3.392;3.292;1.083;0;12.968;0;0;0;0;0;0;0;0;0;1;1.366;2.876;8.073;6.966;6.052;1.804;0;27.138
;05:3,01 a 4,00;0;0;185;820;3.010;2.391;1.802;261;0;8.469;0;0;128;574;2.185;2.100;1.948;312;0;7.247;0;0;0;0;0;0;0;0;0;0;313;1.394;5.195;4.491;3.750;573;0;15.716
;06:4,01 a 5,00;0;0;77;394;3.052;2.522;1.991;289;0;8.325;0;0;59;389;2.407;3.543;3.294;347;0;10.039;0;0;0;0;0;0;0;0;0;0;136;783;5.459;6.065;5.285;636;0;18.364
;07:5,01 a 7,00;0;0;109;407;1.885;2.054;1.574;240;0;6.269;0;0;88;421;1.642;1.607;1.442;226;0;5.426;0;0;0;0;0;0;0;0;0;0;197;828;3.527;3.661;3.016;466;0;11.695
;08:7,01 a 10,00;0;0;53;184;1.098;950;949;172;0;3.406;0;0;38;78;670;632;573;113;0;2.104;0;0;0;0;0;0;0;0;0;0;91;262;1.768;1.582;1.522;285;0;5.510
;09:10,01 a 15,00;0;0;53;169;872;891;835;183;0;3.003;0;0;47;96;649;555;585;126;0;2.058;0;0;0;0;0;0;0;0;0;0;100;265;1.521;1.446;1.420;309;0;5.061
