capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,sexo,ano
porto_velho___ro,"00:ate_0,50",0,3,5,12,8,19,25,1,8,F,2017
porto_velho___ro,"01:0,51_a_1,00",2,27,43,88,141,163,512,33,60,F,2017
porto_velho___ro,"02:1,01_a_1,50",36,169,333,937,1.673,1.038,10.074,353,226,F,2017
porto_velho___ro,"03:1,51_a_2,00",10,99,232,261,501,296,4.976,288,280,F,2017
porto_velho___ro,"04:2,01_a_3,00",5,63,308,135,376,152,5.047,293,1.033,F,2017
porto_velho___ro,"05:3,01_a_4,00",0,50,44,97,228,74,5.078,188,2.226,F,2017
porto_velho___ro,"06:4,01_a_5,00",3,151,20,186,312,35,3.590,82,1.080,F,2017
porto_velho___ro,"07:5,01_a_7,00",1,82,24,207,416,67,1.831,107,648,F,2017
porto_velho___ro,"08:7,01_a_10,00",0,14,2,44,117,33,1.233,90,1.066,F,2017
porto_velho___ro,"09:10,01_a_15,00",0,2,0,4,17,21,413,57,744,F,2017
porto_velho___ro,"10:15,01_a_20,00",0,1,2,0,11,10,200,30,374,F,2017
porto_velho___ro,"11:mais_de_20,00",0,1,0,3,5,3,429,10,427,F,2017
rio_branco___ac,"00:ate_0,50",1,0,0,6,8,32,10,1,0,F,2017
rio_branco___ac,"01:0,51_a_1,00",2,63,36,68,61,78,201,11,23,F,2017
rio_branco___ac,"02:1,01_a_1,50",56,869,369,1.176,1.206,779,3.234,194,156,F,2017
rio_branco___ac,"03:1,51_a_2,00",5,737,47,561,644,208,1.822,206,206,F,2017
rio_branco___ac,"04:2,01_a_3,00",3,848,15,815,1.070,177,2.094,733,327,F,2017
rio_branco___ac,"05:3,01_a_4,00",0,272,8,237,575,90,1.288,513,467,F,2017
rio_branco___ac,"06:4,01_a_5,00",0,112,5,80,387,59,1.047,621,429,F,2017
rio_branco___ac,"07:5,01_a_7,00",0,79,19,59,268,39,1.005,885,886,F,2017
rio_branco___ac,"08:7,01_a_10,00",0,24,2,29,77,18,517,332,682,F,2017
rio_branco___ac,"09:10,01_a_15,00",0,21,0,6,37,4,307,210,664,F,2017
rio_branco___ac,"10:15,01_a_20,00",0,1,0,0,2,0,34,19,247,F,2017
rio_branco___ac,"11:mais_de_20,00",0,0,0,0,1,0,18,6,340,F,2017
manaus___am,"00:ate_0,50",1,5,1,38,12,250,64,7,18,F,2017
manaus___am,"01:0,51_a_1,00",4,53,62,211,354,809,1.653,117,189,F,2017
manaus___am,"02:1,01_a_1,50",96,891,685,2.327,4.574,4.647,27.141,1.010,658,F,2017
manaus___am,"03:1,51_a_2,00",38,774,1.269,1.385,2.343,1.442,16.837,876,608,F,2017
manaus___am,"04:2,01_a_3,00",22,1.259,927,1.040,2.131,1.517,20.094,1.891,3.851,F,2017
manaus___am,"05:3,01_a_4,00",4,457,112,207,435,364,10.951,1.521,4.997,F,2017
manaus___am,"06:4,01_a_5,00",0,134,33,107,238,104,4.003,865,2.588,F,2017
