capital,faixa_remuneracao_media_sm,10 A 14,15 A 17,18 A 24,25 A 29,30 A 39,40 A 49,50 A 64,65 OU MAIS,sexo,ano
porto_velho___ro,"00:ate_0,50",5,123,227,52,84,36,42,12,F,2022
porto_velho___ro,"01:0,51_a_1,00",0,119,1.079,504,785,563,328,41,F,2022
porto_velho___ro,"02:1,01_a_1,50",0,23,4.148,3.393,5.518,3.794,2.723,296,F,2022
porto_velho___ro,"03:1,51_a_2,00",0,1,981,1.462,3.860,3.164,1.907,157,F,2022
porto_velho___ro,"04:2,01_a_3,00",0,1,441,1.263,3.496,3.392,3.292,1.083,F,2022
porto_velho___ro,"05:3,01_a_4,00",0,0,128,574,2.185,2.100,1.948,312,F,2022
porto_velho___ro,"06:4,01_a_5,00",0,0,59,389,2.407,3.543,3.294,347,F,2022
porto_velho___ro,"07:5,01_a_7,00",0,0,88,421,1.642,1.607,1.442,226,F,2022
porto_velho___ro,"08:7,01_a_10,00",0,0,38,78,670,632,573,113,F,2022
porto_velho___ro,"09:10,01_a_15,00",0,0,47,96,649,555,585,126,F,2022
porto_velho___ro,"10:15,01_a_20,00",0,0,25,44,179,198,181,37,F,2022
porto_velho___ro,"11:mais_de_20,00",0,0,5,45,176,222,193,20,F,2022
rio_branco___ac,"00:ate_0,50",13,127,176,21,35,26,4,0,F,2022
rio_branco___ac,"01:0,51_a_1,00",1,33,996,667,915,639,276,7,F,2022
rio_branco___ac,"02:1,01_a_1,50",0,2,2.779,2.807,4.436,3.193,1.437,64,F,2022
rio_branco___ac,"03:1,51_a_2,00",0,0,495,833,1.648,1.322,972,143,F,2022
rio_branco___ac,"04:2,01_a_3,00",0,0,301,1.094,3.289,3.223,2.190,245,F,2022
rio_branco___ac,"05:3,01_a_4,00",0,0,83,399,1.560,2.059,1.690,147,F,2022
rio_branco___ac,"06:4,01_a_5,00",0,0,36,173,700,914,1.133,90,F,2022
rio_branco___ac,"07:5,01_a_7,00",0,0,21,117,911,1.062,821,53,F,2022
rio_branco___ac,"08:7,01_a_10,00",0,0,18,56,557,776,633,44,F,2022
rio_branco___ac,"09:10,01_a_15,00",0,0,32,28,251,415,347,36,F,2022
rio_branco___ac,"10:15,01_a_20,00",0,0,7,15,67,85,102,19,F,2022
rio_branco___ac,"11:mais_de_20,00",0,0,7,23,80,113,89,12,F,2022
manaus___am,"00:ate_0,50",13,620,1.644,189,305,284,154,19,F,2022
manaus___am,"01:0,51_a_1,00",1,494,4.637,2.284,3.144,2.454,1.288,81,F,2022
manaus___am,"02:1,01_a_1,50",0,23,14.302,13.884,21.007,16.928,8.702,461,F,2022
manaus___am,"03:1,51_a_2,00",0,8,4.324,6.277,12.159,10.126,6.322,637,F,2022
manaus___am,"04:2,01_a_3,00",0,6,1.744,4.135,11.458,13.218,9.770,1.014,F,2022
manaus___am,"05:3,01_a_4,00",0,11,419,1.835,5.321,4.900,3.518,496,F,2022
manaus___am,"06:4,01_a_5,00",0,2,255,1.054,3.842,4.059,2.943,361,F,2022
manaus___am,"07:5,01_a_7,00",0,0,277,864,3.770,4.017,3.167,396,F,2022
manaus___am,"08:7,01_a_10,00",0,0,190,443,2.296,2.842,2.117,309,F,2022
manaus___am,"09:10,01_a_15,00",0,0,160,309,1.257,1.452,1.282,200,F,2022
manaus___am,"10:15,01_a_20,00",0,0,60,113,505,770,635,100,F,2022
manaus___am,"11:mais_de_20,00",0,0,59,192,608,650,656,145,F,2022
boa_vista___rr,"00:ate_0,50",11,121,184,48,75,24,5,1,F,2022
boa_vista___rr,"01:0,51_a_1,00",5,126,1.196,714,1.026,601,255,12,F,2022
boa_vista___rr,"02:1,01_a_1,50",0,15,3.913,3.310,4.603,2.998,1.284,58,F,2022
boa_vista___rr,"03:1,51_a_2,00",0,1,488,769,1.368,992,426,18,F,2022
boa_vista___rr,"04:2,01_a_3,00",0,0,279,651,1.465,1.168,901,126,F,2022
boa_vista___rr,"05:3,01_a_4,00",0,0,103,290,1.033,976,1.009,122,F,2022
boa_vista___rr,"06:4,01_a_5,00",0,0,67,165,570,498,539,121,F,2022
boa_vista___rr,"07:5,01_a_7,00",0,0,50,143,519,412,293,39,F,2022
boa_vista___rr,"08:7,01_a_10,00",0,0,31,105,393,360,306,47,F,2022
boa_vista___rr,"09:10,01_a_15,00",0,0,22,49,255,319,332,54,F,2022
boa_vista___rr,"10:15,01_a_20,00",0,0,10,21,61,104,159,11,F,2022
boa_vista___rr,"11:mais_de_20,00",0,0,8,30,98,86,95,10,F,2022
belem___pa,"00:ate_0,50",3,206,1.113,225,345,197,64,5,F,2022
belem___pa,"01:0,51_a_1,00",6,206,2.867,1.743,2.584,1.688,810,47,F,2022
belem___pa,"02:1,01_a_1,50",0,12,6.414,8.638,16.984,14.185,8.405,1.041,F,2022
belem___pa,"03:1,51_a_2,00",0,2,1.395,3.045,7.123,6.448,5.275,1.134,F,2022
belem___pa,"04:2,01_a_3,00",0,3,574,2.075,5.586,5.553,4.360,764,F,2022
belem___pa,"05:3,01_a_4,00",0,1,206,1.144,4.048,3.702,3.116,534,F,2022
belem___pa,"06:4,01_a_5,00",0,1,97,518,2.473,3.105,2.983,771,F,2022
belem___pa,"07:5,01_a_7,00",0,0,147,728,3.230,4.260,4.508,984,F,2022
belem___pa,"08:7,01_a_10,00",0,0,64,372,2.847,4.800,5.664,1.073,F,2022
belem___pa,"09:10,01_a_15,00",0,0,74,232,1.495,2.172,2.804,578,F,2022
belem___pa,"10:15,01_a_20,00",0,0,47,176,524,757,908,232,F,2022
belem___pa,"11:mais_de_20,00",0,0,28,162,668,861,998,285,F,2022
macapa___ap,"00:ate_0,50",2,30,160,31,47,45,109,40,F,2022
macapa___ap,"01:0,51_a_1,00",0,16,848,655,829,575,579,129,F,2022
macapa___ap,"02:1,01_a_1,50",0,1,2.257,2.623,4.483,3.261,2.280,118,F,2022
macapa___ap,"03:1,51_a_2,00",0,0,365,714,1.560,1.046,442,39,F,2022
macapa___ap,"04:2,01_a_3,00",0,0,214,544,1.421,1.090,998,321,F,2022
macapa___ap,"05:3,01_a_4,00",0,0,139,447,1.529,1.295,1.378,295,F,2022
