capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
porto_velho___ro,"00:ate_0,50",542,F,2020
porto_velho___ro,"01:0,51_a_1,00",4.044,F,2020
porto_velho___ro,"02:1,01_a_1,50",20.177,F,2020
porto_velho___ro,"03:1,51_a_2,00",10.690,F,2020
porto_velho___ro,"04:2,01_a_3,00",11.320,F,2020
porto_velho___ro,"05:3,01_a_4,00",11.736,F,2020
porto_velho___ro,"06:4,01_a_5,00",4.086,F,2020
porto_velho___ro,"07:5,01_a_7,00",3.676,F,2020
porto_velho___ro,"08:7,01_a_10,00",2.270,F,2020
porto_velho___ro,"09:10,01_a_15,00",1.669,F,2020
porto_velho___ro,"10:15,01_a_20,00",634,F,2020
porto_velho___ro,"11:mais_de_20,00",473,F,2020
rio_branco___ac,"00:ate_0,50",312,F,2020
rio_branco___ac,"01:0,51_a_1,00",5.631,F,2020
rio_branco___ac,"02:1,01_a_1,50",10.416,F,2020
rio_branco___ac,"03:1,51_a_2,00",4.884,F,2020
rio_branco___ac,"04:2,01_a_3,00",9.970,F,2020
rio_branco___ac,"05:3,01_a_4,00",4.253,F,2020
rio_branco___ac,"06:4,01_a_5,00",2.702,F,2020
rio_branco___ac,"07:5,01_a_7,00",2.971,F,2020
rio_branco___ac,"08:7,01_a_10,00",2.316,F,2020
rio_branco___ac,"09:10,01_a_15,00",1.322,F,2020
rio_branco___ac,"10:15,01_a_20,00",358,F,2020
rio_branco___ac,"11:mais_de_20,00",266,F,2020
manaus___am,"00:ate_0,50",2.748,F,2020
manaus___am,"01:0,51_a_1,00",16.425,F,2020
manaus___am,"02:1,01_a_1,50",57.308,F,2020
manaus___am,"03:1,51_a_2,00",37.675,F,2020
manaus___am,"04:2,01_a_3,00",34.653,F,2020
manaus___am,"05:3,01_a_4,00",13.507,F,2020
manaus___am,"06:4,01_a_5,00",11.453,F,2020
manaus___am,"07:5,01_a_7,00",11.296,F,2020
manaus___am,"08:7,01_a_10,00",6.746,F,2020
manaus___am,"09:10,01_a_15,00",4.368,F,2020
manaus___am,"10:15,01_a_20,00",1.726,F,2020
manaus___am,"11:mais_de_20,00",1.393,F,2020
boa_vista___rr,"00:ate_0,50",449,F,2020
boa_vista___rr,"01:0,51_a_1,00",3.667,F,2020
boa_vista___rr,"02:1,01_a_1,50",13.821,F,2020
boa_vista___rr,"03:1,51_a_2,00",3.926,F,2020
boa_vista___rr,"04:2,01_a_3,00",7.215,F,2020
boa_vista___rr,"05:3,01_a_4,00",4.584,F,2020
boa_vista___rr,"06:4,01_a_5,00",3.787,F,2020
