capital,faixa_remuneracao_media_sm,CLT U/ PJ Ind,CLT U/ PF Ind,CLT R/ PJ Ind,CLT R/ PF Ind,Estatutário,Estatutário RGPS,Estatutário não Efetivo,Avulso,Temporário,Aprendiz,CLT U/ PJ Determinado,CLT U/ PF Determinado,CLT R/ PJ Determinado,CLT R/ PF Determinado,Diretor,Contrat Prazo Determinado,Contrat TMP Determinado,Contrat Lei Estadual,Contrat Lei Municipal,sexo,ano
porto_velho___ro,"00:ate_0,50",223,1,0,0,7,1,1,0,0,309,35,0,0,0,0,0,0,0,0,F,2018
porto_velho___ro,"01:0,51_a_1,00",2.421,34,15,17,20,20,93,3,0,337,231,0,0,0,3,114,0,0,8,F,2018
porto_velho___ro,"02:1,01_a_1,50",14.626,101,29,36,351,17,565,1,0,12,330,0,0,0,6,48,0,0,115,F,2018
porto_velho___ro,"03:1,51_a_2,00",6.089,29,9,14,1.480,1,200,0,0,0,78,0,0,0,3,25,1,0,75,F,2018
porto_velho___ro,"04:2,01_a_3,00",3.323,16,28,2,5.275,19,342,0,0,0,52,0,0,0,0,11,4,0,65,F,2018
porto_velho___ro,"05:3,01_a_4,00",1.370,9,17,1,1.699,114,364,0,0,0,21,0,0,0,1,9,18,0,60,F,2018
porto_velho___ro,"06:4,01_a_5,00",641,2,20,0,1.505,5,102,0,0,0,11,0,0,0,2,1,11,0,19,F,2018
porto_velho___ro,"07:5,01_a_7,00",749,2,10,1,1.564,11,449,0,0,0,15,0,0,0,2,0,13,0,28,F,2018
porto_velho___ro,"08:7,01_a_10,00",400,0,0,0,1.213,2,133,0,0,0,6,0,0,0,0,0,6,0,43,F,2018
porto_velho___ro,"09:10,01_a_15,00",192,0,0,0,1.068,4,64,0,0,0,6,0,0,0,1,0,1,0,13,F,2018
porto_velho___ro,"10:15,01_a_20,00",50,0,0,0,452,0,6,0,0,0,1,0,0,0,0,0,0,0,0,F,2018
porto_velho___ro,"11:mais_de_20,00",42,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,2018
rio_branco___ac,"00:ate_0,50",149,2,0,1,2,0,1,0,0,225,22,0,0,0,0,1,0,0,0,F,2018
rio_branco___ac,"01:0,51_a_1,00",3.346,21,1,15,10,1,15,0,0,118,175,0,0,0,0,9,0,0,15,F,2018
rio_branco___ac,"02:1,01_a_1,50",11.294,77,1,24,113,36,415,0,0,6,195,0,0,0,0,11,0,1,93,F,2018
