;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;Total
110020:Porto Velho - RO;Total;82.625;73.723;156.348
;00:Até 0,50;466;542;1.008
;01:0,51 a 1,00;3.341;4.044;7.385
;02:1,01 a 1,50;17.930;20.177;38.107
;03:1,51 a 2,00;13.966;10.690;24.656
;04:2,01 a 3,00;13.763;11.320;25.083
;05:3,01 a 4,00;10.076;11.736;21.812
;06:4,01 a 5,00;5.268;4.086;9.354
;07:5,01 a 7,00;5.768;3.676;9.444
;08:7,01 a 10,00;3.260;2.270;5.530
;09:10,01 a 15,00;2.679;1.669;4.348
;10:15,01 a 20,00;1.326;634;1.960
;11:Mais de 20,00;1.351;473;1.824
;{ñ class};3.431;2.406;5.837
120040:Rio Branco - AC;Total;52.519;47.527;100.046
;00:Até 0,50;392;312;704
;01:0,51 a 1,00;4.154;5.631;9.785
;02:1,01 a 1,50;13.594;10.416;24.010
;03:1,51 a 2,00;7.651;4.884;12.535
;04:2,01 a 3,00;7.530;9.970;17.500
;05:3,01 a 4,00;2.944;4.253;7.197
;06:4,01 a 5,00;2.281;2.702;4.983
;07:5,01 a 7,00;5.038;2.971;8.009
;08:7,01 a 10,00;2.754;2.316;5.070
;09:10,01 a 15,00;1.882;1.322;3.204
;10:15,01 a 20,00;651;358;1.009
;11:Mais de 20,00;704;266;970
;{ñ class};2.944;2.126;5.070
130260:Manaus - AM;Total;292.527;207.384;499.911
;00:Até 0,50;3.386;2.748;6.134
;01:0,51 a 1,00;17.555;16.425;33.980
;02:1,01 a 1,50;77.832;57.308;135.140
;03:1,51 a 2,00;57.109;37.675;94.784
;04:2,01 a 3,00;50.564;34.653;85.217
;05:3,01 a 4,00;18.468;13.507;31.975
;06:4,01 a 5,00;11.976;11.453;23.429
;07:5,01 a 7,00;15.077;11.296;26.373
;08:7,01 a 10,00;11.987;6.746;18.733
;09:10,01 a 15,00;7.508;4.368;11.876
;10:15,01 a 20,00;3.368;1.726;5.094
;11:Mais de 20,00;3.136;1.393;4.529
;{ñ class};14.561;8.086;22.647
140010:Boa Vista - RR;Total;45.646;45.348;90.994
;00:Até 0,50;447;449;896
;01:0,51 a 1,00;3.627;3.667;7.294
;02:1,01 a 1,50;14.307;13.821;28.128
;03:1,51 a 2,00;5.977;3.926;9.903
;04:2,01 a 3,00;6.086;7.215;13.301
;05:3,01 a 4,00;3.290;4.584;7.874
;06:4,01 a 5,00;2.599;3.787;6.386
;07:5,01 a 7,00;2.433;2.995;5.428
;08:7,01 a 10,00;2.131;2.235;4.366
;09:10,01 a 15,00;1.459;1.069;2.528
;10:15,01 a 20,00;671;370;1.041
;11:Mais de 20,00;633;289;922
;{ñ class};1.986;941;2.927
150140:Belém - PA;Total;231.975;166.739;398.714
;00:Até 0,50;2.343;2.328;4.671
;01:0,51 a 1,00;14.186;12.756;26.942
;02:1,01 a 1,50;62.106;47.902;110.008
;03:1,51 a 2,00;38.280;22.536;60.816
;04:2,01 a 3,00;35.719;18.460;54.179
;05:3,01 a 4,00;21.022;15.026;36.048
;06:4,01 a 5,00;12.325;10.903;23.228
;07:5,01 a 7,00;12.619;13.765;26.384
;08:7,01 a 10,00;9.242;8.995;18.237
;09:10,01 a 15,00;7.738;4.824;12.562
;10:15,01 a 20,00;2.882;1.704;4.586
