;;Sexo Trabalhador
Capital; Faixa Remun Média (SM); 01:Masculino;02:Feminino;09:Ignorado;Total
110020:Porto Velho - RO;Total;91.334;81.140;0;172.474
;00:Até 0,50;590;581;0;1.171
;01:0,51 a 1,00;2.966;3.419;0;6.385
;02:1,01 a 1,50;18.990;19.895;0;38.885
;03:1,51 a 2,00;16.008;11.532;0;27.540
;04:2,01 a 3,00;14.170;12.968;0;27.138
;05:3,01 a 4,00;8.469;7.247;0;15.716
;06:4,01 a 5,00;8.325;10.039;0;18.364
;07:5,01 a 7,00;6.269;5.426;0;11.695
;08:7,01 a 10,00;3.406;2.104;0;5.510
;09:10,01 a 15,00;3.003;2.058;0;5.061
;10:15,01 a 20,00;1.371;664;0;2.035
;11:Mais de 20,00;1.621;661;0;2.282
;{ñ class};6.146;4.546;0;10.692
120040:Rio Branco - AC;Total;58.058;53.095;0;111.153
;00:Até 0,50;478;402;0;880
;01:0,51 a 1,00;3.915;3.534;0;7.449
;02:1,01 a 1,50;16.323;14.718;0;31.041
;03:1,51 a 2,00;7.983;5.413;0;13.396
;04:2,01 a 3,00;7.961;10.342;0;18.303
;05:3,01 a 4,00;3.670;5.938;0;9.608
;06:4,01 a 5,00;3.072;3.046;0;6.118
;07:5,01 a 7,00;4.465;2.985;0;7.450
;08:7,01 a 10,00;2.370;2.084;0;4.454
;09:10,01 a 15,00;1.744;1.109;0;2.853
;10:15,01 a 20,00;655;295;0;950
;11:Mais de 20,00;704;324;0;1.028
;{ñ class};4.718;2.905;0;7.623
130260:Manaus - AM;Total;336.947;245.809;1;582.757
;00:Até 0,50;3.945;3.228;0;7.173
;01:0,51 a 1,00;16.454;14.383;0;30.837
;02:1,01 a 1,50;91.672;75.307;0;166.979
;03:1,51 a 2,00;63.498;39.853;0;103.351
;04:2,01 a 3,00;59.231;41.345;0;100.576
;05:3,01 a 4,00;21.335;16.500;0;37.835
;06:4,01 a 5,00;13.755;12.516;0;26.271
;07:5,01 a 7,00;15.395;12.491;0;27.886
;08:7,01 a 10,00;13.430;8.197;0;21.627
;09:10,01 a 15,00;8.117;4.660;0;12.777
;10:15,01 a 20,00;4.021;2.183;0;6.204
;11:Mais de 20,00;4.485;2.310;0;6.795
;{ñ class};21.609;12.836;1;34.446
140010:Boa Vista - RR;Total;46.409;41.400;0;87.809
;00:Até 0,50;500;469;0;969
;01:0,51 a 1,00;3.923;3.935;0;7.858
;02:1,01 a 1,50;17.115;16.181;0;33.296
;03:1,51 a 2,00;6.978;4.062;0;11.040
;04:2,01 a 3,00;5.056;4.590;0;9.646
;05:3,01 a 4,00;2.624;3.533;0;6.157
;06:4,01 a 5,00;1.825;1.960;0;3.785
;07:5,01 a 7,00;1.536;1.456;0;2.992
;08:7,01 a 10,00;1.447;1.242;0;2.689
;09:10,01 a 15,00;1.352;1.031;0;2.383
;10:15,01 a 20,00;559;366;0;925
;11:Mais de 20,00;637;327;0;964
;{ñ class};2.857;2.248;0;5.105
150140:Belém - PA;Total;250.206;183.692;1;433.899
;00:Até 0,50;2.361;2.158;0;4.519
;01:0,51 a 1,00;11.098;9.951;0;21.049
;02:1,01 a 1,50;66.653;55.679;0;122.332
;03:1,51 a 2,00;43.055;24.422;0;67.477
;04:2,01 a 3,00;32.420;18.915;0;51.335
;05:3,01 a 4,00;20.585;12.751;0;33.336
;06:4,01 a 5,00;15.592;9.948;0;25.540
;07:5,01 a 7,00;11.768;13.857;0;25.625
;08:7,01 a 10,00;13.741;14.820;0;28.561
;09:10,01 a 15,00;9.808;7.355;0;17.163
;10:15,01 a 20,00;3.556;2.644;0;6.200
;11:Mais de 20,00;4.596;3.002;0;7.598
;{ñ class};14.973;8.190;1;23.164
160030:Macapá - AP;Total;60.737;53.448;0;114.185
;00:Até 0,50;445;464;0;909
;01:0,51 a 1,00;4.116;3.631;0;7.747
;02:1,01 a 1,50;17.855;15.023;0;32.878
;03:1,51 a 2,00;6.640;4.166;0;10.806
;04:2,01 a 3,00;6.690;4.588;0;11.278
;05:3,01 a 4,00;4.150;5.083;0;9.233
;06:4,01 a 5,00;3.641;3.320;0;6.961
;07:5,01 a 7,00;5.091;6.928;0;12.019
;08:7,01 a 10,00;3.813;4.247;0;8.060
;09:10,01 a 15,00;2.419;2.166;0;4.585
;10:15,01 a 20,00;1.106;588;0;1.694
;11:Mais de 20,00;1.307;638;0;1.945
;{ñ class};3.464;2.606;0;6.070
172100:Palmas - TO;Total;71.506;76.392;0;147.898
;00:Até 0,50;670;829;0;1.499
;01:0,51 a 1,00;5.955;8.522;0;14.477
;02:1,01 a 1,50;16.407;19.669;0;36.076
;03:1,51 a 2,00;9.240;7.186;0;16.426
;04:2,01 a 3,00;10.777;11.470;0;22.247
;05:3,01 a 4,00;6.759;8.754;0;15.513
;06:4,01 a 5,00;3.917;4.992;0;8.909
;07:5,01 a 7,00;4.042;5.484;0;9.526
;08:7,01 a 10,00;3.925;2.911;0;6.836
;09:10,01 a 15,00;3.344;2.200;0;5.544
;10:15,01 a 20,00;1.673;895;0;2.568
