;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;54.495;602;71;374;31.881;16;4.565;182;5;637;370;4;1;9;39;139;83;0;0;93.473;36.911;375;54;66;38.638;22;3.829;2;4;643;320;4;1;2;20;121;54;0;0;81.066;91.406;977;125;440;70.519;38;8.394;184;9;1.280;690;8;2;11;59;260;137;0;0;174.539
;00:Até 0,50;97;0;0;0;12;0;42;4;0;339;0;0;0;0;0;1;0;0;0;495;117;1;0;0;18;0;20;0;0;324;1;0;0;0;0;0;0;0;0;481;214;1;0;0;30;0;62;4;0;663;1;0;0;0;0;1;0;0;0;976
;01:0,51 a 1,00;852;62;6;36;40;0;213;33;0;265;8;0;0;0;2;2;0;0;0;1.519;1.073;38;5;17;64;0;232;0;0;280;1;1;0;1;6;0;0;0;0;1.718;1.925;100;11;53;104;0;445;33;0;545;9;1;0;1;8;2;0;0;0;3.237
;02:1,01 a 1,50;13.359;208;24;120;2.682;0;552;45;2;30;92;1;0;2;13;52;1;0;0;17.183;16.728;215;29;34;5.153;4;572;0;3;38;127;3;1;1;4;67;6;0;0;22.985;30.087;423;53;154;7.835;4;1.124;45;5;68;219;4;1;3;17;119;7;0;0;40.168
;03:1,51 a 2,00;13.128;160;21;129;2.452;1;464;37;1;0;72;2;1;5;8;32;3;0;0;16.516;7.963;60;5;8;5.490;0;444;0;0;0;32;0;0;0;5;28;2;0;0;14.037;21.091;220;26;137;7.942;1;908;37;1;0;104;2;1;5;13;60;5;0;0;30.553
;04:2,01 a 3,00;12.931;109;13;75;5.990;2;1.031;29;1;0;62;1;0;2;5;37;37;0;0;20.325;5.315;34;5;6;8.882;5;573;0;1;0;25;0;0;0;1;21;8;0;0;14.876;18.246;143;18;81;14.872;7;1.604;29;2;0;87;1;0;2;6;58;45;0;0;35.201
;05:3,01 a 4,00;4.889;31;5;5;3.540;2;700;5;0;0;65;0;0;0;0;5;24;0;0;9.271;2.126;14;4;1;9.270;6;617;0;0;0;35;0;0;0;1;4;15;0;0;12.093;7.015;45;9;6;12.810;8;1.317;5;0;0;100;0;0;0;1;9;39;0;0;21.364
;06:4,01 a 5,00;2.482;18;0;1;5.354;3;395;0;0;0;16;0;0;0;3;3;10;0;0;8.285;950;0;1;0;2.518;1;476;0;0;0;19;0;0;0;2;0;16;0;0;3.983;3.432;18;1;1;7.872;4;871;0;0;0;35;0;0;0;5;3;26;0;0;12.268
;07:5,01 a 7,00;2.235;8;1;1;4.380;5;496;0;0;0;18;0;0;0;4;7;8;0;0;7.163;885;7;5;0;2.991;3;383;1;0;0;46;0;0;0;0;1;6;0;0;4.328;3.120;15;6;1;7.371;8;879;1;0;0;64;0;0;0;4;8;14;0;0;11.491
