;;Sexo Trabalhador;Tipo Vínculo
Capital; Faixa Remun Média (SM); 01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;01:Masculino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;02:Feminino;09:Ignorado;09:Ignorado;09:Ignorado;09:Ignorado;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total;10:CLT U/ PJ Ind;55:Aprendiz;60:CLT U/ PJ Determinado;Total;10:CLT U/ PJ Ind;15:CLT U/ PF Ind;20:CLT R/ PJ Ind;25:CLT R/ PF Ind;30:Estatutário;31:Estatutário RGPS;35:Estatutário não Efetivo;40:Avulso;50:Temporário;55:Aprendiz;60:CLT U/ PJ Determinado;65:CLT U/ PF Determinado;70:CLT R/ PJ Determinado;75:CLT R/ PF Determinado;80:Diretor;90:Contrat Prazo Determinado;95:Contrat TMP Determinado;96:Contrat Lei Estadual;97:Contrat Lei Municipal;Total
110020:Porto Velho - RO;Total;49.759;867;208;305;29.198;102;5.998;236;2;550;3.322;49;0;18;48;502;40;0;130;91.334;34.682;319;151;46;32.702;220;8.999;0;2;724;2.349;20;0;1;40;382;53;1;449;81.140;0;0;0;0;84.441;1.186;359;351;61.900;322;14.997;236;4;1.274;5.671;69;0;19;88;884;93;1;579;172.474
;00:Até 0,50;120;0;0;2;20;0;22;0;0;249;170;3;0;0;0;4;0;0;0;590;141;1;0;0;31;0;20;0;0;257;129;1;0;0;0;1;0;0;0;581;0;0;0;0;261;1;0;2;51;0;42;0;0;506;299;4;0;0;0;5;0;0;0;1.171
;01:0,51 a 1,00;1.384;94;4;13;87;1;280;0;0;256;810;9;0;1;2;21;0;0;4;2.966;1.766;32;3;10;102;5;368;0;0;407;676;9;0;0;0;29;0;0;12;3.419;0;0;0;0;3.150;126;7;23;189;6;648;0;0;663;1.486;18;0;1;2;50;0;0;16;6.385
;02:1,01 a 1,50;14.846;325;66;58;1.372;21;729;1;1;10;1.310;20;0;1;0;196;0;0;34;18.990;15.129;163;59;23;2.223;38;854;0;1;18;1.033;6;0;0;0;197;1;0;150;19.895;0;0;0;0;29.975;488;125;81;3.595;59;1.583;1;2;28;2.343;26;0;1;0;393;1;0;184;38.885
;03:1,51 a 2,00;12.555;202;33;88;1.752;5;829;0;1;0;447;10;0;6;0;73;1;0;6;16.008;6.118;46;19;7;3.808;6;1.221;0;0;0;214;2;0;0;1;56;3;1;30;11.532;0;0;0;0;18.673;248;52;95;5.560;11;2.050;0;1;0;661;12;0;6;1;129;4;1;36;27.540
;04:2,01 a 3,00;7.402;109;31;68;4.660;11;1.501;0;0;0;242;3;0;1;0;101;13;0;28;14.170;3.441;20;22;1;6.865;27;2.297;0;0;0;111;0;0;0;0;28;21;0;135;12.968;0;0;0;0;10.843;129;53;69;11.525;38;3.798;0;0;0;353;3;0;1;0;129;34;0;163;27.138
;05:3,01 a 4,00;2.870;19;30;22;4.682;49;696;0;0;0;54;1;0;0;0;22;14;0;10;8.469;1.355;12;17;1;4.942;109;738;0;0;0;20;0;0;0;0;5;10;0;38;7.247;0;0;0;0;4.225;31;47;23;9.624;158;1.434;0;0;0;74;1;0;0;0;27;24;0;48;15.716
;06:4,01 a 5,00;1.282;4;30;7;6.360;4;590;0;0;0;17;1;0;0;0;13;8;0;9;8.325;629;5;27;0;7.852;13;1.472;0;0;1;6;0;0;0;2;8;13;0;11;10.039;0;0;0;0;1.911;9;57;7;14.212;17;2.062;0;0;1;23;1;0;0;2;21;21;0;20;18.364
;07:5,01 a 7,00;1.470;7;1;4;3.907;6;828;0;0;0;17;0;0;0;2;5;2;0;20;6.269;786;5;0;0;3.120;14;1.456;0;0;1;5;0;0;0;2;0;4;0;33;5.426;0;0;0;0;2.256;12;1;4;7.027;20;2.284;0;0;1;22;0;0;0;4;5;6;0;53;11.695
;08:7,01 a 10,00;987;1;2;2;2.176;1;208;0;0;0;18;0;0;0;0;0;1;0;10;3.406;513;0;0;0;1.342;3;225;0;0;1;3;0;0;0;0;0;0;0;17;2.104;0;0;0;0;1.500;1;2;2;3.518;4;433;0;0;1;21;0;0;0;0;0;1;0;27;5.510
;09:10,01 a 15,00;609;1;0;1;2.173;1;188;0;0;0;16;0;0;0;3;2;1;0;8;3.003;352;0;0;0;1.418;5;255;0;0;0;4;0;0;0;2;0;1;0;21;2.058;0;0;0;0;961;1;0;1;3.591;6;443;0;0;0;20;0;0;0;5;2;2;0;29;5.061
;10:15,01 a 20,00;342;0;1;1;931;2;83;0;0;0;7;0;0;0;2;1;0;0;1;1.371;169;0;0;0;436;0;55;0;0;0;0;0;0;0;4;0;0;0;0;664;0;0;0;0;511;0;1;1;1.367;2;138;0;0;0;7;0;0;0;6;1;0;0;1;2.035
;11:Mais de 20,00;572;0;0;0;988;0;24;0;0;0;28;0;0;0;8;1;0;0;0;1.621;254;0;0;0;391;0;5;0;0;0;0;0;0;0;11;0;0;0;0;661;0;0;0;0;826;0;0;0;1.379;0;29;0;0;0;28;0;0;0;19;1;0;0;0;2.282
;{ñ class};5.320;105;10;39;90;1;20;235;0;35;186;2;0;9;31;63;0;0;0;6.146;4.029;35;4;4;172;0;33;0;1;39;148;2;0;1;18;58;0;0;2;4.546;0;0;0;0;9.349;140;14;43;262;1;53;235;1;74;334;4;0;10;49;121;0;0;2;10.692
120040:Rio Branco - AC;Total;35.419;703;59;217;12.899;1.145;3.890;0;105;430;2.220;49;0;17;20;367;53;346;119;58.058;25.556;218;10;18;14.242;2.056;7.543;0;362;379;1.696;8;0;1;14;68;73;335;516;53.095;0;0;0;0;60.975;921;69;235;27.141;3.201;11.433;0;467;809;3.916;57;0;18;34;435;126;681;635;111.153
;00:Até 0,50;97;1;0;0;2;0;0;0;0;275;93;1;0;0;0;9;0;0;0;478;57;1;0;1;0;0;1;0;0;261;80;1;0;0;0;0;0;0;0;402;0;0;0;0;154;2;0;1;2;0;1;0;0;536;173;2;0;0;0;9;0;0;0;880
;01:0,51 a 1,00;2.756;146;5;44;11;2;27;0;0;121;706;20;0;2;0;70;0;0;5;3.915;2.780;28;1;2;9;1;35;0;0;91;567;2;0;1;0;16;0;0;1;3.534;0;0;0;0;5.536;174;6;46;20;3;62;0;0;212;1.273;22;0;3;0;86;0;0;6;7.449
;02:1,01 a 1,50;13.893;295;24;106;263;6;690;0;0;2;817;16;0;10;0;156;0;13;32;16.323;12.238;106;7;9;407;3;1.065;0;0;1;643;3;0;0;0;34;0;17;185;14.718;0;0;0;0;26.131;401;31;115;670;9;1.755;0;0;3;1.460;19;0;10;0;190;0;30;217;31.041
;03:1,51 a 2,00;6.683;77;14;27;480;32;269;0;0;1;264;6;0;1;0;60;6;41;22;7.983;3.596;25;0;1;1.106;110;284;0;0;0;141;0;0;0;0;9;6;52;83;5.413;0;0;0;0;10.279;102;14;28;1.586;142;553;0;0;1;405;6;0;1;0;69;12;93;105;13.396
;04:2,01 a 3,00;3.965;38;5;14;1.692;185;1.759;0;0;1;128;1;0;1;0;21;27;98;26;7.961;2.130;13;1;2;3.409;320;4.111;0;0;0;122;0;0;0;0;3;29;83;119;10.342;0;0;0;0;6.095;51;6;16;5.101;505;5.870;0;0;1;250;1;0;1;0;24;56;181;145;18.303
;05:3,01 a 4,00;1.251;8;2;3;1.336;339;593;0;0;1;43;0;0;0;1;1;13;69;10;3.670;927;6;0;1;2.641;884;1.281;0;0;1;37;0;0;0;1;0;27;64;68;5.938;0;0;0;0;2.178;14;2;4;3.977;1.223;1.874;0;0;2;80;0;0;0;2;1;40;133;78;9.608
;06:4,01 a 5,00;568;2;2;0;2.068;219;139;0;0;1;15;1;0;0;0;1;3;49;4;3.072;409;2;0;0;1.978;315;254;0;0;0;15;0;0;0;1;0;6;58;8;3.046;0;0;0;0;977;4;2;0;4.046;534;393;0;0;1;30;1;0;0;1;1;9;107;12;6.118
;07:5,01 a 7,00;597;2;0;4;3.485;142;153;0;0;0;21;0;0;0;0;0;3;49;9;4.465;408;2;1;0;1.985;256;221;0;0;0;23;0;0;0;0;0;5;50;34;2.985;0;0;0;0;1.005;4;1;4;5.470;398;374;0;0;0;44;0;0;0;0;0;8;99;43;7.450
;08:7,01 a 10,00;523;1;0;0;1.690;58;60;0;0;0;3;0;0;0;0;0;1;25;9;2.370;255;0;0;0;1.588;97;119;0;0;0;0;0;0;0;0;0;0;11;14;2.084;0;0;0;0;778;1;0;0;3.278;155;179;0;0;0;3;0;0;0;0;0;1;36;23;4.454
;09:10,01 a 15,00;525;0;0;6;1.067;90;49;0;0;0;2;0;0;0;1;0;0;2;2;1.744;243;1;0;1;753;42;62;0;0;0;1;0;0;0;2;0;0;0;4;1.109;0;0;0;0;768;1;0;7;1.820;132;111;0;0;0;3;0;0;0;3;0;0;2;6;2.853
;10:15,01 a 20,00;225;0;0;0;363;61;4;0;0;0;0;0;0;0;2;0;0;0;0;655;84;0;0;0;185;20;5;0;0;0;0;0;0;0;1;0;0;0;0;295;0;0;0;0;309;0;0;0;548;81;9;0;0;0;0;0;0;0;3;0;0;0;0;950
;11:Mais de 20,00;277;0;0;2;405;11;2;0;0;0;0;0;0;0;7;0;0;0;0;704;150;0;0;0;160;8;1;0;0;0;0;0;0;0;5;0;0;0;0;324;0;0;0;0;427;0;0;2;565;19;3;0;0;0;0;0;0;0;12;0;0;0;0;1.028
;{ñ class};4.059;133;7;11;37;0;145;0;105;28;128;4;0;3;9;49;0;0;0;4.718;2.279;34;0;1;21;0;104;0;362;25;67;2;0;0;4;6;0;0;0;2.905;0;0;0;0;6.338;167;7;12;58;0;249;0;467;53;195;6;0;3;13;55;0;0;0;7.623
130260:Manaus - AM;Total;248.728;1.012;1.169;148;47.405;1.092;10.789;39;3.624;4.666;13.246;39;0;0;198;1.529;115;0;3.148;336.947;152.169;744;677;27;55.664;1.266;17.046;10;1.636;4.051;7.438;23;0;0;139;813;125;0;3.981;245.809;0;0;1;1;400.897;1.756;1.846;175;103.069;2.358;27.835;49;5.260;8.717;20.685;62;0;0;337;2.342;240;0;7.129;582.757
;00:Até 0,50;686;0;2;0;12;0;325;0;54;2.267;583;5;0;0;0;8;0;0;3;3.945;550;4;4;0;13;0;318;0;17;1.984;330;1;0;0;0;3;0;0;4;3.228;0;0;0;0;1.236;4;6;0;25;0;643;0;71;4.251;913;6;0;0;0;11;0;0;7;7.173
;01:0,51 a 1,00;9.730;61;34;23;150;103;525;0;265;2.092;3.320;11;0;0;0;108;0;0;32;16.454;9.479;56;33;2;142;110;355;0;77;1.812;2.216;6;0;0;0;71;0;0;24;14.383;0;0;0;0;19.209;117;67;25;292;213;880;0;342;3.904;5.536;17;0;0;0;179;0;0;56;30.837
;02:1,01 a 1,50;80.657;397;398;93;589;308;1.292;0;1.486;138;5.143;12;0;0;1;607;0;0;551;91.672;64.756;402;327;20;754;330;3.854;0;794;103;2.996;8;0;0;1;475;0;0;487;75.307;0;0;0;0;145.413;799;725;113;1.343;638;5.146;0;2.280;241;8.139;20;0;0;2;1.082;0;0;1.038;166.979
