capital,faixa_remuneracao_media_sm,Analfabeto,Até 5ª Incompleto,5ª Completo Fundamental,6ª a 9ª Fundamental,Fundamental Completo,Médio Incompleto,Médio Completo,Superior Incompleto,Superior Completo,Mestrado,Doutorado,sexo,ano
porto_velho___ro,"00:ate_0,50",0,3,7,46,11,194,85,28,96,30,1,F,2017
porto_velho___ro,"01:0,51_a_1,00",3,24,26,68,75,221,829,62,551,97,1,F,2017
porto_velho___ro,"02:1,01_a_1,50",38,189,171,625,1173,1418,12917,756,7028,166,5,F,2017
porto_velho___ro,"03:1,51_a_2,00",15,139,90,258,436,570,6226,445,4478,450,1,F,2017
porto_velho___ro,"04:2,01_a_3,00",2,64,59,65,168,133,2603,434,7312,4011,10,F,2017
porto_velho___ro,"05:3,01_a_4,00",0,54,11,89,392,18,1369,152,6404,927,6,F,2017
porto_velho___ro,"06:4,01_a_5,00",0,4,9,24,32,14,657,79,2023,279,4,F,2017
porto_velho___ro,"07:5,01_a_7,00",0,42,3,54,166,16,831,70,2430,282,10,F,2017
porto_velho___ro,"08:7,01_a_10,00",0,3,0,6,25,7,238,38,1716,333,17,F,2017
porto_velho___ro,"09:10,01_a_15,00",0,1,0,7,25,2,227,10,1224,349,54,F,2017
porto_velho___ro,"10:15,01_a_20,00",0,0,0,0,1,1,69,2,467,56,7,F,2017
porto_velho___ro,"11:mais_de_20,00",0,0,0,2,0,1,11,1,458,72,9,F,2017
rio_branco___ac,"00:ate_0,50",0,0,0,13,4,134,52,9,13,0,0,F,2017
rio_branco___ac,"01:0,51_a_1,00",1,16,14,25,136,81,1130,179,153,4,0,F,2017
rio_branco___ac,"02:1,01_a_1,50",25,334,289,363,951,492,10229,690,1076,6,1,F,2017
rio_branco___ac,"03:1,51_a_2,00",1,102,44,236,354,112,3350,356,971,8,1,F,2017
rio_branco___ac,"04:2,01_a_3,00",0,136,19,319,291,96,2957,336,5044,41,2,F,2017
rio_branco___ac,"05:3,01_a_4,00",0,23,3,45,99,34,1230,130,3528,49,4,F,2017
