capital,faixa_remuneracao_media_sm,total_pessoas,sexo,ano
porto_velho___ro,"00:ate_0,50",542,F,2020
porto_velho___ro,"01:0,51_a_1,00",4044,F,2020
porto_velho___ro,"02:1,01_a_1,50",20177,F,2020
porto_velho___ro,"03:1,51_a_2,00",10690,F,2020
porto_velho___ro,"04:2,01_a_3,00",11320,F,2020
porto_velho___ro,"05:3,01_a_4,00",11736,F,2020
porto_velho___ro,"06:4,01_a_5,00",4086,F,2020
porto_velho___ro,"07:5,01_a_7,00",3676,F,2020
porto_velho___ro,"08:7,01_a_10,00",2270,F,2020
porto_velho___ro,"09:10,01_a_15,00",1669,F,2020
porto_velho___ro,"10:15,01_a_20,00",634,F,2020
porto_velho___ro,"11:mais_de_20,00",473,F,2020
rio_branco___ac,"00:ate_0,50",312,F,2020
rio_branco___ac,"01:0,51_a_1,00",5631,F,2020
rio_branco___ac,"02:1,01_a_1,50",10416,F,2020
rio_branco___ac,"03:1,51_a_2,00",4884,F,2020
rio_branco___ac,"04:2,01_a_3,00",9970,F,2020
rio_branco___ac,"05:3,01_a_4,00",4253,F,2020
rio_branco___ac,"06:4,01_a_5,00",2702,F,2020
rio_branco___ac,"07:5,01_a_7,00",2971,F,2020
rio_branco___ac,"08:7,01_a_10,00",2316,F,2020
rio_branco___ac,"09:10,01_a_15,00",1322,F,2020
rio_branco___ac,"10:15,01_a_20,00",358,F,2020
rio_branco___ac,"11:mais_de_20,00",266,F,2020
manaus___am,"00:ate_0,50",2748,F,2020
manaus___am,"01:0,51_a_1,00",16425,F,2020
manaus___am,"02:1,01_a_1,50",57308,F,2020
manaus___am,"03:1,51_a_2,00",37675,F,2020
manaus___am,"04:2,01_a_3,00",34653,F,2020
manaus___am,"05:3,01_a_4,00",13507,F,2020
manaus___am,"06:4,01_a_5,00",11453,F,2020
manaus___am,"07:5,01_a_7,00",11296,F,2020
manaus___am,"08:7,01_a_10,00",6746,F,2020
manaus___am,"09:10,01_a_15,00",4368,F,2020
manaus___am,"10:15,01_a_20,00",1726,F,2020
manaus___am,"11:mais_de_20,00",1393,F,2020
boa_vista___rr,"00:ate_0,50",449,F,2020
boa_vista___rr,"01:0,51_a_1,00",3667,F,2020
boa_vista___rr,"02:1,01_a_1,50",13821,F,2020
boa_vista___rr,"03:1,51_a_2,00",3926,F,2020
boa_vista___rr,"04:2,01_a_3,00",7215,F,2020
boa_vista___rr,"05:3,01_a_4,00",4584,F,2020
boa_vista___rr,"06:4,01_a_5,00",3787,F,2020
boa_vista___rr,"07:5,01_a_7,00",2995,F,2020
boa_vista___rr,"08:7,01_a_10,00",2235,F,2020
